race_id,horse_num,date,won,lead_min,final_odds_confirmed,p_t10,p_offset,margin,z_t10,edge,odds_t10,payout_odds,z2,z3
2026-0802-07-02-04-01,01,20260802,0,14.97,0,0.005009291246868699,0.007175096902496626,0.36875817530879607,-5.291438961780045,0.0021658056556279268,158.5,0.0,27.999326286243882,-148.15672601462305
2026-0802-07-02-04-01,02,20260802,0,14.97,0,0.10586302168382518,0.10409580323173737,-0.010763315791488709,-2.1337129728561597,-0.0017672184520878126,7.5,0.0,4.552731050534671,-9.71422130445088
2026-0802-07-02-04-01,03,20260802,0,14.97,0,0.04071654680147122,0.03986529037046951,-0.014510244729577265,-3.159552037700304,-0.0008512564310017151,19.5,0.0,9.982769078936142,-31.541078385244273
2026-0802-07-02-04-01,04,20260802,0,14.97,0,0.24811645707146526,0.24088656846179454,-0.029639601097001835,-1.1086832279203074,-0.0072298886096707204,3.2,0.0,1.2291784998717923,-1.3627695869280998
2026-0802-07-02-04-01,05,20260802,0,14.97,0,0.010433280717853995,0.010887765753111582,0.05038297088133064,-4.5522664241898765,0.0004544850352575878,76.1,0.0,20.723129596806483,-94.33720706767765
2026-0802-07-02-04-01,06,20260802,0,14.97,0,0.0030235059506042985,0.0026945664110392497,-0.10828510519047237,-5.798310124156221,-0.00032893953956504877,262.6,0.0,33.62040029589253,-194.94150741385846
2026-0802-07-02-04-01,07,20260802,0,14.97,0,0.024581196985408327,0.02523969359066582,0.03450367254306175,-3.6808851198375887,0.0006584966052574914,32.3,0.0,13.54891526544178,-49.872000590505
2026-0802-07-02-04-01,08,20260802,1,14.97,0,0.09565935694321552,0.09184256555500414,-0.036992741550248315,-2.2464125910417874,-0.0038167913882113796,8.3,8.2,5.046369529191076,-11.33622804942445
2026-0802-07-02-04-01,09,20260802,0,14.97,0,0.057954208950999196,0.056293563864644146,-0.02319780418309706,-2.788400685968674,-0.0016606450863550504,13.7,0.0,7.775178385510572,-21.68031274368649
2026-0802-07-02-04-01,10,20260802,0,14.97,0,0.026290485517506255,0.02603260210095681,-0.0027239416574114023,-3.611905913074274,-0.00025788341654944466,30.2,0.0,13.045864324900906,-47.12043449627431
2026-0802-07-02-04-01,11,20260802,0,14.97,0,0.012214964040441367,0.01590042886447064,0.2747441826365834,-4.392803338315193,0.0036854648240292713,65.0,0.0,19.29672116911311,-84.76670117021753
2026-0802-07-02-04-01,12,20260802,0,14.97,0,0.009565935694321553,0.010965961744563116,0.1452873950513362,-4.639934872912529,0.001400026050241563,83.0,0.0,21.528995624869808,-99.89313757861468
2026-0802-07-02-04-01,13,20260802,0,14.97,0,0.0064973212981071105,0.007060461146210646,0.09094378970669488,-5.029846774237369,0.0005631398481035351,122.2,0.0,25.29935857230607,-127.25189710518822
2026-0802-07-02-04-01,14,20260802,0,14.97,0,0.0049315072212962035,0.004581717952454313,-0.06668381256661177,-5.307166906021689,-0.00034978926884189025,161.0,0.0,28.16602056837183,-149.4817722347892
2026-0802-07-02-04-01,15,20260802,0,14.97,0,0.010153103102668655,0.009412600728240243,-0.06920419087166411,-4.579770898406031,-0.0007405023744284124,78.2,0.0,20.974301481886787,-96.0574955411396
2026-0802-07-02-04-01,16,20260802,0,14.97,0,0.031382318680975844,0.03459683085074566,0.10830580072358886,-3.429625349330918,0.003214512169769819,25.3,0.0,11.762330036773221,-40.34038526131391
2026-0802-07-02-04-01,17,20260802,0,14.97,0,0.3053741010110341,0.3104193601559279,0.03414176045009648,-0.8218358401185685,0.005045259144893788,2.6,0.0,0.6754141481033933,-0.5550795538345195
2026-0802-07-02-04-01,18,20260802,0,14.97,0,0.0022333970819372402,0.0020491223154676646,-0.07907703714044699,-6.101995602676827,-0.00018427476646957564,355.5,0.0,37.234350335087335,-227.20384201323137
2026-0802-04-02-04-01,01,20260802,0,14.95,0,0.023393379962582023,0.025878646597595423,0.08572251470104507,-3.7316308555068085,0.0024852666350133994,34.0,0.0,13.925068841770475,-51.96321655500716
2026-0802-04-02-04-01,02,20260802,0,14.95,0,0.004370191861141697,0.003909903779292184,-0.12915799639527553,-5.428568597624396,-0.00046028808184951295,182.0,0.0,29.469357019113698,-159.9764261061427
2026-0802-04-02-04-01,03,20260802,0,14.95,0,0.06976972971296393,0.06338767217573381,-0.12126469413134582,-2.590231913986547,-0.006382057537230118,11.4,0.0,6.709301368234411,-17.378646524554377
2026-0802-04-02-04-01,04,20260802,0,14.95,0,0.27426721335440996,0.26238049649161965,-0.08398180815204005,-0.9730790222220156,-0.011886716862790303,2.9,0.0,0.9468827834885539,-0.9213917731159026
2026-0802-04-02-04-01,05,20260802,0,14.95,0,0.1767499819395086,0.18104245147377157,0.00809708236173642,-1.5385237405988343,0.00429246953426296,4.5,0.0,2.3670553003862294,-3.641770774954519
2026-0802-04-02-04-01,06,20260802,0,14.95,0,0.07038716094936184,0.06222331933143363,-0.15049847011178924,-2.580757323719781,-0.008163841617928214,11.3,0.0,6.660308363933286,-17.18863958845294
2026-0802-04-02-04-01,07,20260802,1,14.95,0,0.09142240445146999,0.10597168997072294,0.14445517411359884,-2.2963897210978175,0.014549285519252955,8.7,4.9,5.273405751163712,-12.109794762150463
2026-0802-04-02-04-01,08,20260802,0,14.95,0,0.010548738975169612,0.010614503490592656,-0.01123707989371947,-4.541144183306552,6.576451542304393e-05,75.4,0.0,20.621990493578934,-93.64743217811899
2026-0802-04-02-04-01,09,20260802,0,14.95,0,0.12427733105121701,0.12240907120567189,-0.037006568431576084,-1.952533843847507,-0.0018682598455451171,6.4,0.0,3.812388411369921,-7.443817399091803
2026-0802-04-02-04-01,10,20260802,0,14.95,0,0.05034018472960688,0.05593338504021911,0.09291304046308936,-2.9373001719372516,0.00559320031061223,15.8,0.0,8.627732300062608,-25.342239568402476
2026-0802-04-02-04-01,11,20260802,0,14.95,0,0.09582830346117936,0.09795407479331272,0.005095925326384137,-2.244461187587975,0.002125771332133361,8.3,0.0,5.037606022588824,-11.306711196060048
2026-0802-04-02-04-01,12,20260802,0,14.95,0,0.008645379551389009,0.008294785650034464,-0.05922944988455004,-4.742047289015019,-0.00035059390135454456,92.0,0.0,22.487012491254696,-106.6344766222012
2026-0802-01-01-04-01,01,20260802,0,14.95,0,0.3053876961974636,0.3138365785557533,0.035474425547879246,-0.8217717491880684,0.008448882358289722,2.6,0.0,0.6753088077636176,-0.554949700198017
2026-0802-01-01-04-01,02,20260802,0,14.95,0,0.01456895431400744,0.014282826984919565,-0.022948938724702005,-4.2141863074512385,-0.0002861273290878756,54.5,0.0,17.759366233909503,-74.84127801195329
2026-0802-01-01-04-01,03,20260802,0,14.95,0,0.04338841585319155,0.04328460679948307,-0.005413083946398387,-3.0932049512281057,-0.00010380905370847848,18.3,0.0,9.567916870302067,-29.595527836157274
2026-0802-01-01-04-01,04,20260802,0,14.95,0,0.04754538982715002,0.05139364354764744,0.07894422112122135,-2.9973576224259846,0.0038482537204974146,16.7,0.0,8.984152716715151,-26.928718626485274
2026-0802-01-01-04-01,05,20260802,1,14.95,0,0.02370173164517628,0.024112870802498142,0.014766771425149691,-3.7182200318793615,0.00041113915732186174,33.5,31.3,13.82516020546896,-51.40498761991607
2026-0802-01-01-04-01,06,20260802,0,14.95,0,0.13233466835223423,0.13825153594686457,0.04735409210486109,-1.8804719974219604,0.005916867594630337,6.0,0.0,3.5361749330881374,-6.649677939657717
2026-0802-01-01-04-01,07,20260802,0,14.95,0,0.06562049670358723,0.06589421344438914,0.0014760518207903306,-2.655994579251291,0.0002737167408019131,12.1,0.0,7.054307205012243,-18.736201696885846
2026-0802-01-01-04-01,08,20260802,0,14.95,0,0.2481275031604392,0.23274557686767475,-0.08787474870069249,-1.1086240178046043,-0.015381926292764442,3.2,0.0,1.2290472128532235,-1.3625512591848914
2026-0802-01-01-04-01,09,20260802,0,14.95,0,0.006010658668534484,0.006037715736073347,0.001718343369144067,-5.108192145620502,2.7057067538862993e-05,132.1,0.0,26.09362699657899,-133.29126047467588
2026-0802-01-01-04-01,10,20260802,0,14.95,0,0.023014724930823346,0.024344201962296315,0.05466844691578239,-3.7483373548891366,0.0013294770314729691,34.5,0.0,14.05003292605729,-52.664263254162854
2026-0802-01-01-04-01,11,20260802,0,14.95,0,0.03745320802421724,0.035775558514905256,-0.050455371777023125,-3.2464903121977216,-0.0016776495093119848,21.2,0.0,10.53969934719366,-34.21703182414087
2026-0802-01-01-04-01,12,20260802,0,14.95,0,0.032946390461137155,0.03041083566856608,-0.08557181685560786,-3.379372223939677,-0.0025355547925710736,24.1,0.0,11.420156627934999,-38.59296010148414
2026-0802-01-01-04-01,13,20260802,0,14.95,0,0.005003201071918119,0.005360616149851116,0.06656188955549269,-5.292661598027788,0.00035741507793299754,158.7,0.0,28.01226679123806,-148.25944871969477
2026-0802-01-01-04-01,14,20260802,0,14.95,0,0.014896960790120178,0.014269219019077848,-0.04651319091491275,-4.191589025707435,-0.00062774177104233,53.3,0.0,17.569418560431004,-73.64378202596312
2026-0802-07-02-04-02,01,20260802,0,14.97,1,0.15613164334580287,0.16108853945914445,0.026574536862047367,-1.6872969879075508,0.0049568961133415745,5.1,0.0,2.8469711254018937,-4.803685804550385
2026-0802-07-02-04-02,02,20260802,0,14.97,1,0.03538983915838198,0.0345140876755074,-0.03515651062256449,-3.305299291800598,-0.0008757514828745816,22.5,0.0,10.925003408377535,-36.110406028629384
2026-0802-07-02-04-02,03,20260802,0,14.97,1,0.04083442979813305,0.04009409506364331,-0.028313137796676397,-3.156538115628795,-0.0007403347344897421,19.5,0.0,9.963732875417383,-31.45090259519866
2026-0802-07-02-04-02,04,20260802,1,14.97,1,0.30625822348599785,0.3052467975497413,-0.017515881638869236,-0.817671197619279,-0.001011425936256527,2.6,2.1,0.668586187416146,-0.5466836685762677
2026-0802-07-02-04-02,05,20260802,0,14.97,1,0.0804314526326863,0.08715811075563921,0.07794103167982995,-2.4364992882047325,0.006726658122952908,9.9,0.0,5.936528781422168,-14.46434815034202
2026-0802-07-02-04-02,06,20260802,0,14.97,1,0.026542379368786482,0.029017523201705045,0.08256301375597905,-3.602111613808682,0.002475143832918563,30.0,0.0,12.975208078335386,-46.73814771055613
2026-0802-07-02-04-02,07,20260802,0,14.97,1,0.15023988321954615,0.1436714278464073,-0.06276187377037984,-1.7327208559346918,-0.006568455373138854,5.3,0.0,3.002321564591051,-5.202185191189389
2026-0802-07-02-04-02,08,20260802,0,14.97,1,0.2041721489906653,0.19920941844821194,-0.041895347143890434,-1.3604193892895304,-0.0049627305424533585,3.9,0.0,1.850740914754899,-2.5177838249840065
2026-0802-04-02-04-02,01,20260802,0,14.97,0,0.030963150818415962,0.03053121351151342,-0.0403647084509585,-3.44350482505497,-0.00043193730690254187,25.6,0.0,11.85772548017686,-40.83213490516628
2026-0802-04-02-04-02,02,20260802,0,14.97,0,0.1441193929002634,0.14063411281657628,-0.05768194378797931,-1.781488815315591,-0.00348528008368712,5.5,0.0,3.173702399094548,-5.653915327127195
2026-0802-04-02-04-02,03,20260802,0,14.97,0,0.0727207945827017,0.07337927121014703,-0.017326587613255583,-2.5456273362695923,0.0006584766274453369,10.9,0.0,6.4802185351630195,-16.496221448111875
2026-0802-04-02-04-02,04,20260802,0,14.97,0,0.050487685410920295,0.05042703326143626,-0.027671692281059417,-2.93421904642449,-6.0652149484037576e-05,15.7,0.0,8.609641412400244,-25.262573815149842
2026-0802-04-02-04-02,05,20260802,1,14.97,0,0.20859385814511805,0.2089003460533087,-0.029757003094315896,-1.3334221907507426,0.00030648790819065574,3.8,5.3,1.77801473878651,-2.3708443081798176
2026-0802-04-02-04-02,06,20260802,0,14.97,0,0.057858150434412316,0.05838174009787734,-0.017061162231617345,-2.7901615138274236,0.0005235896634650239,13.7,0.0,7.78500127324374,-21.721410937702174
2026-0802-04-02-04-02,07,20260802,0,14.97,0,0.09666544645749374,0.10161817831657252,0.0275746186359376,-2.2348369646105586,0.004952731859078782,8.2,0.0,4.994496258389735,-11.161884857858508
2026-0802-04-02-04-02,08,20260802,0,14.97,0,0.012064789359991607,0.01186947863935734,-0.04190699644623345,-4.405325879163485,-0.00019531072063426642,65.7,0.0,19.406896101627527,-85.4937016307367
2026-0802-04-02-04-02,09,20260802,0,14.97,0,0.019100160504854184,0.019007050850002757,-0.030552394465281355,-3.938773615527283,-9.31096548514275e-05,41.5,0.0,15.513937594373862,-61.10588806965657
2026-0802-04-02-04-02,10,20260802,0,14.97,0,0.15243397325989397,0.14617398136202667,-0.07861654173571235,-1.7156372038158498,-0.006259991897867301,5.2,0.0,2.943411015117068,-5.049825443656219
2026-0802-04-02-04-02,11,20260802,0,14.97,0,0.010873205225671449,0.012261924603505562,0.0962040203176237,-4.510521001799981,0.001388719377834113,72.9,0.0,20.344799707678707,-91.76564635889893
2026-0802-04-02-04-02,12,20260802,0,14.97,0,0.1441193929002634,0.1468156692776761,-0.007654553847616955,-1.781488815315591,0.002696276377412682,5.5,0.0,3.173702399094548,-5.653915327127195
2026-0802-01-01-04-02,01,20260802,0,14.97,0,0.11059270230939922,0.11310821306303574,0.02355283299713504,-2.0847011790515935,0.0025155107536365268,7.2,0.0,4.345979005939104,-9.060067557814723
2026-0802-01-01-04-02,02,20260802,0,14.97,0,0.06924064840240646,0.06393183147975685,-0.08713569552701247,-2.59841266525282,-0.0053088169226496035,11.5,0.0,6.751748378946264,-17.54382850045417
2026-0802-01-01-04-02,03,20260802,0,14.97,0,0.24883358019614824,0.2359456934110157,-0.07224899756028053,-1.1048429044317218,-0.01288788678513253,3.2,0.0,1.220677843473123,-1.348657253958296
2026-0802-01-01-04-02,04,20260802,0,14.97,0,0.007015572305089642,0.006932523831397112,-0.013573224477477185,-4.952582688566722,-8.304847369253014e-05,113.5,0.0,24.528075287090783,-121.47732105070705
2026-0802-01-01-04-02,05,20260802,0,14.97,0,0.06078377531508965,0.05865233665602465,-0.03963033392793376,-2.7377228239396603,-0.0021314386590649964,13.1,0.0,7.495126260720148,-20.51957823228307
