race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260920-06-01,06,01,8,140,8,110,4,150,15,230
20260920-06-02,06,02,11,240,11,140,2,230,7,660
20260920-06-03,06,03,13,190,13,120,12,420,2,280
20260920-06-04,06,04,3,1020,3,280,10,160,4,650
20260920-06-05,06,05,6,350,6,150,12,180,5,530
20260920-06-06,06,06,8,330,8,140,7,220,2,220
20260920-06-07,06,07,2,1440,2,490,13,750,1,410
20260920-06-08,06,08,4,360,4,150,1,470,5,140
20260920-06-09,06,09,8,460,8,170,10,160,3,120
20260920-06-10,06,10,10,4930,10,610,8,110,15,170
20260920-06-11,06,11,8,4450,8,820,1,340,4,200
20260920-06-12,06,12,11,3100,11,690,13,580,1,300
20260920-09-01,09,01,12,500,12,220,9,130,4,640
20260920-09-02,09,02,8,630,8,200,11,270,3,510
20260920-09-03,09,03,3,760,3,140,7,100,,0
20260920-09-04,09,04,10,170,10,120,3,170,12,280
20260920-09-05,09,05,10,280,10,120,5,130,1,620
20260920-09-06,09,06,10,1480,10,270,5,290,7,140
20260920-09-07,09,07,9,2080,9,440,11,260,1,150
20260920-09-08,09,08,11,230,11,110,1,200,13,160
20260920-09-09,09,09,6,360,6,220,8,440,7,370
20260920-09-10,09,10,12,360,12,160,5,150,2,200
20260920-09-11,09,11,4,640,4,200,3,590,2,260
20260920-09-12,09,12,3,160,3,110,5,280,1,200
