race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260921-09-01,09,01,5,1000,5,210,2,250,3,110
20260921-09-02,09,02,1,420,1,160,9,160,3,200
20260921-09-03,09,03,6,620,6,200,9,110,10,840
20260921-09-04,09,04,15,380,15,170,9,710,12,300
20260921-09-05,09,05,7,260,7,110,6,110,3,130
20260921-09-06,09,06,11,280,11,140,5,320,4,230
20260921-09-07,09,07,2,330,2,160,16,460,11,400
20260921-09-08,09,08,3,270,3,120,7,140,2,360
20260921-09-09,09,09,14,1000,14,240,3,130,12,120
20260921-09-10,09,10,11,800,11,300,9,510,7,1070
20260921-09-11,09,11,1,140,1,110,4,190,8,1060
20260921-09-12,09,12,5,410,5,160,9,130,13,500
