race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260921-06-01,06,01,1,アドアプローズ,,0,
20260921-06-01,06,01,2,カルマンフィルター,,0,
20260921-06-01,06,01,3,コトブキヘスペラス,,0,
20260921-06-01,06,01,4,テンプーシャオン,,0,
20260921-06-01,06,01,5,ゴーツウキリシマ,,0,
20260921-06-01,06,01,6,シュハリ,,0,
20260921-06-01,06,01,7,アルシミスト,,0,
20260921-06-01,06,01,8,バンデルオーラ,,0,
20260921-06-01,06,01,9,アバットゥータ,,0,
20260921-06-01,06,01,10,ブランフォルテ,,0,
20260921-06-01,06,01,11,ロイガヴェーグル,,0,
20260921-06-01,06,01,12,ニシノブレイゼスト,,0,
20260921-06-01,06,01,13,サトノドルチェ,,0,
20260921-06-01,06,01,14,グランナヴィール,,0,
20260921-06-02,06,02,1,スノーキャップ,,0,
20260921-06-02,06,02,2,ゴータマ,,0,
20260921-06-02,06,02,3,ナナレイ,,0,
20260921-06-02,06,02,4,スペシャルサンクス,,0,
20260921-06-02,06,02,5,ナリタライズ,,0,
20260921-06-02,06,02,6,ニシノタカオ,,0,
20260921-06-02,06,02,7,シジマ,,0,
20260921-06-02,06,02,8,バタフライ,,0,
20260921-06-02,06,02,9,ニシノムホウモノ,,0,
20260921-06-02,06,02,10,ニシノアトール,,0,
20260921-06-02,06,02,11,ハミングリップス,,0,
20260921-06-02,06,02,12,ダンシングアワー,,0,
20260921-06-02,06,02,13,トーセンルルド,,0,
20260921-06-02,06,02,14,タワーウマザンマイ,,0,
20260921-06-03,06,03,1,ビスクヴィート,,0,
20260921-06-03,06,03,2,モミスケ,,0,
20260921-06-03,06,03,3,ソウラスフロス,,0,
20260921-06-03,06,03,4,シュアシング,,0,
20260921-06-03,06,03,5,ドナビッグベン,,0,
20260921-06-03,06,03,6,ベアアミーチ,,0,
20260921-06-03,06,03,7,スウィット,,0,
20260921-06-03,06,03,8,ギムナシオン,,0,
20260921-06-03,06,03,9,ヤマニンスペッキオ,,0,
20260921-06-03,06,03,10,ダンシングリリー,,0,
20260921-06-03,06,03,11,ヒーローシー,,0,
20260921-06-04,06,04,1,サンアンドスターズ,,0,
20260921-06-04,06,04,2,マイネルアルディ,,0,
20260921-06-04,06,04,3,アニエーネ,,0,
20260921-06-04,06,04,4,キャピタルストーン,,0,
