race_id,track_code,race_num,horse_num,horse_name,confirmed_order
20260919-06-01,06,01,1,サリードゥ,3
20260919-06-01,06,01,2,ジンクピリチオン,6
20260919-06-01,06,01,3,ポッドエステラ,4
20260919-06-01,06,01,4,ソナタテソーロ,5
20260919-06-01,06,01,5,ルスデルカミーノ,2
20260919-06-01,06,01,6,カシノカゲマル,8
20260919-06-01,06,01,7,カンタベリートップ,7
20260919-06-01,06,01,8,マリノフスキー,9
20260919-06-01,06,01,9,スマートブライド,1
20260919-06-02,06,02,1,マホロ,7
20260919-06-02,06,02,2,ビップルーチェ,5
20260919-06-02,06,02,3,ハイビスカス,1
20260919-06-02,06,02,4,テンユメノオーロラ,2
20260919-06-02,06,02,5,ピーエムリンダ,4
20260919-06-02,06,02,6,ロンドンコーリング,6
20260919-06-02,06,02,7,バミューダブーケ,8
20260919-06-02,06,02,8,アフィーリア,3
20260919-06-03,06,03,1,サノノファイター,2
20260919-06-03,06,03,2,セイウンウィルド,3
20260919-06-03,06,03,3,エルシオン,11
20260919-06-03,06,03,4,テイクケア,9
20260919-06-03,06,03,5,トルタパスカリーナ,1
20260919-06-03,06,03,6,コスモシグナス,6
20260919-06-03,06,03,7,アミノショコラ,12
20260919-06-03,06,03,8,ワンキャンパス,8
20260919-06-03,06,03,9,ノルトハウゼン,4
20260919-06-03,06,03,10,ショウナンワンパク,7
20260919-06-03,06,03,11,イニシャルポイント,5
20260919-06-03,06,03,12,コーズサム,10
20260919-06-04,06,04,1,ロジパンドラ,8
20260919-06-04,06,04,2,ゼーゲルン,2
20260919-06-04,06,04,3,シウンハゴロモ,11
20260919-06-04,06,04,4,サンエルディーケー,9
20260919-06-04,06,04,5,シルバーノリダー,1
20260919-06-04,06,04,6,ルナロマンティカ,7
20260919-06-04,06,04,7,アマルレイナ,16
20260919-06-04,06,04,8,スヴァラ,15
20260919-06-04,06,04,9,ニホンノヨアケゼヨ,3
20260919-06-04,06,04,10,フクチャンヨシ,5
20260919-06-04,06,04,11,プリマラクーン,14
20260919-06-04,06,04,12,ニシノハナカケル,12
20260919-06-04,06,04,13,シクラメン,4
20260919-06-04,06,04,14,ペルラビアンカ,6
20260919-06-04,06,04,15,イキデイナセ,13
20260919-06-04,06,04,16,キャンディメモリー,10
20260919-06-05,06,05,1,ディヴァンパーレ,6
20260919-06-05,06,05,2,レインボーフライト,2
20260919-06-05,06,05,3,トパーズプレミア,5
20260919-06-05,06,05,4,メイダイ,3
20260919-06-05,06,05,5,ツェルプスト,4
20260919-06-05,06,05,6,プルヴィナル,1
20260919-06-05,06,05,7,ルージュルフラン,12
20260919-06-05,06,05,8,ドッグズノーズ,8
20260919-06-05,06,05,9,フレッシュオレンジ,9
20260919-06-05,06,05,10,セイウンガレス,10
20260919-06-05,06,05,11,セイウンランウェイ,11
20260919-06-05,06,05,12,バーチディダーマ,7
20260919-06-06,06,06,1,ムードメーカー,6
20260919-06-06,06,06,2,キタノエフロレス,9
20260919-06-06,06,06,3,エクランレーヴ,3
20260919-06-06,06,06,4,ルスカーレット,4
20260919-06-06,06,06,5,ニシノイケガミ,12
20260919-06-06,06,06,6,ライジングファイト,5
20260919-06-06,06,06,7,ケイツーズウォティ,11
20260919-06-06,06,06,8,ローブリッター,7
20260919-06-06,06,06,9,サクセスメロディー,8
20260919-06-06,06,06,10,ユウライクスター,1
20260919-06-06,06,06,11,ブレイズリー,10
20260919-06-06,06,06,12,イトウカカリチョウ,2
20260919-06-07,06,07,1,ダイシンパルス,14
20260919-06-07,06,07,2,ステイアンビシャス,5
20260919-06-07,06,07,3,ブレイクザアイス,4
20260919-06-07,06,07,4,ターフクリスタル,3
20260919-06-07,06,07,5,サトノリアン,6
20260919-06-07,06,07,6,エクストラプッシュ,2
20260919-06-07,06,07,7,ラブトゥエニイワン,13
20260919-06-07,06,07,8,ノーマジック,12
20260919-06-07,06,07,9,ブライトラン,11
20260919-06-07,06,07,10,ゴーントゥファー,9
20260919-06-07,06,07,11,タケルゴールド,10
20260919-06-07,06,07,12,リオンサーガ,7
20260919-06-07,06,07,13,モヴレクス,8
20260919-06-07,06,07,14,デールエルバハリ,1
20260919-06-08,06,08,1,ティルベリー,2
20260919-06-08,06,08,2,テンクウハット,11
20260919-06-08,06,08,3,ルージュカエラ,12
20260919-06-08,06,08,4,カサビセンス,8
20260919-06-08,06,08,5,ヴァレンティーニ,4
20260919-06-08,06,08,6,マタミカンサン,1
20260919-06-08,06,08,7,アスコットヴェール,0
20260919-06-08,06,08,8,デルマホダカ,6
20260919-06-08,06,08,9,エウテルペ,5
20260919-06-08,06,08,10,ビスケットマリー,9
20260919-06-08,06,08,11,ジャストキュート,10
20260919-06-08,06,08,12,キタノエピックアン,7
20260919-06-08,06,08,13,エコロストーム,3
20260919-06-08,06,08,14,ペプロス,13
20260919-06-09,06,09,1,マルモリムソウ,2
20260919-06-09,06,09,2,ジャスパートレノ,4
20260919-06-09,06,09,3,ダイシンドラゴン,3
20260919-06-09,06,09,4,セタキト,5
20260919-06-09,06,09,5,ダイメイビッグボス,6
20260919-06-09,06,09,6,ジオパークカツキ,1
20260919-06-09,06,09,7,ピクニックマーチ,7
20260919-06-09,06,09,8,ニシノイサリビ,9
20260919-06-09,06,09,9,ショウナンハーヴェ,8
20260919-06-10,06,10,1,ノラリクラリ,2
20260919-06-10,06,10,2,トリニティ,3
20260919-06-10,06,10,3,カレンラップスター,4
20260919-06-10,06,10,4,モルトマエストーソ,10
20260919-06-10,06,10,5,レイヤードレッド,6
20260919-06-10,06,10,6,ウイナーズナイン,7
20260919-06-10,06,10,7,ブリヤディアマンテ,12
20260919-06-10,06,10,8,リュクスパトロール,9
20260919-06-10,06,10,9,アロンズロッド,5
20260919-06-10,06,10,10,ダノンピクチャー,8
20260919-06-10,06,10,11,キンググローリー,1
20260919-06-10,06,10,12,マイバレンタイン,11
20260919-06-11,06,11,1,ハナウマビーチ,1
20260919-06-11,06,11,2,イミグラントソング,0
20260919-06-11,06,11,3,モンブランミノル,6
