race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260919-06-01,06,01,9,110,9,100,5,110,1,110
20260919-06-02,06,02,3,520,3,100,4,100,8,110
20260919-06-03,06,03,5,170,5,110,1,320,2,200
20260919-06-04,06,04,5,1290,5,380,2,200,9,790
20260919-06-05,06,05,6,160,6,110,2,110,4,820
20260919-06-06,06,06,10,140,10,110,12,130,3,140
20260919-06-07,06,07,14,420,14,160,6,200,4,380
20260919-06-08,06,08,6,210,6,110,1,160,13,300
20260919-06-09,06,09,6,380,6,150,1,370,3,180
20260919-06-10,06,10,11,600,11,190,1,250,2,220
20260919-06-11,06,11,1,6180,1,880,7,150,13,150
20260919-06-12,06,12,5,420,5,150,7,160,1,170
20260919-09-01,09,01,8,5440,8,1090,3,130,6,150
20260919-09-02,09,02,8,150,8,110,4,130,5,150
20260919-09-03,09,03,8,1180,8,490,1,260,10,540
20260919-09-04,09,04,8,1300,8,190,2,120,4,830
20260919-09-05,09,05,8,120,8,110,9,140,2,130
20260919-09-06,09,06,10,290,10,130,5,220,3,140
20260919-09-07,09,07,2,450,2,170,4,290,5,1490
20260919-09-08,09,08,6,550,6,580,1,1030,,0
20260919-09-09,09,09,8,1190,8,350,3,200,5,200
20260919-09-10,09,10,12,24890,12,4170,4,200,8,1170
20260919-09-11,09,11,9,810,9,290,2,1640,10,1050
20260919-09-12,09,12,2,650,2,210,1,310,14,150
