race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,planned_stake_yen_100unit,settled_stake_yen_100unit,horse_refunded,prediction_issued,race_status,result_resolved,payout_resolved,payout_final,actual_execution_date,evaluable,evaluation_exclusion_reason,profit_loss_yen_100unit
20260919-06-01,06,01,,1200,9,1,サリードゥ,△,4,5.6,2,5.9,2,0.1695,0.149,0.84,標準,False,3,0,110,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,2,ジンクピリチオン,,,13.7,4,15.3,4,0.0654,,,,False,6,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,3,ポッドエステラ,▲,3,80.7,6,86.9,6,0.0115,0.035,2.79,標準,False,4,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,4,ソナタテソーロ,,,37.9,5,43.6,5,0.0229,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,5,ルスデルカミーノ,○,2,9.8,3,10.1,3,0.099,0.105,1.03,標準,False,2,0,110,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,6,カシノカゲマル,,,233.5,9,272.6,9,0.0037,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,7,カンタベリートップ,,,107.4,7,122.7,7,0.0081,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,8,マリノフスキー,☆,5,171.3,8,193.3,8,0.0052,0.016,2.81,標準,False,9,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-01,06,01,,1200,9,9,スマートブライド,◎,1,1.1,1,1.1,1,0.9091,0.46,0.51,標準,False,1,110,100,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,1,マホロ,,,43.6,6,59.8,6,0.0167,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,2,ビップルーチェ,,,49.6,7,62.7,7,0.0159,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,3,ハイビスカス,○,2,4.4,2,5.2,3,0.1923,0.168,0.74,標準,False,1,520,100,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,4,テンユメノオーロラ,◎,1,1.3,1,1.4,1,0.7143,0.499,0.65,標準,False,2,0,100,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,5,ピーエムリンダ,△,4,77.2,8,102.2,8,0.0098,0.023,1.75,標準,False,4,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,6,ロンドンコーリング,,,25.4,4,30.3,4,0.033,,,,False,6,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,7,バミューダブーケ,▲,3,26.8,5,31.3,5,0.0319,0.038,1.02,標準,False,8,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-02,06,02,,1800,8,8,アフィーリア,☆,5,6.6,3,3.5,2,0.2857,0.086,0.57,標準,False,3,0,110,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,1,サノノファイター,,,23.9,8,19.3,6,0.0518,,,,False,2,0,320,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,2,セイウンウィルド,○,2,8.7,3,8.6,3,0.1163,0.086,0.75,標準,False,3,0,200,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,3,エルシオン,,,74.7,9,94.9,9,0.0105,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,4,テイクケア,,,147.7,11,185.9,11,0.0054,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,5,トルタパスカリーナ,◎,1,1.6,1,1.7,1,0.5882,0.344,0.55,標準,False,1,170,110,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,6,コスモシグナス,,,15.6,5,8.9,4,0.1124,,,,False,6,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,7,アミノショコラ,,,246.6,12,323.6,12,0.0031,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,8,ワンキャンパス,☆,5,20.3,7,24.2,8,0.0413,0.040999999999999995,0.82,標準,False,8,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,9,ノルトハウゼン,▲,3,5.4,2,5.2,2,0.1923,0.107,0.58,標準,False,4,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,10,ショウナンワンパク,,,19.6,6,21.4,7,0.0467,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,11,イニシャルポイント,△,4,10.0,4,11.0,5,0.0909,0.122,1.22,標準,False,5,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-03,06,03,,1600,12,12,コーズサム,,,121.6,10,152.2,10,0.0066,,,,False,10,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,1,ロジパンドラ,,,9.1,4,6.3,4,0.1587,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,2,ゼーゲルン,,,4.3,1,4.3,3,0.2326,,,,False,2,0,200,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,3,シウンハゴロモ,,,20.7,8,25.2,7,0.0397,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,4,サンエルディーケー,,,53.7,16,106.1,15,0.0094,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,5,シルバーノリダー,○,2,10.0,5,12.9,6,0.0775,0.08800000000000001,0.88,接戦,False,1,1290,380,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,6,ルナロマンティカ,▲,3,5.2,2,3.6,1,0.2778,0.11800000000000001,0.61,接戦,False,7,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,7,アマルレイナ,☆,5,32.7,13,68.2,12,0.0147,0.027999999999999997,0.92,接戦,False,16,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
20260919-06-04,06,04,,1200,16,8,スヴァラ,△,4,40.2,14,94.6,13,0.0106,0.033,1.31,接戦,False,15,0,0,0,0,False,True,RUN,True,True,True,20260919,True,,0
