filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H1_lo,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2025H2_lo,2026P_bets,2026P_hit_rate,2026P_return_rate,2026P_lo,min_return,min_lo,robust_3fold
only_t10,168,17.9,56.1,34.3,72,16.7,51.2,24.7,240,17.5,46.2,32.8,46.2,24.7,n
s6_kelly_ge_03,179,6.7,49.3,21.1,169,13.0,140.0,64.1,195,10.3,65.7,37.1,49.3,21.1,n
s6_kelly_ge_04,129,7.8,57.8,19.7,126,11.9,94.9,47.5,148,8.1,61.6,25.5,57.8,19.7,n
s6_kelly_04_mp40,127,7.1,56.5,19.7,126,11.9,94.9,47.5,147,8.2,62.0,27.3,56.5,19.7,n
ev_ge_110,275,5.1,38.9,18.3,267,9.7,110.5,56.1,290,7.6,52.0,30.5,38.9,18.3,n
s6_kelly_03_mp40,177,6.2,48.3,18.0,168,12.5,139.5,62.6,194,10.3,66.0,38.0,48.3,18.0,n
tm_score_ge_700_ev_ge_110,264,4.9,33.2,15.9,261,10.0,113.0,55.2,281,7.5,52.0,30.6,33.2,15.9,n
odds_10_20,127,6.3,86.1,36.3,143,5.6,75.0,29.3,135,3.7,51.6,12.2,51.6,12.2,n
wl5_ev_ge_110,105,5.7,47.0,11.7,109,11.9,172.8,64.5,117,9.4,59.1,27.8,47.0,11.7,n
ev_ge_120,196,4.1,36.5,11.3,198,9.6,118.4,53.1,199,5.0,43.8,18.6,36.5,11.3,n
kelly_ge_05,93,7.5,38.7,11.2,93,12.9,106.3,45.7,104,7.7,66.2,23.2,38.7,11.2,n
s6_kelly_05_mp50,92,7.6,39.1,9.9,93,12.9,106.3,45.7,104,7.7,66.2,23.2,39.1,9.9,n
s6_kelly_05_mp40,91,6.6,36.6,9.1,93,12.9,106.3,45.7,103,7.8,66.9,23.9,36.6,9.1,n
odds_8_25_ev_ge_110,119,4.2,53.9,10.3,138,8.0,104.9,48.8,111,3.6,45.8,7.2,45.8,7.2,n
only_t04_09_ev_ge_110,53,7.5,62.3,6.6,63,11.1,88.9,30.5,53,9.4,98.3,19.6,62.3,6.6,n
s6_kelly_ge_06,72,6.9,41.1,6.7,62,16.1,120.0,50.0,79,6.3,33.0,6.2,33.0,6.2,n
s6_kelly_06_mp40,70,5.7,38.4,5.0,62,16.1,120.0,50.0,78,6.4,33.5,9.6,33.5,5.0,n
ev_ge_150,88,3.4,51.6,0.0,79,5.1,153.3,19.9,92,4.3,54.7,8.2,51.6,0.0,n
s6_kelly_ge_08,31,9.7,59.7,0.0,23,17.4,81.7,15.7,48,6.2,35.0,0.0,35.0,0.0,n
s6_kelly_08_mp40,30,6.7,52.7,0.0,23,17.4,81.7,15.7,48,6.2,35.0,0.0,35.0,0.0,n
s6_kelly_05_mp30,78,3.8,30.0,0.0,83,12.0,110.7,45.8,87,8.0,74.1,20.2,30.0,0.0,n
s6_kelly_ge_10,13,15.4,47.7,0.0,9,11.1,57.8,0.0,23,4.3,19.1,0.0,19.1,0.0,n
ev_ge_200,31,0.0,0.0,0.0,27,11.1,390.4,0.0,30,0.0,0.0,0.0,0.0,0.0,n
odds_20_50_ev_ge_150,28,0.0,0.0,0.0,21,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,n
