race_id,horse_num,date,won,lead_min,final_odds_confirmed,p_t10,p_fund,p_final,delta_ai,delta_market,odds_t10,odds_final,payout_odds,z_t10,z_fund,z_final
2026-0509-08-03-05-01,01,20260509,0,14.33,0,0.0074249289831323515,0.014534702505038497,0.0067892676366262455,0.007109773521906146,-0.000635661346506106,106.4,116.8,0.0,-4.895459527923339,-4.216574846566099,
2026-0509-08-03-05-01,02,20260509,0,14.33,0,0.016356365296175616,0.01078582066431403,0.01499029224873243,-0.005570544631861586,-0.0013660730474431872,48.3,52.9,0.0,-4.096646535271958,-4.518678499621414,
2026-0509-08-03-05-01,03,20260509,0,14.33,0,0.05000078758261279,0.048769485503557884,0.048949781478885526,-0.001231302079054905,-0.001051006103727263,15.8,16.2,0.0,-2.944422398603568,-2.9706516046413634,
2026-0509-08-03-05-01,04,20260509,0,14.33,0,0.06869673424393759,0.0729095842695384,0.07342467221832828,0.004212850025600817,0.004727937974390695,11.5,10.8,0.0,-2.606883304565271,-2.5428309948224297,
2026-0509-08-03-05-01,05,20260509,0,14.33,0,0.16122702934801678,0.12904046968552454,0.16183397141998884,-0.03218655966249223,0.0006069420719720664,4.9,4.9,0.0,-1.64912658280658,-1.9094694386446667,
2026-0509-08-03-05-01,06,20260509,0,14.33,0,0.007692428858863507,0.01186447534788413,0.007005180741677964,0.004172046489020624,-0.0006872481171855431,102.7,113.2,0.0,-4.859796530727634,-4.422271188598702,
2026-0509-08-03-05-01,07,20260509,0,14.33,0,0.12154037597004343,0.12109994727077053,0.12587086665999134,-0.0004404286992728962,0.004330490689947911,6.5,6.3,0.0,-1.9779234263580143,-1.9820549704251238,
2026-0509-08-03-05-01,08,20260509,0,14.33,0,0.014442640654575544,0.017788417317791,0.01341770659827319,0.0033457766632154547,-0.001024934056302355,54.7,59.1,0.0,-4.223022340630873,-4.011259213116797,
2026-0509-08-03-05-01,09,20260509,0,14.33,0,0.01165210094108086,0.03904995885400308,0.011296103418204351,0.02739785791292222,-0.000355997522876508,67.8,70.2,0.0,-4.440548258277212,-3.2030805986880115,
2026-0509-08-03-05-01,10,20260509,0,14.33,0,0.18809820090601956,0.23492822364235114,0.1934113316970599,0.04683002273633158,0.005313130791040344,4.2,4.1,0.0,-1.4624152240718769,-1.1806896185479607,
2026-0509-08-03-05-01,11,20260509,0,14.33,0,0.008531451876946892,0.018010155743531167,0.007566664694255205,0.009478703866584275,-0.0009647871826916872,92.6,104.8,0.0,-4.755427670609799,-3.9986451596386563,
2026-0509-08-03-05-01,12,20260509,0,14.33,0,0.004630788064509275,0.010679154718094646,0.004227006716193739,0.006048366653585371,-0.0004037813483155359,170.6,187.6,0.0,-5.37038667367032,-4.528725008692003,
2026-0509-08-03-05-01,13,20260509,0,14.33,0,0.022701507005898916,0.012651513659125792,0.02178534230653696,-0.010049993346773124,-0.0009161646993619543,34.8,36.4,0.0,-3.7623608151252474,-4.357246188586799,
2026-0509-08-03-05-01,14,20260509,0,14.33,0,0.07181931307320748,0.038935217948400186,0.07080236249624514,-0.03288409512480729,-0.0010169505769623416,11.0,11.2,0.0,-2.5590729953826794,-3.2061426310187553,
2026-0509-08-03-05-01,15,20260509,1,14.33,0,0.23939771024402492,0.19770663691945728,0.2332313117523369,-0.041691073324567646,-0.006166398491688013,3.3,3.4,3.5,-1.1559843774329255,-1.4006900300861613,
2026-0509-08-03-05-01,16,20260509,0,14.33,0,0.0057876369509544485,0.021246235950617667,0.005398137916664026,0.015458598999663217,-0.0003894990342904227,136.5,146.9,0.0,-5.146226746392053,-3.830100345124548,
2026-0509-05-02-05-01,01,20260509,0,18.55,0,0.0168568595997985,0.009427313076321931,0.0168568595997985,-0.00742954652347657,0.0,46.9,46.9,0.0,-4.0659970535488075,-4.654672125056392,
2026-0509-05-02-05-01,02,20260509,0,18.55,0,0.01647055656730312,0.026871218860582254,0.01647055656730312,0.010400662293279135,0.0,48.0,48.0,0.0,-4.08957323836906,-3.5894606451548334,
2026-0509-05-02-05-01,03,20260509,0,18.55,0,0.03711674719392252,0.06488695837234987,0.03711674719392252,0.027770211178427345,0.0,21.3,21.3,0.0,-3.25586389703678,-2.6680207681789905,
2026-0509-05-02-05-01,04,20260509,0,18.55,0,0.025502797265501604,0.02951630505911728,0.025502797265501604,0.004013507793615676,0.0,31.0,31.0,0.0,-3.643133505646729,-3.4928517772646734,
