race_id,horse_num,date,won,lead_min,final_odds_confirmed,p_t10,p_offset,margin,z_t10,edge,odds_t10,payout_odds,z2,z3
2026-0509-08-03-05-01,01,20260509,0,14.33,0,0.0074249289831323515,0.008108300757946442,0.06738018772913866,-4.895459527923339,0.0006833717748140908,106.4,0.0,23.9655239895354,-117.32225275624641
2026-0509-08-03-05-01,02,20260509,0,14.33,0,0.016356365296175616,0.017423749762039073,0.04274877490234653,-4.096646535271958,0.0010673844658634565,48.3,0.0,16.78251283495574,-68.7520230584786
2026-0509-08-03-05-01,03,20260509,0,14.33,0,0.05000078758261279,0.048688592373313945,-0.05022886655888482,-2.944422398603568,-0.0013121952092988443,15.8,0.0,8.669623261398387,-25.527032918315925
2026-0509-08-03-05-01,04,20260509,0,14.33,0,0.06869673424393759,0.07098409480797908,0.01243066718348383,-2.606883304565271,0.0022873605640414962,11.5,0.0,6.795840563621148,-17.715963305791412
2026-0509-08-03-05-01,05,20260509,0,14.33,0,0.16122702934801678,0.1606755921310496,-0.029270114724848757,-1.64912658280658,-0.0005514372169671822,4.9,0.0,2.7196184861193076,-4.484995140551538
2026-0509-08-03-05-01,06,20260509,0,14.33,0,0.007692428858863507,0.00767117818906503,-0.024132209817416317,-4.859796530727634,-2.1250669798476667e-05,102.7,0.0,23.617622320072343,-114.7768390151231
2026-0509-08-03-05-01,07,20260509,0,14.33,0,0.12154037597004343,0.12894641510204816,0.04333649141726081,-1.9779234263580143,0.00740603913200473,6.5,0.0,3.9121810805358272,-7.7379946073464225
2026-0509-08-03-05-01,08,20260509,0,14.33,0,0.014442640654575544,0.014955987984421349,0.013947177686526913,-4.223022340630873,0.0005133473298458043,54.7,0.0,17.83391768946746,-75.3130328235932
2026-0509-08-03-05-01,09,20260509,0,14.33,0,0.01165210094108086,0.012623410035690296,0.0595994288307245,-4.440548258277212,0.0009713090946094367,67.8,0.0,19.718468834088778,-87.5608124371064
2026-0509-08-03-05-01,10,20260509,0,14.33,0,0.18809820090601956,0.1918626730795385,-0.0016830815975671493,-1.4624152240718769,0.00376447217351894,4.2,0.0,2.1386582875971976,-3.1276064388696323
2026-0509-08-03-05-01,11,20260509,0,14.33,0,0.008531451876946892,0.00815371868089144,-0.06702106561277955,-4.755427670609799,-0.000377733196055453,92.6,0.0,22.614092330401338,-107.53968041371535
