============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:11:10] read: {'dataspec': 'RACE', 'files_done': 188, 'records': 172124, 'file': 'O2VM2022019920230808174146.jvd'}
[01:11:15] read: {'dataspec': 'RACE', 'files_done': 195, 'records': 175639, 'file': 'SEVM2022019920230808174153.jvd'}
[01:11:20] read: {'dataspec': 'RACE', 'files_done': 195, 'records': 179368, 'file': 'SEVM2022019920230808174153.jvd'}
[01:11:25] read: {'dataspec': 'RACE', 'files_done': 195, 'records': 183084, 'file': 'SEVM2022019920230808174153.jvd'}
[01:11:30] read: {'dataspec': 'RACE', 'files_done': 201, 'records': 186623, 'file': 'JGVM2022029920230808174207.jvd'}
[01:11:35] read: {'dataspec': 'RACE', 'files_done': 205, 'records': 190171, 'file': 'O4VM2022029920230808174211.jvd'}
[01:11:40] read: {'dataspec': 'RACE', 'files_done': 210, 'records': 193652, 'file': 'SEVM2022029920230808174216.jvd'}
[01:11:45] read: {'dataspec': 'RACE', 'files_done': 213, 'records': 197309, 'file': 'H6VM2022039920230808174225.jvd'}
[01:11:50] read: {'dataspec': 'RACE', 'files_done': 216, 'records': 201122, 'file': 'JGVM2022039920230808174230.jvd'}
[01:11:55] read: {'dataspec': 'RACE', 'files_done': 225, 'records': 204630, 'file': 'SEVM2022039920230808174239.jvd'}
[01:12:00] read: {'dataspec': 'RACE', 'files_done': 225, 'records': 208352, 'file': 'SEVM2022039920230808174239.jvd'}
[01:12:05] read: {'dataspec': 'RACE', 'files_done': 231, 'records': 211781, 'file': 'JGVM2022049920230808174253.jvd'}
[01:12:10] read: {'dataspec': 'RACE', 'files_done': 233, 'records': 215465, 'file': 'O2VM2022049920230808174255.jvd'}
[01:12:15] read: {'dataspec': 'RACE', 'files_done': 240, 'records': 218947, 'file': 'SEVM2022049920230808174302.jvd'}
[01:12:20] read: {'dataspec': 'RACE', 'files_done': 240, 'records': 222546, 'file': 'SEVM2022049920230808174302.jvd'}
[01:12:25] read: {'dataspec': 'RACE', 'files_done': 246, 'records': 226040, 'file': 'JGVM2022059920230808174316.jvd'}
[01:12:30] read: {'dataspec': 'RACE', 'files_done': 249, 'records': 229747, 'file': 'O3VM2022059920230808174319.jvd'}
[01:12:35] read: {'dataspec': 'RACE', 'files_done': 255, 'records': 233246, 'file': 'SEVM2022059920230808174325.jvd'}
[01:12:40] read: {'dataspec': 'RACE', 'files_done': 255, 'records': 236955, 'file': 'SEVM2022059920230808174325.jvd'}
[01:12:45] read: {'dataspec': 'RACE', 'files_done': 261, 'records': 240459, 'file': 'JGVM2022069920230808174339.jvd'}
[01:12:50] read: {'dataspec': 'RACE', 'files_done': 266, 'records': 244104, 'file': 'O5VM2022069920230808174344.jvd'}
[01:12:55] read: {'dataspec': 'RACE', 'files_done': 270, 'records': 247662, 'file': 'SEVM2022069920230808174348.jvd'}
[01:13:00] read: {'dataspec': 'RACE', 'files_done': 275, 'records': 251138, 'file': 'H6VM2022079920230808174359.jvd'}
[01:13:05] read: {'dataspec': 'RACE', 'files_done': 277, 'records': 254832, 'file': 'JGVM2022079920230808174403.jvd'}
[01:13:10] read: {'dataspec': 'RACE', 'files_done': 285, 'records': 258310, 'file': 'RAVM2022079920230808174411.jvd'}
[01:13:15] read: {'dataspec': 'RACE', 'files_done': 286, 'records': 261986, 'file': 'SEVM2022079920230808174412.jvd'}
[01:13:20] read: {'dataspec': 'RACE', 'files_done': 292, 'records': 265548, 'file': 'JGVM2022089920230808174426.jvd'}
[01:13:25] read: {'dataspec': 'RACE', 'files_done': 292, 'records': 269120, 'file': 'JGVM2022089920230808174426.jvd'}
[01:13:30] read: {'dataspec': 'RACE', 'files_done': 301, 'records': 272650, 'file': 'SEVM2022089920230808174435.jvd'}
[01:13:35] read: {'dataspec': 'RACE', 'files_done': 301, 'records': 276330, 'file': 'SEVM2022089920230808174435.jvd'}
[01:13:40] read: {'dataspec': 'RACE', 'files_done': 307, 'records': 279872, 'file': 'JGVM2022099920230808174449.jvd'}
[01:13:45] read: {'dataspec': 'RACE', 'files_done': 315, 'records': 283381, 'file': 'RAVM2022099920230808174457.jvd'}
[01:13:50] read: {'dataspec': 'RACE', 'files_done': 316, 'records': 287072, 'file': 'SEVM2022099920230808174458.jvd'}
[01:13:55] read: {'dataspec': 'RACE', 'files_done': 323, 'records': 290475, 'file': 'JGVM2022109920230808174513.jvd'}
[01:14:00] read: {'dataspec': 'RACE', 'files_done': 325, 'records': 294161, 'file': 'O2VM2022109920230808174515.jvd'}
[01:14:05] read: {'dataspec': 'RACE', 'files_done': 332, 'records': 297635, 'file': 'SEVM2022109920230808174522.jvd'}
[01:14:10] read: {'dataspec': 'RACE', 'files_done': 332, 'records': 301356, 'file': 'SEVM2022109920230808174522.jvd'}
[01:14:15] read: {'dataspec': 'RACE', 'files_done': 338, 'records': 304861, 'file': 'JGVM2022119920230808174536.jvd'}
[01:14:20] read: {'dataspec': 'RACE', 'files_done': 338, 'records': 308555, 'file': 'JGVM2022119920230808174536.jvd'}
[01:14:25] read: {'dataspec': 'RACE', 'files_done': 347, 'records': 311994, 'file': 'SEVM2022119920230808174545.jvd'}
[01:14:30] read: {'dataspec': 'RACE', 'files_done': 347, 'records': 315623, 'file': 'SEVM2022119920230808174545.jvd'}
[01:14:35] read: {'dataspec': 'RACE', 'files_done': 353, 'records': 319122, 'file': 'JGVM2022129920230808174559.jvd'}
[01:14:40] read: {'dataspec': 'RACE', 'files_done': 353, 'records': 322862, 'file': 'JGVM2022129920230808174559.jvd'}
[01:14:45] read: {'dataspec': 'RACE', 'files_done': 362, 'records': 326360, 'file': 'SEVM2022129920230808174608.jvd'}
[01:14:50] read: {'dataspec': 'RACE', 'files_done': 362, 'records': 330042, 'file': 'SEVM2022129920230808174608.jvd'}
[01:14:55] read: {'dataspec': 'RACE', 'files_done': 366, 'records': 333564, 'file': 'H6VM2023019920230808174619.jvd'}
[01:15:00] read: {'dataspec': 'RACE', 'files_done': 368, 'records': 337191, 'file': 'JGVM2023019920230808174623.jvd'}
[01:15:05] read: {'dataspec': 'RACE', 'files_done': 376, 'records': 340660, 'file': 'RAVM2023019920230808174631.jvd'}
[01:15:10] read: {'dataspec': 'RACE', 'files_done': 377, 'records': 344363, 'file': 'SEVM2023019920230808174632.jvd'}
[01:15:15] read: {'dataspec': 'RACE', 'files_done': 377, 'records': 348068, 'file': 'SEVM2023019920230808174632.jvd'}
[01:15:20] read: {'dataspec': 'RACE', 'files_done': 383, 'records': 351650, 'file': 'JGVM2023029920230808174646.jvd'}
[01:15:25] read: {'dataspec': 'RACE', 'files_done': 385, 'records': 355340, 'file': 'O2VM2023029920230808174648.jvd'}
[01:15:30] read: {'dataspec': 'RACE', 'files_done': 392, 'records': 358739, 'file': 'SEVM2023029920230808174655.jvd'}
[01:15:35] read: {'dataspec': 'RACE', 'files_done': 392, 'records': 362520, 'file': 'SEVM2023029920230808174655.jvd'}
[01:15:40] read: {'dataspec': 'RACE', 'files_done': 398, 'records': 366045, 'file': 'JGVM2023039920230808174709.jvd'}
[01:15:45] read: {'dataspec': 'RACE', 'files_done': 404, 'records': 369619, 'file': 'O6VM2023039920230808174715.jvd'}
[01:15:50] read: {'dataspec': 'RACE', 'files_done': 407, 'records': 373235, 'file': 'SEVM2023039920230808174718.jvd'}
[01:15:55] read: {'dataspec': 'RACE', 'files_done': 407, 'records': 376983, 'file': 'SEVM2023039920230808174718.jvd'}
[01:16:00] read: {'dataspec': 'RACE', 'files_done': 414, 'records': 380431, 'file': 'JGVM2023049920230808174733.jvd'}
[01:16:05] read: {'dataspec': 'RACE', 'files_done': 416, 'records': 384155, 'file': 'O2VM2023049920230808174735.jvd'}
[01:16:10] read: {'dataspec': 'RACE', 'files_done': 423, 'records': 387651, 'file': 'SEVM2023049920230808174742.jvd'}
[01:16:15] read: {'dataspec': 'RACE', 'files_done': 423, 'records': 391386, 'file': 'SEVM2023049920230808174742.jvd'}
[01:16:20] read: {'dataspec': 'RACE', 'files_done': 429, 'records': 394924, 'file': 'JGVM2023059920230808174756.jvd'}
[01:16:25] read: {'dataspec': 'RACE', 'files_done': 437, 'records': 398478, 'file': 'RAVM2023059920230808174804.jvd'}
[01:16:30] read: {'dataspec': 'RACE', 'files_done': 438, 'records': 402149, 'file': 'SEVM2023059920230808174805.jvd'}
[01:16:35] read: {'dataspec': 'RACE', 'files_done': 443, 'records': 405714, 'file': 'HRVM2023069920230808174818.jvd'}
[01:16:40] read: {'dataspec': 'RACE', 'files_done': 444, 'records': 409309, 'file': 'JGVM2023069920230808174819.jvd'}
[01:16:45] read: {'dataspec': 'RACE', 'files_done': 453, 'records': 412711, 'file': 'SEVM2023069920230808174828.jvd'}
[01:16:50] read: {'dataspec': 'RACE', 'files_done': 453, 'records': 416502, 'file': 'SEVM2023069920230808174828.jvd'}
[01:16:55] read: {'dataspec': 'RACE', 'files_done': 460, 'records': 420145, 'file': 'JGVM2023079920230808174843.jvd'}
[01:17:00] read: {'dataspec': 'RACE', 'files_done': 465, 'records': 423927, 'file': 'O5VM2023079920230808174848.jvd'}
[01:17:05] read: {'dataspec': 'RACE', 'files_done': 469, 'records': 427620, 'file': 'SEVM2023079920230808174852.jvd'}
[01:17:10] read: {'dataspec': 'RACE', 'files_done': 473, 'records': 431257, 'file': 'H6VM2023089920230901144304.jvd'}
[01:17:15] read: {'dataspec': 'RACE', 'files_done': 475, 'records': 435102, 'file': 'JGVM2023089920230901144421.jvd'}
[01:17:20] read: {'dataspec': 'RACE', 'files_done': 484, 'records': 438728, 'file': 'SEVM2023089920230901144431.jvd'}
[01:17:25] read: {'dataspec': 'RACE', 'files_done': 484, 'records': 442407, 'file': 'SEVM2023089920230901144431.jvd'}
