race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260815-01-01,01,01,3,210,3,130,12,240,1,1100
20260815-01-02,01,02,9,140,9,110,2,160,8,210
20260815-01-03,01,03,11,710,11,200,1,240,10,290
20260815-01-04,01,04,12,850,12,280,3,170,7,370
20260815-01-05,01,05,5,270,5,130,1,150,2,340
20260815-01-06,01,06,7,400,7,170,11,320,8,260
20260815-01-07,01,07,4,1930,4,470,5,440,9,180
20260815-01-08,01,08,9,260,9,130,8,380,10,160
20260815-01-09,01,09,8,330,8,120,6,120,1,150
20260815-01-10,01,10,12,190,12,110,2,220,14,210
20260815-01-11,01,11,11,410,11,150,5,250,7,150
20260815-01-12,01,12,9,180,9,110,12,120,5,150
20260815-04-01,04,01,3,260,3,120,6,230,5,960
20260815-04-02,04,02,1,950,1,400,3,370,10,690
20260815-04-03,04,03,10,550,10,490,9,2140,8,740
20260815-04-04,04,04,12,310,12,130,9,190,15,170
20260815-04-05,04,05,4,520,4,220,15,140,7,240
20260815-04-06,04,06,5,300,5,120,12,110,11,650
20260815-04-07,04,07,7,1190,7,300,9,1400,10,520
20260815-04-08,04,08,9,210,9,110,3,170,5,490
20260815-04-09,04,09,8,480,8,160,11,190,6,140
20260815-04-10,04,10,9,180,9,110,12,310,15,620
20260815-04-11,04,11,9,3780,9,550,10,150,18,130
20260815-04-12,04,12,4,1070,4,320,13,170,5,420
20260815-07-01,07,01,16,1870,16,690,6,3250,11,2210
20260815-07-02,07,02,7,470,7,150,6,190,9,130
20260815-07-03,07,03,3,520,3,190,6,150,,0
20260815-07-04,07,04,14,140,14,110,4,160,12,190
20260815-07-05,07,05,6,450,6,160,7,170,3,240
20260815-07-06,07,06,10,340,10,150,7,160,8,1050
20260815-07-07,07,07,5,340,5,140,3,380,1,340
20260815-07-08,07,08,8,260,8,110,1,110,6,190
20260815-07-09,07,09,15,830,15,280,16,580,12,2600
20260815-07-10,07,10,9,4570,9,1290,2,820,14,280
20260815-07-11,07,11,4,460,4,220,3,580,11,240
20260815-07-12,07,12,15,310,15,140,5,130,7,180
