race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,profit_loss_yen_100unit
20260815-01-01,01,01,,1700,12,1,ジャストグレース,,,60.0,13,106.4,10,0.0094,,,,False,3,0,1100,0
20260815-01-01,01,01,,1700,12,2,リベンジャー,,,41.0,12,108.5,11,0.0092,,,,False,11,0,0,0
20260815-01-01,01,01,,1700,12,3,クルビデンス,○,2,2.5,1,2.1,1,0.4762,0.222,0.55,接戦,False,1,210,130,0
20260815-01-01,01,01,,1700,12,4,マーゴットデウス,,,34.1,11,35.5,8,0.0282,,,,False,9,0,0,0
20260815-01-01,01,01,,1700,12,5,メイショウシンガン,,,20.4,9,36.9,9,0.0271,,,,False,8,0,0,0
20260815-01-01,01,01,,1700,12,6,フレンチブラッサム,◎,1,5.4,2,4.0,2,0.25,0.22899999999999998,1.24,接戦,True,5,0,0,-100
20260815-01-01,01,01,,1700,12,7,ショウナンタヅナ,,,20.1,8,14.1,5,0.0709,,,,False,4,0,0,0
20260815-01-01,01,01,,1700,12,8,ニットウエース,,,16.8,6,20.6,8,0.0485,,,,False,0,0,0,0
20260815-01-01,01,01,,1700,12,9,ロードクローザー,△,4,6.1,3,5.8,3,0.1724,0.073,0.45,接戦,False,12,0,0,0
20260815-01-01,01,01,,1700,12,10,アンタレス,,,12.4,5,23.9,8,0.0418,,,,False,0,0,0,0
20260815-01-01,01,01,,1700,12,11,ゴーントゥファー,,,106.8,14,239.3,12,0.0042,,,,False,7,0,0,0
20260815-01-01,01,01,,1700,12,12,サンオブザサン,☆,5,9.3,4,11.3,4,0.0885,0.055999999999999994,0.52,接戦,False,2,0,240,0
20260815-01-01,01,01,,1700,12,13,フェンリル,,,19.3,7,14.6,6,0.0685,,,,False,6,0,0,0
20260815-01-01,01,01,,1700,12,14,ワンダーゾルダート,▲,3,26.9,10,16.5,7,0.0606,0.031,0.85,接戦,False,10,0,0,0
20260815-01-02,01,02,,1800,10,1,マイネルラビリンス,,,39.9,7,44.8,6,0.0223,,,,False,5,0,0,0
20260815-01-02,01,02,,1800,10,2,オンザボー,▲,3,10.3,4,8.9,3,0.1124,0.133,1.37,標準,False,2,0,160,0
20260815-01-02,01,02,,1800,10,3,イッペイ,◎,1,4.1,2,3.5,2,0.2857,0.303,1.24,標準,True,4,0,0,-100
20260815-01-02,01,02,,1800,10,4,マイネルサリーレ,☆,5,35.5,6,111.1,8,0.009,0.02,0.72,標準,False,10,0,0,0
20260815-01-02,01,02,,1800,10,5,ローザベッラ,,,53.6,8,72.1,7,0.0139,,,,False,7,0,0,0
20260815-01-02,01,02,,1800,10,6,カリスマン,,,117.9,10,176.3,9,0.0057,,,,False,9,0,0,0
20260815-01-02,01,02,,1800,10,7,ラヴァンドローリエ,,,24.5,5,29.9,5,0.0334,,,,False,6,0,0,0
20260815-01-02,01,02,,1800,10,8,ルージュロマーナ,△,4,7.8,3,14.5,4,0.069,0.071,0.55,標準,False,3,0,210,0
20260815-01-02,01,02,,1800,10,9,レゾンフォルテ,○,2,1.5,1,1.4,1,0.7143,0.273,0.41,標準,False,1,140,110,0
20260815-01-02,01,02,,1800,10,10,タクミオジュウ,,,65.7,9,203.7,10,0.0049,,,,False,8,0,0,0
20260815-01-03,01,03,,1000,12,1,ナブッコ,◎,1,10.4,7,12.9,7,0.0775,0.222,2.31,接戦,False,2,0,240,0
20260815-01-03,01,03,,1000,12,2,フェアリーキャット,△,4,8.7,5,10.7,5,0.0935,0.064,0.56,接戦,False,6,0,0,0
20260815-01-03,01,03,,1000,12,3,ソルトアイリス,,,14.6,9,10.2,4,0.098,,,,False,10,0,0,0
20260815-01-03,01,03,,1000,12,4,トルークマクト,,,19.4,10,45.0,11,0.0222,,,,False,8,0,0,0
20260815-01-03,01,03,,1000,12,5,シルフ,,,8.1,3,17.3,8,0.0578,,,,False,11,0,0,0
20260815-01-03,01,03,,1000,12,6,アニマレイ,▲,3,3.9,1,4.2,2,0.2381,0.128,0.5,接戦,False,4,0,0,0
20260815-01-03,01,03,,1000,12,7,デルマハルナ,,,42.8,12,90.1,12,0.0111,,,,False,12,0,0,0
20260815-01-03,01,03,,1000,12,8,ダイユウサルターレ,,,22.6,11,43.0,10,0.0233,,,,False,9,0,0,0
20260815-01-03,01,03,,1000,12,9,サンライズロイ,☆,5,13.0,8,23.4,9,0.0427,0.057,0.74,接戦,False,5,0,0,0
20260815-01-03,01,03,,1000,12,10,フェイスリフト,,,9.9,6,11.0,6,0.0909,,,,False,3,0,290,0
20260815-01-03,01,03,,1000,12,11,メイワキラリ,○,2,8.3,4,7.1,3,0.1408,0.08800000000000001,0.73,接戦,False,1,710,200,0
20260815-01-03,01,03,,1000,12,12,ツクバヴァンガード,,,5.6,2,2.7,1,0.3704,,,,False,7,0,0,0
20260815-01-04,01,04,,2400,12,1,ザンテソーロ,△,4,7.0,3,4.5,3,0.2222,0.121,0.84,接戦,False,6,0,0,0
