race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260906-01-01,01,01,7,1940,7,490,2,200,6,210
20260906-01-02,01,02,1,750,1,160,2,120,6,130
20260906-01-03,01,03,12,320,12,180,8,210,14,150
20260906-01-04,01,04,2,500,2,170,14,150,8,160
20260906-01-05,01,05,4,600,4,350,9,420,6,700
20260906-01-06,01,06,10,590,10,250,2,270,12,730
20260906-01-07,01,07,12,270,12,140,16,320,4,390
20260906-01-08,01,08,11,180,11,120,2,500,5,310
20260906-01-09,01,09,10,190,10,120,12,180,6,260
20260906-01-10,01,10,9,260,9,130,8,260,11,320
20260906-01-11,01,11,7,1040,7,320,12,190,8,1050
20260906-01-12,01,12,4,2280,4,340,8,150,5,120
20260906-06-01,06,01,2,400,2,140,7,190,,0
20260906-06-02,06,02,8,2040,8,460,1,120,9,210
20260906-06-03,06,03,4,200,4,110,11,170,9,190
20260906-06-04,06,04,15,2810,15,460,12,170,1,440
20260906-06-05,06,05,14,760,14,170,10,120,1,150
20260906-06-06,06,06,8,310,8,140,7,170,12,250
20260906-06-07,06,07,5,24490,5,8740,4,4820,13,1010
20260906-06-08,06,08,16,670,16,230,7,660,13,170
20260906-06-09,06,09,6,460,6,210,3,690,10,350
20260906-06-10,06,10,6,380,6,160,8,130,2,460
20260906-06-11,06,11,4,1270,4,340,2,200,9,130
20260906-06-12,06,12,3,450,3,210,7,270,16,380
20260906-09-01,09,01,1,240,1,110,3,160,8,130
20260906-09-02,09,02,13,2310,13,550,1,730,8,160
20260906-09-03,09,03,14,240,14,110,6,290,1,220
20260906-09-04,09,04,3,190,3,110,5,2860,8,250
20260906-09-05,09,05,1,390,1,130,9,110,4,120
20260906-09-06,09,06,7,2090,7,850,6,390,12,800
20260906-09-07,09,07,7,4510,7,960,1,170,5,430
20260906-09-08,09,08,1,350,1,210,2,1440,,0
20260906-09-09,09,09,14,1010,14,260,11,160,3,150
20260906-09-10,09,10,4,660,4,220,10,170,12,500
20260906-09-11,09,11,3,280,3,130,9,170,1,260
20260906-09-12,09,12,13,4660,13,780,10,150,16,470
