race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260808-01-01,01,01,6,280,6,130,10,290,3,350
20260808-01-02,01,02,7,300,7,150,10,580,11,420
20260808-01-03,01,03,14,460,14,240,10,230,11,340
20260808-01-04,01,04,4,690,4,200,13,180,2,200
20260808-01-05,01,05,5,510,5,160,6,240,9,350
20260808-01-06,01,06,12,500,12,140,11,130,4,130
20260808-01-07,01,07,6,680,6,220,5,860,4,280
20260808-01-08,01,08,16,4020,16,1120,1,790,12,570
20260808-01-09,01,09,14,600,14,190,10,580,12,650
20260808-01-10,01,10,8,250,8,140,5,210,3,360
20260808-01-11,01,11,3,500,3,200,11,190,5,170
20260808-01-12,01,12,10,620,10,170,11,140,9,170
20260808-04-01,04,01,13,190,13,110,8,270,2,390
20260808-04-02,04,02,3,200,3,110,7,130,5,420
20260808-04-03,04,03,6,430,6,180,11,790,12,220
20260808-04-04,04,04,13,360,13,220,9,530,1,650
20260808-04-05,04,05,11,190,11,110,5,970,1,930
20260808-04-06,04,06,8,150,8,110,2,110,10,180
20260808-04-07,04,07,4,310,4,160,11,730,6,300
20260808-04-08,04,08,5,240,5,110,7,110,2,110
20260808-04-09,04,09,4,500,4,170,9,220,5,250
20260808-04-10,04,10,2,290,2,120,4,120,1,110
20260808-04-11,04,11,17,2310,17,450,18,160,13,330
20260808-04-12,04,12,3,380,3,170,8,110,13,980
20260808-07-01,07,01,9,140,9,100,1,120,4,100
20260808-07-02,07,02,3,270,3,180,2,500,,0
20260808-07-03,07,03,2,660,2,160,8,110,10,190
20260808-07-04,07,04,5,320,5,190,8,610,2,1410
20260808-07-05,07,05,3,110,3,100,4,200,5,130
20260808-07-06,07,06,4,360,4,170,8,190,10,460
20260808-07-07,07,07,3,360,3,160,5,890,8,350
20260808-07-08,07,08,9,170,9,110,3,720,10,180
20260808-07-09,07,09,3,580,3,230,10,1310,4,440
20260808-07-10,07,10,15,640,15,190,4,150,16,210
20260808-07-11,07,11,4,150,4,110,5,610,9,200
20260808-07-12,07,12,15,350,15,180,7,230,4,1120
