race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260628-02-01,02,01,1,チカバリエンテ,7.4,5,2026-06-28T11:08:19
20260628-02-01,02,01,2,パンジャケリー,5.2,4,2026-06-28T11:08:19
20260628-02-01,02,01,3,ウィルレーヴィア,73.1,7,2026-06-28T11:08:19
20260628-02-01,02,01,4,キセキノユニコーン,3.8,2,2026-06-28T11:08:19
20260628-02-01,02,01,5,シークレットタワー,5.0,3,2026-06-28T11:08:19
20260628-02-01,02,01,6,ガーシュウィン,85.1,8,2026-06-28T11:08:19
20260628-02-01,02,01,7,ダイシンドラゴン,2.4,1,2026-06-28T11:08:19
20260628-02-01,02,01,8,アイルドフルール,37.6,6,2026-06-28T11:08:19
20260628-02-02,02,02,1,メイショウタイザン,7.7,4,2026-06-28T11:08:19
20260628-02-02,02,02,2,ロジクリスエス,41.4,10,2026-06-28T11:08:19
20260628-02-02,02,02,3,ライカ,4.8,2,2026-06-28T11:08:19
20260628-02-02,02,02,4,テリコス,12.5,6,2026-06-28T11:08:19
20260628-02-02,02,02,5,テンレッドサン,2.6,1,2026-06-28T11:08:19
20260628-02-02,02,02,6,アドフランマム,72.7,11,2026-06-28T11:08:19
20260628-02-02,02,02,7,マルシュボヌール,21.7,7,2026-06-28T11:08:19
20260628-02-02,02,02,8,サンオブザサン,32.3,8,2026-06-28T11:08:19
20260628-02-02,02,02,9,スマートイデアル,177.4,13,2026-06-28T11:08:19
20260628-02-02,02,02,10,ヒルノボローニャ,5.5,3,2026-06-28T11:08:19
20260628-02-02,02,02,11,モノノケ,209.8,14,2026-06-28T11:08:19
20260628-02-02,02,02,12,ロスニーニョス,37.7,9,2026-06-28T11:08:19
20260628-02-02,02,02,13,ルナノーヴァ,129.7,12,2026-06-28T11:08:19
20260628-02-02,02,02,14,ヤマメイッカ,8.4,5,2026-06-28T11:08:19
20260628-02-03,02,03,1,エコロセレナ,7.2,3,2026-06-28T11:08:19
20260628-02-03,02,03,2,アジーザム,132.2,10,2026-06-28T11:08:19
20260628-02-03,02,03,3,ビップアリス,191.9,11,2026-06-28T11:08:19
20260628-02-03,02,03,4,ブザービーター,60.2,7,2026-06-28T11:08:19
20260628-02-03,02,03,5,ホワイトラバーズ,87.4,9,2026-06-28T11:08:19
20260628-02-03,02,03,6,ハナイロマヒナ,29.0,6,2026-06-28T11:08:19
