race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260628-02-01,02,01,7,240,7,120,1,210,6,1790
20260628-02-02,02,02,3,480,3,160,8,500,5,120
20260628-02-03,02,03,7,160,7,110,8,130,1,150
20260628-02-04,02,04,14,1000,14,320,11,340,12,220
20260628-02-05,02,05,2,130,2,100,1,120,,0
20260628-02-06,02,06,14,180,14,110,10,370,7,420
20260628-02-07,02,07,4,670,4,210,2,170,9,1060
20260628-02-08,02,08,9,480,9,210,5,980,6,200
20260628-02-09,02,09,1,180,1,110,4,130,3,170
20260628-02-10,02,10,1,310,1,150,10,130,6,160
20260628-02-11,02,11,2,1400,2,540,10,410,3,540
20260628-02-12,02,12,12,1600,12,470,14,200,7,2520
20260628-03-01,03,01,4,1270,4,230,2,130,9,160
20260628-03-02,03,02,12,150,12,110,7,280,13,130
20260628-03-03,03,03,5,110,5,100,1,190,,0
20260628-03-04,03,04,8,230,8,120,9,140,7,550
20260628-03-05,03,05,13,800,13,240,4,350,3,170
20260628-03-06,03,06,6,400,6,170,16,190,11,190
20260628-03-07,03,07,14,250,14,120,7,120,5,310
20260628-03-08,03,08,1,580,1,170,3,220,10,140
20260628-03-09,03,09,11,1890,11,480,1,250,7,250
20260628-03-10,03,10,4,170,4,110,10,350,9,150
20260628-03-11,03,11,13,540,13,200,8,360,5,200
20260628-03-12,03,12,8,1120,8,330,7,180,1,270
20260628-10-01,10,01,8,1870,8,660,1,580,3,1320
20260628-10-02,10,02,9,430,9,140,1,140,5,130
20260628-10-03,10,03,5,1230,5,260,4,120,8,220
20260628-10-04,10,04,10,290,10,120,13,230,6,110
20260628-10-05,10,05,1,360,1,190,7,210,9,440
20260628-10-06,10,06,1,230,1,130,4,260,2,260
20260628-10-07,10,07,2,310,2,160,4,190,10,280
20260628-10-08,10,08,9,220,9,110,3,220,8,740
20260628-10-09,10,09,7,230,7,130,5,130,1,760
20260628-10-10,10,10,9,1950,9,470,11,270,13,210
20260628-10-11,10,11,5,2240,5,640,2,650,8,260
20260628-10-12,10,12,7,550,7,200,13,360,12,160
