race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260719-02-01,02,01,1,170,1,110,5,170,3,270
20260719-02-02,02,02,7,1280,7,300,4,130,1,870
20260719-02-03,02,03,9,500,9,140,3,190,11,170
20260719-02-04,02,04,8,2010,8,490,3,230,11,260
20260719-02-05,02,05,4,1940,4,480,1,340,5,830
20260719-02-06,02,06,1,340,1,150,9,240,10,130
20260719-02-07,02,07,4,330,4,130,6,140,10,320
20260719-02-08,02,08,8,770,8,200,4,190,5,200
20260719-02-09,02,09,9,150,9,110,4,140,6,240
20260719-02-10,02,10,9,410,9,150,12,120,14,200
20260719-02-11,02,11,5,2360,5,650,9,170,2,430
20260719-02-12,02,12,4,330,4,170,1,260,3,180
20260719-03-01,03,01,1,110,1,110,6,180,10,110
20260719-03-02,03,02,16,340,16,170,15,180,13,710
20260719-03-03,03,03,8,190,8,130,13,250,2,1760
20260719-03-04,03,04,2,970,2,250,5,190,9,220
20260719-03-05,03,05,4,170,4,110,11,210,9,130
20260719-03-06,03,06,14,270,14,150,6,190,10,390
20260719-03-07,03,07,3,270,3,150,7,310,13,220
20260719-03-08,03,08,13,2200,13,800,3,340,6,890
20260719-03-09,03,09,13,400,13,200,8,340,1,190
20260719-03-10,03,10,7,360,7,130,4,120,6,130
20260719-03-11,03,11,2,2220,2,760,7,280,14,400
20260719-03-12,03,12,11,360,11,150,4,330,6,220
20260719-10-01,10,01,10,980,10,320,5,440,8,190
20260719-10-02,10,02,2,600,2,240,3,330,5,200
20260719-10-03,10,03,12,1050,12,310,14,180,6,180
20260719-10-04,10,04,8,350,8,110,3,160,11,110
20260719-10-05,10,05,7,360,7,140,3,420,6,260
20260719-10-06,10,06,13,910,13,280,6,230,11,790
20260719-10-07,10,07,1,450,1,180,10,200,13,360
20260719-10-08,10,08,12,5960,12,1190,14,650,7,330
20260719-10-09,10,09,7,700,7,190,3,110,6,130
20260719-10-10,10,10,4,1700,4,560,1,220,7,660
20260719-10-11,10,11,1,3310,1,600,17,150,18,420
20260719-10-12,10,12,7,220,7,110,2,340,4,120
