race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260802-01-01,01,01,5,3130,5,570,1,130,8,130
20260802-01-02,01,02,8,390,8,160,11,190,10,500
20260802-01-03,01,03,3,150,3,110,8,110,5,200
20260802-01-04,01,04,10,3750,10,490,5,110,6,240
20260802-01-05,01,05,2,280,2,130,7,210,3,150
20260802-01-06,01,06,10,840,10,280,1,960,2,250
20260802-01-07,01,07,4,3440,4,810,9,290,12,920
20260802-01-08,01,08,2,460,2,170,1,240,14,150
20260802-01-09,01,09,8,1770,8,430,5,170,10,770
20260802-01-10,01,10,8,170,8,110,1,130,9,290
20260802-01-11,01,11,7,290,7,130,11,230,14,320
20260802-01-12,01,12,5,540,5,230,2,160,11,1140
20260802-04-01,04,01,7,490,7,170,5,160,4,120
20260802-04-02,04,02,5,530,5,200,10,190,6,440
20260802-04-03,04,03,13,3990,13,680,5,140,11,180
20260802-04-04,04,04,9,260,9,160,8,180,10,260
20260802-04-05,04,05,3,950,3,310,4,5430,7,140
20260802-04-06,04,06,1,520,1,170,10,170,5,240
20260802-04-07,04,07,6,270,6,160,11,1280,4,720
20260802-04-08,04,08,4,2850,4,580,1,350,8,180
20260802-04-09,04,09,6,2610,6,490,13,140,2,180
20260802-04-10,04,10,4,1460,4,470,11,530,3,510
20260802-04-11,04,11,13,280,13,140,12,130,4,570
20260802-04-12,04,12,13,840,13,190,14,110,15,130
20260802-07-01,07,01,8,820,8,160,4,120,17,130
20260802-07-02,07,02,4,210,4,120,5,230,1,150
20260802-07-03,07,03,8,6350,8,790,2,150,6,180
20260802-07-04,07,04,11,600,11,240,15,180,10,1170
20260802-07-05,07,05,3,210,3,130,9,700,2,180
20260802-07-06,07,06,6,140,6,110,4,110,5,150
20260802-07-07,07,07,9,450,9,170,8,210,7,310
20260802-07-08,07,08,5,270,5,120,7,200,3,140
20260802-07-09,07,09,4,280,4,120,8,120,6,160
20260802-07-10,07,10,4,340,4,160,7,2760,11,220
20260802-07-11,07,11,6,520,6,240,2,630,,0
20260802-07-12,07,12,14,590,14,150,18,130,12,130
