race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260802-01-01,01,01,1,タガノシルフィー,2.5,1,2026-08-02T10:00:03
20260802-01-01,01,01,2,ヒマラヤミュサ,140.5,12,2026-08-02T10:00:03
20260802-01-01,01,01,3,ワンダーアスク,15.2,5,2026-08-02T10:00:03
20260802-01-01,01,01,4,ダノンルミエール,18.5,6,2026-08-02T10:00:03
20260802-01-01,01,01,5,ローゾフィア,31.3,8,2026-08-02T10:00:03
20260802-01-01,01,01,6,フレンチブラッサム,4.6,3,2026-08-02T10:00:03
20260802-01-01,01,01,7,ザンシュトーム,11.1,4,2026-08-02T10:00:03
20260802-01-01,01,01,8,ストリートクイーン,3.1,2,2026-08-02T10:00:03
20260802-01-01,01,01,9,ドゥブルヴェ,396.5,13,2026-08-02T10:00:03
20260802-01-01,01,01,10,アインプロージット,70.3,10,2026-08-02T10:00:03
20260802-01-01,01,01,11,クルサール,31.0,7,2026-08-02T10:00:03
20260802-01-01,01,01,12,ヨドノサファイア,43.8,9,2026-08-02T10:00:03
20260802-01-01,01,01,13,レーヌペスカ,454.7,14,2026-08-02T10:00:03
20260802-01-01,01,01,14,テリオスリコ,113.3,11,2026-08-02T10:00:03
20260802-01-02,01,02,1,スカイピア,9.9,4,2026-08-02T10:30:03
20260802-01-02,01,02,2,ニシノマーレ,11.1,5,2026-08-02T10:30:03
20260802-01-02,01,02,3,ペカリーナ,2.8,1,2026-08-02T10:30:03
20260802-01-02,01,02,4,シーシェル,149.0,13,2026-08-02T10:30:03
20260802-01-02,01,02,5,モンテール,12.9,6,2026-08-02T10:30:03
20260802-01-02,01,02,6,ロックフラワー,141.2,12,2026-08-02T10:30:03
20260802-01-02,01,02,7,ポセイドンテソーロ,42.0,10,2026-08-02T10:30:03
20260802-01-02,01,02,8,エグジスタンス,3.9,2,2026-08-02T10:30:03
20260802-01-02,01,02,9,ミアエッテ,58.5,11,2026-08-02T10:30:03
20260802-01-02,01,02,10,グローリーバローズ,22.5,8,2026-08-02T10:30:03
20260802-01-02,01,02,11,ショウナンバーボン,5.7,3,2026-08-02T10:30:03
20260802-01-02,01,02,12,ブルーエ,16.0,7,2026-08-02T10:30:03
20260802-01-02,01,02,13,アトリ,22.7,9,2026-08-02T10:30:03
20260802-01-02,01,02,14,メイショウタダツグ,265.8,14,2026-08-02T10:30:03
20260802-01-03,01,03,1,モズヴイ,14.9,4,2026-08-02T11:00:03
20260802-01-03,01,03,2,ワンダーゾルダート,40.3,7,2026-08-02T11:00:03
20260802-01-03,01,03,3,ワンダーブリッツ,1.5,1,2026-08-02T11:00:03
20260802-01-03,01,03,4,エースオブゴールド,134.5,8,2026-08-02T11:00:03
20260802-01-03,01,03,5,イーサンミラー,24.3,6,2026-08-02T11:00:03
20260802-01-03,01,03,6,ヘリオポリス,312.3,11,2026-08-02T11:00:03
20260802-01-03,01,03,7,イントゥゴールデン,219.4,9,2026-08-02T11:00:03
20260802-01-03,01,03,8,ゴンフィンガー,3.2,2,2026-08-02T11:00:03
20260802-01-03,01,03,9,ハイランダー,17.0,5,2026-08-02T11:00:03
20260802-01-03,01,03,10,カンフージョン,267.1,10,2026-08-02T11:00:03
20260802-01-03,01,03,11,ホウオウロレンシア,10.8,3,2026-08-02T11:00:03
