race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,profit_loss_yen_100unit
20260802-01-01,01,01,,1700,14,1,タガノシルフィー,○,2,2.5,1,2.5,1,0.4,0.24100000000000002,0.6,混戦,False,2,0,130,0
20260802-01-01,01,01,,1700,14,2,ヒマラヤミュサ,,,140.5,12,140.5,12,0.0071,,,,False,12,0,0,0
20260802-01-01,01,01,,1700,14,3,ワンダーアスク,,,15.2,5,15.2,5,0.0658,,,,False,5,0,0,0
20260802-01-01,01,01,,1700,14,4,ダノンルミエール,,,18.5,6,18.5,6,0.0541,,,,False,13,0,0,0
20260802-01-01,01,01,,1700,14,5,ローゾフィア,☆,5,31.3,8,31.3,8,0.0319,0.016,0.5,混戦,False,1,3130,570,0
20260802-01-01,01,01,,1700,14,6,フレンチブラッサム,▲,3,4.6,3,4.6,3,0.2174,0.156,0.72,混戦,False,4,0,0,0
20260802-01-01,01,01,,1700,14,7,ザンシュトーム,,,11.1,4,11.1,4,0.0901,,,,False,10,0,0,0
20260802-01-01,01,01,,1700,14,8,ストリートクイーン,◎,1,3.1,2,3.1,2,0.3226,0.253,0.78,混戦,False,3,0,130,0
20260802-01-01,01,01,,1700,14,9,ドゥブルヴェ,,,396.5,13,396.5,13,0.0025,,,,False,7,0,0,0
20260802-01-01,01,01,,1700,14,10,アインプロージット,,,70.3,10,70.3,10,0.0142,,,,False,14,0,0,0
20260802-01-01,01,01,,1700,14,11,クルサール,,,31.0,7,31.0,7,0.0323,,,,False,11,0,0,0
20260802-01-01,01,01,,1700,14,12,ヨドノサファイア,,,43.8,9,43.8,9,0.0228,,,,False,6,0,0,0
20260802-01-01,01,01,,1700,14,13,レーヌペスカ,,,454.7,14,454.7,14,0.0022,,,,False,8,0,0,0
20260802-01-01,01,01,,1700,14,14,テリオスリコ,△,4,113.3,11,113.3,11,0.0088,0.023,2.59,混戦,False,9,0,0,0
20260802-01-02,01,02,,1500,14,1,スカイピア,,,9.9,4,9.9,4,0.101,,,,False,5,0,0,0
20260802-01-02,01,02,,1500,14,2,ニシノマーレ,△,4,11.8,5,11.1,5,0.0901,0.06,0.71,標準,False,7,0,0,0
20260802-01-02,01,02,,1500,14,3,ペカリーナ,○,2,2.8,1,2.8,1,0.3571,0.247,0.69,標準,False,4,0,0,0
20260802-01-02,01,02,,1500,14,4,シーシェル,,,146.7,13,149.0,13,0.0067,,,,False,6,0,0,0
20260802-01-02,01,02,,1500,14,5,モンテール,,,13.2,6,12.9,6,0.0775,,,,False,13,0,0,0
20260802-01-02,01,02,,1500,14,6,ロックフラワー,,,138.5,12,141.2,12,0.0071,,,,False,9,0,0,0
