race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,profit_loss_yen_100unit
20260617-02-01,02,01,,,,1,シバノパージャン,,,212.1,14,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,2,アゲンストオッズ,,,3.6,1,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,3,サンエンジェルス,,,4.9,3,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,4,ハイバーニアン,,,296.7,15,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,5,ミルトメロディー,△,4,12.8,6,,,,0.061,0.78,混戦,False,0,0,0,0
20260617-02-01,02,01,,,,6,ヴェンデボヌール,○,2,7.0,4,,,,0.21899999999999997,1.53,混戦,False,0,0,0,0
20260617-02-01,02,01,,,,7,コシタンタン,,,20.6,8,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,8,ルナノーヴァ,,,50.0,11,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,9,マテンロウブリッジ,,,44.5,10,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,10,ニシノオールワン,◎,1,4.8,2,,,,0.237,1.14,混戦,True,0,0,0,-100
20260617-02-01,02,01,,,,11,デルマアサマ,,,369.0,16,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,12,ビップアリス,☆,5,108.6,12,,,,0.019,2.02,混戦,False,0,0,0,0
20260617-02-01,02,01,,,,13,カガラプンツェル,,,7.7,5,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,14,フリーダムスタイル,▲,3,22.5,9,,,,0.048,1.08,混戦,False,0,0,0,0
20260617-02-01,02,01,,,,15,マメーアップル,,,18.3,7,,,,,,,False,0,0,0,0
20260617-02-01,02,01,,,,16,アルマフレイヤ,,,136.8,13,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,1,ライヴマルガリータ,,,114.1,9,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,2,ホワイトラバーズ,,,147.7,10,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,3,マルシュボヌール,☆,5,10.1,7,,,,0.069,0.69,接戦,False,0,0,0,0
20260617-02-02,02,02,,,,4,ダンツアラーム,,,23.2,8,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,5,サトノフレイ,▲,3,3.8,2,,,,0.135,0.51,接戦,False,0,0,0,0
20260617-02-02,02,02,,,,6,キタノオンザバス,,,251.8,11,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,7,テリコス,,,8.2,5,,,,,,,False,0,0,0,0
20260617-02-02,02,02,,,,8,ペガサスウィンド,○,2,8.3,6,,,,0.16,1.32,接戦,False,0,0,0,0
20260617-02-02,02,02,,,,9,ユマハム,△,4,7.6,4,,,,0.107,0.81,接戦,False,0,0,0,0
20260617-02-02,02,02,,,,10,ストロングボーイ,◎,1,5.5,3,,,,0.191,1.05,接戦,True,0,0,0,-100
20260617-02-02,02,02,,,,11,セスティーナ,,,3.6,1,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,1,ビタミンドロップ,○,2,7.3,4,,,,0.128,0.94,標準,False,0,0,0,0
20260617-02-03,02,03,,,,2,ホウオウバトラー,,,205.7,12,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,3,タマモキャロル,,,101.6,10,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,4,ヒューザー,,,43.9,8,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,5,ライトニングロッド,,,14.8,5,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,6,スマートイデアル,,,94.8,9,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,7,ルクソンライト,▲,3,3.4,2,,,,0.153,0.52,標準,False,0,0,0,0
20260617-02-03,02,03,,,,8,セラサイト,☆,5,6.5,3,,,,0.099,0.65,標準,False,0,0,0,0
20260617-02-03,02,03,,,,9,エコロセレナ,◎,1,2.1,1,,,,0.282,0.59,標準,False,0,0,0,0
20260617-02-03,02,03,,,,10,クインズスズラン,,,17.6,6,,,,,,,False,0,0,0,0
20260617-02-03,02,03,,,,11,エトワールフィーユ,△,4,29.9,7,,,,0.066,1.97,標準,False,0,0,0,0
20260617-02-03,02,03,,,,12,サチノブーケ,,,139.4,11,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,1,アイムイン,◎,1,2.8,1,,,,0.37799999999999995,1.06,標準,True,0,0,0,-100
20260617-02-04,02,04,,,,2,レガリーノ,○,2,26.1,11,,,,0.10099999999999999,2.62,標準,False,0,0,0,0
20260617-02-04,02,04,,,,3,エグジスタンス,,,12.3,5,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,4,ホウショウリュウ,,,309.0,15,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,5,マンサニージャ,,,15.1,6,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,6,ブランヴァンダイク,,,25.9,10,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,7,コスモアルペジオ,,,52.0,12,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,8,アート,△,4,20.4,8,,,,0.031,0.63,標準,False,0,0,0,0
20260617-02-04,02,04,,,,9,キヨタリート,,,8.8,4,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,10,ショウナンアワード,,,8.1,3,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,11,アルケミラモリス,,,399.5,16,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,12,トリニタリオ,☆,5,3.9,2,,,,0.071,0.28,標準,False,0,0,0,0
20260617-02-04,02,04,,,,13,ロッサコメータ,▲,3,15.6,7,,,,0.10400000000000001,1.62,標準,False,0,0,0,0
20260617-02-04,02,04,,,,14,リーベンスヴェルト,,,307.0,14,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,15,ココソラーレ,,,267.5,13,,,,,,,False,0,0,0,0
20260617-02-04,02,04,,,,16,コティノス,,,22.4,9,,,,,,,False,0,0,0,0
20260617-02-05,02,05,,,,1,ガーシュウィン,☆,5,13.8,5,,,,0.08800000000000001,1.21,混戦,False,0,0,0,0
20260617-02-05,02,05,,,,2,アイシテルヨナオミ,,,4.5,4,,,,,,,False,0,0,0,0
20260617-02-05,02,05,,,,3,セタキト,,,16.5,6,,,,,,,False,0,0,0,0
20260617-02-05,02,05,,,,4,スケルツォテソーロ,◎,1,21.3,7,,,,0.07400000000000001,1.58,混戦,False,0,0,0,0
20260617-02-05,02,05,,,,5,シークレットタワー,▲,3,2.7,1,,,,0.18,0.49,混戦,False,0,0,0,0
20260617-02-05,02,05,,,,6,タイフーンナイン,○,2,4.4,3,,,,0.141,0.62,混戦,False,0,0,0,0
20260617-02-05,02,05,,,,7,テイクケア,,,39.4,8,,,,,,,False,0,0,0,0
20260617-02-05,02,05,,,,8,パンジャケリー,△,4,4.2,2,,,,0.14400000000000002,0.6,混戦,False,0,0,0,0
20260617-02-06,02,06,,,,1,ボーントゥラブユー,,,56.2,8,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,2,マテンロウオリジン,○,2,1.5,1,,,,0.261,0.39,接戦,False,0,0,0,0
20260617-02-06,02,06,,,,3,エイカイコバチ,,,68.2,9,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,4,アルペングロー,▲,3,6.4,2,,,,0.092,0.59,接戦,False,0,0,0,0
20260617-02-06,02,06,,,,5,ハルノアメ,,,115.2,12,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,6,ウインアベリア,,,189.0,14,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,7,ビップジョワ,,,84.1,10,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,8,フローレンスフーガ,,,8.1,3,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,9,ヒメヒオウギ,,,97.5,11,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,10,ハートチャン,,,338.1,15,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,11,ラップトップ,☆,5,18.0,6,,,,0.035,0.62,接戦,False,0,0,0,0
20260617-02-06,02,06,,,,12,ヴァールザーゲン,,,185.8,13,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,13,ピアス,,,,,,,,,,,False,0,0,0,0
20260617-02-06,02,06,,,,14,ブライトエアリー,◎,1,15.3,5,,,,0.275,4.2,接戦,False,0,0,0,0
20260617-02-06,02,06,,,,15,ミナヅキ,△,4,13.0,4,,,,0.042,0.55,接戦,False,0,0,0,0
20260617-02-06,02,06,,,,16,レジオンポレール,,,20.9,7,,,,,,,False,0,0,0,0
20260617-02-07,02,07,,,,1,フレンズプラス,○,2,16.0,7,,,,0.083,1.33,標準,False,0,0,0,0
20260617-02-07,02,07,,,,2,ムーンブランシュ,☆,5,8.1,5,,,,0.076,0.61,標準,False,0,0,0,0
20260617-02-07,02,07,,,,3,キャリーグレイス,◎,1,3.6,2,,,,0.222,0.8,標準,False,0,0,0,0
20260617-02-07,02,07,,,,4,ミサビスケッツ,,,116.3,11,,,,,,,False,0,0,0,0
20260617-02-07,02,07,,,,5,パーティーガール,,,321.7,12,,,,,,,False,0,0,0,0
20260617-02-07,02,07,,,,6,オオゾラヒバリ,,,39.7,9,,,,,,,False,0,0,0,0
20260617-02-07,02,07,,,,7,スパークルジョイ,,,15.0,6,,,,,,,False,0,0,0,0
20260617-02-07,02,07,,,,8,ゴールドヴィーナス,▲,3,5.6,3,,,,0.12,0.67,標準,False,0,0,0,0
20260617-02-07,02,07,,,,9,テーオーナタリー,△,4,3.1,1,,,,0.11599999999999999,0.36,標準,False,0,0,0,0
