race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260621-02-01,02,01,8,840,8,180,11,160,3,130
20260621-02-02,02,02,1,610,1,230,2,160,9,470
20260621-02-03,02,03,8,860,8,180,7,440,12,110
20260621-02-04,02,04,1,430,1,200,12,360,3,740
20260621-02-05,02,05,1,580,1,150,3,110,6,530
20260621-02-06,02,06,1,1680,1,380,2,340,10,520
20260621-02-07,02,07,7,290,7,150,6,280,11,320
20260621-02-08,02,08,9,850,9,230,7,150,10,2070
20260621-02-09,02,09,7,610,7,210,6,220,9,1050
20260621-02-10,02,10,6,130,6,110,9,130,2,150
20260621-02-11,02,11,14,930,14,380,4,540,8,1080
20260621-02-12,02,12,2,180,2,110,6,700,7,800
20260621-05-01,05,01,8,500,8,160,11,120,9,130
20260621-05-02,05,02,8,490,8,160,2,120,11,130
20260621-05-03,05,03,7,5080,7,1180,13,300,2,470
20260621-05-04,05,04,6,200,6,110,7,120,1,120
20260621-05-05,05,05,8,1790,8,530,5,350,6,810
20260621-05-06,05,06,8,270,8,140,2,200,14,630
20260621-05-07,05,07,10,450,10,150,5,110,8,270
20260621-05-08,05,08,3,280,3,180,10,370,14,260
20260621-05-09,05,09,15,2730,15,400,9,150,11,210
20260621-05-10,05,10,10,430,10,190,9,150,14,4210
20260621-05-11,05,11,7,940,7,370,2,980,4,2330
20260621-05-12,05,12,15,440,15,160,12,210,10,130
20260621-09-01,09,01,1,250,1,140,4,1360,16,270
20260621-09-02,09,02,17,570,17,270,8,270,9,360
20260621-09-03,09,03,15,470,15,180,1,250,11,140
20260621-09-04,09,04,15,1710,15,330,5,130,6,140
20260621-09-05,09,05,5,240,5,130,6,300,2,170
20260621-09-06,09,06,9,330,9,130,16,130,2,140
20260621-09-07,09,07,4,1090,4,280,12,240,10,520
20260621-09-08,09,08,3,380,3,180,4,400,6,160
20260621-09-09,09,09,2,350,2,210,1,150,,0
20260621-09-10,09,10,13,9040,13,2380,8,290,7,960
20260621-09-11,09,11,10,1290,10,340,7,380,11,160
20260621-09-12,09,12,12,150,12,110,3,250,4,160
