race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260621-02-01,02,01,1,ソルトアイリス,2.4,1,2026-06-21T18:10:11
20260621-02-01,02,01,2,キミノナハオリョウ,56.7,9,2026-06-21T18:10:11
20260621-02-01,02,01,3,バレンタインビスタ,3.3,2,2026-06-21T18:10:11
20260621-02-01,02,01,4,スワトウ,30.7,7,2026-06-21T18:10:11
20260621-02-01,02,01,5,エビスディアーナ,325.4,16,2026-06-21T18:10:11
20260621-02-01,02,01,6,クリーンブーケ,113.1,14,2026-06-21T18:10:11
20260621-02-01,02,01,7,ルージュフローラ,32.5,8,2026-06-21T18:10:11
20260621-02-01,02,01,8,ファインコンダクト,8.4,4,2026-06-21T18:10:11
20260621-02-01,02,01,9,エコロアビス,16.2,6,2026-06-21T18:10:11
20260621-02-01,02,01,10,スプリングドリーム,15.4,5,2026-06-21T18:10:11
20260621-02-01,02,01,11,ハルヒメ,6.6,3,2026-06-21T18:10:11
20260621-02-01,02,01,12,ノーブルマドンナ,203.6,15,2026-06-21T18:10:11
20260621-02-01,02,01,13,トリアングルレディ,78.3,11,2026-06-21T18:10:11
20260621-02-01,02,01,14,ミレニアルピンク,58.7,10,2026-06-21T18:10:11
20260621-02-01,02,01,15,ブリリアンブルーム,87.4,13,2026-06-21T18:10:11
20260621-02-01,02,01,16,チャーミングアイ,87.1,12,2026-06-21T18:10:11
20260621-02-02,02,02,1,ハイドパーク,6.1,4,2026-06-21T18:10:11
20260621-02-02,02,02,2,ポップアップ,4.4,2,2026-06-21T18:10:11
20260621-02-02,02,02,3,ウインモンクール,6.3,5,2026-06-21T18:10:11
20260621-02-02,02,02,4,キヨタリート,5.1,3,2026-06-21T18:10:11
20260621-02-02,02,02,5,ラヴィニアパーク,17.9,6,2026-06-21T18:10:11
20260621-02-02,02,02,6,マーゴットデウス,56.7,9,2026-06-21T18:10:11
20260621-02-02,02,02,7,テンカフブ,60.8,10,2026-06-21T18:10:11
20260621-02-02,02,02,8,ロードステラート,3.0,1,2026-06-21T18:10:11
20260621-02-02,02,02,9,ジャストグレース,25.1,8,2026-06-21T18:10:11
20260621-02-02,02,02,10,トーセンアミューズ,134.4,11,2026-06-21T18:10:11
20260621-02-02,02,02,11,フクチャンブラック,22.4,7,2026-06-21T18:10:11
20260621-02-03,02,03,1,ステキサプライズ,151.4,10,2026-06-21T18:10:11
20260621-02-03,02,03,2,ユーベルジーク,114.9,9,2026-06-21T18:10:11
20260621-02-03,02,03,3,エコロデュラン,21.4,6,2026-06-21T18:10:11
20260621-02-03,02,03,4,マーマレードスカイ,6.2,2,2026-06-21T18:10:11
20260621-02-03,02,03,5,ソパデアホ,196.6,12,2026-06-21T18:10:11
20260621-02-03,02,03,6,シェイプオブユー,6.3,3,2026-06-21T18:10:11
20260621-02-03,02,03,7,カッサンドラ,62.7,7,2026-06-21T18:10:11
20260621-02-03,02,03,8,コウユーネロガ,8.6,4,2026-06-21T18:10:11
20260621-02-03,02,03,9,ライトオブジアース,17.9,5,2026-06-21T18:10:11
20260621-02-03,02,03,10,ワイドアルバ,76.0,8,2026-06-21T18:10:11
20260621-02-03,02,03,11,ラブデウザ,160.1,11,2026-06-21T18:10:11
20260621-02-03,02,03,12,グレイトソン,1.5,1,2026-06-21T18:10:11
20260621-02-04,02,04,1,ベアサナエチャン,4.3,2,2026-06-21T18:10:11
20260621-02-04,02,04,2,ワダツミ,42.2,10,2026-06-21T18:10:11
20260621-02-04,02,04,3,コスモクラシック,37.5,9,2026-06-21T18:10:11
20260621-02-04,02,04,4,エイシンインアウト,7.8,4,2026-06-21T18:10:11
20260621-02-04,02,04,5,チリンドリ,122.5,14,2026-06-21T18:10:11
20260621-02-04,02,04,6,コンティ,8.3,5,2026-06-21T18:10:11
20260621-02-04,02,04,7,トルークマクト,54.8,11,2026-06-21T18:10:11
20260621-02-04,02,04,8,パンキー,5.9,3,2026-06-21T18:10:11
20260621-02-04,02,04,9,ヘクセンハウス,16.1,7,2026-06-21T18:10:11
20260621-02-04,02,04,10,マイネルディザイア,117.8,13,2026-06-21T18:10:11
20260621-02-04,02,04,11,ヒシナスキロ,3.3,1,2026-06-21T18:10:11
20260621-02-04,02,04,12,アーデルブリックス,16.3,8,2026-06-21T18:10:11
20260621-02-04,02,04,13,グランフルス,137.6,15,2026-06-21T18:10:11
20260621-02-04,02,04,14,レジーナレガリア,70.6,12,2026-06-21T18:10:11
20260621-02-04,02,04,15,デルマノリクラ,706.6,16,2026-06-21T18:10:11
20260621-02-04,02,04,16,コワンニシタガウ,13.3,6,2026-06-21T18:10:11
20260621-02-05,02,05,1,フェリチタ,5.8,3,2026-06-21T18:10:11
20260621-02-05,02,05,2,ラストモーメント,55.5,8,2026-06-21T18:10:11
20260621-02-05,02,05,3,コックニー,1.8,1,2026-06-21T18:10:11
20260621-02-05,02,05,4,レインボースター,20.0,5,2026-06-21T18:10:11
20260621-02-05,02,05,5,ゴートゥービッツン,137.5,10,2026-06-21T18:10:11
20260621-02-05,02,05,6,キチロクタワー,55.8,9,2026-06-21T18:10:11
20260621-02-05,02,05,7,リアルジャパン,24.8,6,2026-06-21T18:10:11
20260621-02-05,02,05,8,クリアストライク,3.2,2,2026-06-21T18:10:11
20260621-02-05,02,05,9,トーセンルルド,25.5,7,2026-06-21T18:10:11
20260621-02-05,02,05,10,ブレイヴアーサー,17.1,4,2026-06-21T18:10:11
20260621-02-06,02,06,1,ビナハイバン,16.8,9,2026-06-21T18:10:11
20260621-02-06,02,06,2,メイショウセンドウ,14.1,8,2026-06-21T18:10:11
20260621-02-06,02,06,3,ライヴマルガリータ,134.5,12,2026-06-21T18:10:11
20260621-02-06,02,06,4,モロノカガヤキ,3.1,1,2026-06-21T18:10:11
20260621-02-06,02,06,5,チャーチルデュース,6.7,3,2026-06-21T18:10:11
20260621-02-06,02,06,6,ウインカトリーヌ,13.1,6,2026-06-21T18:10:11
20260621-02-06,02,06,7,シュヴェスター,4.8,2,2026-06-21T18:10:11
20260621-02-06,02,06,8,カタフラクト,18.9,10,2026-06-21T18:10:11
20260621-02-06,02,06,9,メイショウライガ,43.3,11,2026-06-21T18:10:11
20260621-02-06,02,06,10,ゴンフィンガー,13.9,7,2026-06-21T18:10:11
20260621-02-06,02,06,11,ヘヴンリーサイン,390.5,13,2026-06-21T18:10:11
20260621-02-06,02,06,12,アメリカンダンス,9.7,5,2026-06-21T18:10:11
20260621-02-06,02,06,13,ガダニーニ,9.4,4,2026-06-21T18:10:11
20260621-02-07,02,07,1,グランテレーズ,13.1,4,2026-06-21T18:10:11
20260621-02-07,02,07,2,アイムインディ,3.2,2,2026-06-21T18:10:11
20260621-02-07,02,07,3,スプリングデイ,75.9,10,2026-06-21T18:10:11
20260621-02-07,02,07,4,ダブルチャレンジ,30.6,7,2026-06-21T18:10:11
20260621-02-07,02,07,5,ジュジュドール,130.0,11,2026-06-21T18:10:11
20260621-02-07,02,07,6,ツルノマイハシ,14.2,5,2026-06-21T18:10:11
20260621-02-07,02,07,7,マナボニート,2.9,1,2026-06-21T18:10:11
20260621-02-07,02,07,8,アルバニー,36.4,9,2026-06-21T18:10:11
20260621-02-07,02,07,9,ファニーバニー,3.6,3,2026-06-21T18:10:11
20260621-02-07,02,07,10,ナンナンプー,34.2,8,2026-06-21T18:10:11
20260621-02-07,02,07,11,ヴェガリア,15.8,6,2026-06-21T18:10:11
20260621-02-08,02,08,1,アッシュバーグ,85.9,10,2026-06-21T18:10:11
20260621-02-08,02,08,2,ホウオウバローロ,9.4,6,2026-06-21T18:10:11
20260621-02-08,02,08,3,テイクオンミー,6.7,4,2026-06-21T18:10:11
20260621-02-08,02,08,4,パーティーガール,289.9,12,2026-06-21T18:10:11
20260621-02-08,02,08,5,アスクガンバーレ,4.2,2,2026-06-21T18:10:11
20260621-02-08,02,08,6,ディースプレマシー,34.9,9,2026-06-21T18:10:11
20260621-02-08,02,08,7,シーズザスローン,2.7,1,2026-06-21T18:10:11
20260621-02-08,02,08,8,アラクラン,6.6,3,2026-06-21T18:10:11
20260621-02-08,02,08,9,ナクライト,8.5,5,2026-06-21T18:10:11
20260621-02-08,02,08,10,ライフイズ,166.8,11,2026-06-21T18:10:11
20260621-02-08,02,08,11,フェニーチェドーロ,22.9,7,2026-06-21T18:10:11
20260621-02-08,02,08,12,イサギ,29.9,8,2026-06-21T18:10:11
20260621-02-09,02,09,1,ドマーネ,35.1,9,2026-06-21T18:10:11
20260621-02-09,02,09,2,タイムレスキス,3.7,1,2026-06-21T18:10:11
20260621-02-09,02,09,3,アルディスティーノ,16.5,7,2026-06-21T18:10:11
20260621-02-09,02,09,4,レダアトミカ,4.8,3,2026-06-21T18:10:11
20260621-02-09,02,09,5,メリザンド,12.6,6,2026-06-21T18:10:11
20260621-02-09,02,09,6,クリスレジーナ,6.8,5,2026-06-21T18:10:11
20260621-02-09,02,09,7,アストリル,6.1,4,2026-06-21T18:10:11
20260621-02-09,02,09,8,リリーズブルーム,241.3,12,2026-06-21T18:10:11
20260621-02-09,02,09,9,モルビド,73.4,10,2026-06-21T18:10:11
20260621-02-09,02,09,10,ソングオブザバード,4.4,2,2026-06-21T18:10:11
20260621-02-09,02,09,11,ルージュカエラ,240.3,11,2026-06-21T18:10:11
20260621-02-09,02,09,12,エイカイコバチ,18.8,8,2026-06-21T18:10:11
20260621-02-10,02,10,1,ギマール,10.9,4,2026-06-21T18:10:11
20260621-02-10,02,10,2,レッドライトニング,10.2,3,2026-06-21T18:10:11
20260621-02-10,02,10,3,ジュンラトゥール,12.1,5,2026-06-21T18:10:11
20260621-02-10,02,10,4,タイヨウフレア,138.2,9,2026-06-21T18:10:11
20260621-02-10,02,10,5,クリノキングマン,33.9,6,2026-06-21T18:10:11
20260621-02-10,02,10,6,チャーリー,1.3,1,2026-06-21T18:10:11
20260621-02-10,02,10,7,ラマンシュ,62.1,8,2026-06-21T18:10:11
20260621-02-10,02,10,8,アールプロスト,42.8,7,2026-06-21T18:10:11
20260621-02-10,02,10,9,ライフゲート,6.4,2,2026-06-21T18:10:11
20260621-02-11,02,11,1,トールキン,75.9,15,2026-06-21T18:10:11
20260621-02-11,02,11,2,メルトユアハート,9.4,6,2026-06-21T18:10:11
20260621-02-11,02,11,3,エヴァンスウィート,8.0,4,2026-06-21T18:10:11
20260621-02-11,02,11,4,パクスロマーナ,17.3,9,2026-06-21T18:10:11
20260621-02-11,02,11,5,スティールブルー,14.3,7,2026-06-21T18:10:11
20260621-02-11,02,11,6,シカゴスティング,7.3,3,2026-06-21T18:10:11
20260621-02-11,02,11,7,ダークエクリプス,50.6,14,2026-06-21T18:10:11
