race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260801-01-01,01,01,7,310,7,150,5,420,3,200
20260801-01-02,01,02,6,550,6,170,4,140,2,140
20260801-01-03,01,03,8,640,8,170,11,170,5,130
20260801-01-04,01,04,7,1000,7,200,1,110,11,150
20260801-01-05,01,05,7,250,7,110,5,120,3,130
20260801-01-06,01,06,8,160,8,110,7,160,4,150
20260801-01-07,01,07,3,550,3,260,11,320,5,390
20260801-01-08,01,08,4,140,4,110,10,410,8,230
20260801-01-09,01,09,7,520,7,300,5,790,,0
20260801-01-10,01,10,1,300,1,140,8,130,5,150
20260801-01-11,01,11,10,860,10,240,12,180,11,190
20260801-01-12,01,12,1,730,1,210,3,130,6,320
20260801-04-01,04,01,10,210,10,130,4,380,7,430
20260801-04-02,04,02,3,160,3,110,4,160,2,120
20260801-04-03,04,03,3,320,3,160,13,160,6,200
20260801-04-04,04,04,6,370,6,150,5,330,15,200
20260801-04-05,04,05,6,430,6,210,5,1050,2,220
20260801-04-06,04,06,1,520,1,210,10,120,9,380
20260801-04-07,04,07,11,440,11,180,2,230,12,390
20260801-04-08,04,08,10,1100,10,220,6,260,11,110
20260801-04-09,04,09,7,410,7,190,12,990,3,230
20260801-04-10,04,10,11,2640,11,330,1,280,13,110
20260801-04-11,04,11,2,490,2,180,11,140,5,230
20260801-04-12,04,12,7,550,7,210,6,310,8,290
20260801-07-01,07,01,7,590,7,180,8,140,10,400
20260801-07-02,07,02,8,440,8,150,13,130,6,190
20260801-07-03,07,03,11,140,11,110,2,230,5,200
20260801-07-04,07,04,9,330,9,160,8,2580,13,410
20260801-07-05,07,05,14,450,14,150,9,130,2,190
20260801-07-06,07,06,3,190,3,110,13,290,8,150
20260801-07-07,07,07,6,1610,6,460,8,240,1,270
20260801-07-08,07,08,10,120,10,100,8,220,4,130
20260801-07-09,07,09,7,700,7,160,8,130,2,150
20260801-07-10,07,10,14,190,14,120,7,230,10,160
20260801-07-11,07,11,3,480,3,150,5,270,7,110
20260801-07-12,07,12,1,440,1,170,6,230,3,170
