race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260816-01-01,01,01,10,380,10,170,3,290,14,960
20260816-01-02,01,02,3,170,3,110,7,450,2,450
20260816-01-03,01,03,5,260,5,130,11,220,10,190
20260816-01-04,01,04,8,220,8,110,13,290,12,150
20260816-01-05,01,05,12,560,12,160,11,130,9,280
20260816-01-06,01,06,11,690,11,220,4,190,10,200
20260816-01-07,01,07,14,330,14,160,5,330,9,930
20260816-01-08,01,08,7,270,7,130,4,150,5,200
20260816-01-09,01,09,16,640,16,280,13,490,12,380
20260816-01-10,01,10,12,2370,12,490,10,160,2,290
20260816-01-11,01,11,15,680,15,260,8,320,14,970
20260816-01-12,01,12,2,120,2,110,12,140,13,270
20260816-04-01,04,01,1,490,1,110,4,180,8,100
20260816-04-02,04,02,5,850,5,210,15,130,3,290
20260816-04-03,04,03,3,350,3,190,8,170,10,430
20260816-04-04,04,04,9,280,9,170,4,240,5,1120
20260816-04-05,04,05,10,470,10,190,12,330,4,210
20260816-04-06,04,06,8,180,8,110,9,280,11,200
20260816-04-07,04,07,11,1110,11,350,6,310,10,350
20260816-04-08,04,08,8,9430,8,2130,10,400,6,640
20260816-04-09,04,09,5,590,5,220,4,250,12,1030
20260816-04-10,04,10,4,1900,4,400,10,150,13,160
20260816-04-11,04,11,5,1590,5,420,9,160,8,790
20260816-04-12,04,12,13,370,13,170,11,160,15,710
20260816-07-01,07,01,6,920,6,190,5,170,8,140
20260816-07-02,07,02,12,1650,12,340,4,190,10,630
20260816-07-03,07,03,8,150,8,110,5,290,7,230
20260816-07-04,07,04,4,740,4,250,7,240,3,430
20260816-07-05,07,05,8,5830,8,1120,2,200,11,160
20260816-07-06,07,06,6,500,6,210,1,200,,0
20260816-07-07,07,07,3,580,3,170,5,230,12,150
20260816-07-08,07,08,15,1890,15,370,6,170,10,150
20260816-07-09,07,09,3,260,3,160,12,500,9,630
20260816-07-10,07,10,10,3300,10,710,11,350,7,380
20260816-07-11,07,11,5,1340,5,690,15,1010,12,380
20260816-07-12,07,12,13,260,13,140,5,570,11,220
