race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260718-02-01,02,01,1,サンゴート,136.9,8,2026-07-18T09:40:03
20260718-02-01,02,01,2,ロジクラウン,1.2,1,2026-07-18T09:40:03
20260718-02-01,02,01,3,アートオブブライト,19.0,3,2026-07-18T09:40:03
20260718-02-01,02,01,4,ロードレスポンス,28.4,4,2026-07-18T09:40:03
20260718-02-01,02,01,5,レインボースター,54.7,5,2026-07-18T09:40:03
20260718-02-01,02,01,6,イッペイ,3.2,2,2026-07-18T09:40:03
20260718-02-01,02,01,7,ハイビスカス,67.2,6,2026-07-18T09:40:03
20260718-02-01,02,01,8,ガーシュウィン,79.3,7,2026-07-18T09:40:03
20260718-02-02,02,02,1,レディリリス,23.6,7,2026-07-18T10:10:02
20260718-02-02,02,02,2,メモリーデイズ,8.5,4,2026-07-18T10:10:02
20260718-02-02,02,02,3,ジェッディンデデン,26.7,8,2026-07-18T10:10:02
20260718-02-02,02,02,4,ブルーメンフェスト,86.5,11,2026-07-18T10:10:02
20260718-02-02,02,02,5,チュラヴェール,6.1,3,2026-07-18T10:10:02
20260718-02-02,02,02,6,メメボス,13.6,5,2026-07-18T10:10:02
20260718-02-02,02,02,7,ドリームガッサン,2.3,1,2026-07-18T10:10:02
20260718-02-02,02,02,8,クリーンブーケ,45.0,10,2026-07-18T10:10:02
20260718-02-02,02,02,9,ジャストキュート,123.7,12,2026-07-18T10:10:02
20260718-02-02,02,02,10,コシタンタン,20.1,6,2026-07-18T10:10:02
20260718-02-02,02,02,11,マーマレードスカイ,3.5,2,2026-07-18T10:10:02
20260718-02-02,02,02,12,ペイシャクロス,41.7,9,2026-07-18T10:10:02
20260718-02-03,02,03,1,ジャストグレース,19.7,8,2026-07-18T10:40:03
20260718-02-03,02,03,2,ザンテソーロ,6.1,4,2026-07-18T10:40:03
20260718-02-03,02,03,3,マーゴットデウス,16.4,6,2026-07-18T10:40:03
20260718-02-03,02,03,4,ウインガネーシャ,4.4,2,2026-07-18T10:40:03
20260718-02-03,02,03,5,ハイランダー,10.4,5,2026-07-18T10:40:03
20260718-02-03,02,03,6,リベンジャー,30.2,9,2026-07-18T10:40:03
20260718-02-03,02,03,7,エトワールブルー,128.4,12,2026-07-18T10:40:03
20260718-02-03,02,03,8,リバーソニック,4.7,3,2026-07-18T10:40:03
20260718-02-03,02,03,9,フェンリル,54.8,10,2026-07-18T10:40:03
20260718-02-03,02,03,10,ゴールデンボブ,16.7,7,2026-07-18T10:40:03
20260718-02-03,02,03,11,ポップアップ,3.1,1,2026-07-18T10:40:03
20260718-02-03,02,03,12,エースオブゴールド,121.0,11,2026-07-18T10:40:03
20260718-02-04,02,04,1,ニシノオールワン,3.7,2,2026-07-18T11:10:02
20260718-02-04,02,04,2,イズントイット,17.2,6,2026-07-18T11:10:02
20260718-02-04,02,04,3,スッサンエア,8.8,3,2026-07-18T11:10:02
20260718-02-04,02,04,4,シバノパージャン,551.3,16,2026-07-18T11:10:02
20260718-02-04,02,04,5,レッドアイスピア,18.9,7,2026-07-18T11:10:02
20260718-02-04,02,04,6,ガルフコースト,19.1,8,2026-07-18T11:10:02
20260718-02-04,02,04,7,オリヒメボシ,61.4,12,2026-07-18T11:10:02
20260718-02-04,02,04,8,ホウオウザロイヤル,2.2,1,2026-07-18T11:10:02
20260718-02-04,02,04,9,エコロデュラン,46.4,11,2026-07-18T11:10:02
20260718-02-04,02,04,10,メカニックバレエ,40.9,10,2026-07-18T11:10:02
20260718-02-04,02,04,11,シュヴェスター,209.2,13,2026-07-18T11:10:02
20260718-02-04,02,04,12,エルファリス,386.7,14,2026-07-18T11:10:02
20260718-02-04,02,04,13,デルマアサマ,518.9,15,2026-07-18T11:10:02
20260718-02-04,02,04,14,スノーガーネット,11.0,4,2026-07-18T11:10:02
20260718-02-04,02,04,15,ココソラーレ,15.1,5,2026-07-18T11:10:02
20260718-02-04,02,04,16,ヨドノサファイア,32.8,9,2026-07-18T11:10:02
20260718-02-05,02,05,1,サンオブザサン,13.4,8,2026-07-18T12:00:03
20260718-02-05,02,05,2,バンダムソレール,24.4,10,2026-07-18T12:00:03
20260718-02-05,02,05,3,チャーチルデュース,10.2,5,2026-07-18T12:00:03
20260718-02-05,02,05,4,コウソクユノ,10.7,6,2026-07-18T12:00:03
20260718-02-05,02,05,5,ディープマウンテン,95.5,13,2026-07-18T12:00:03
20260718-02-05,02,05,6,イトシサ,6.2,3,2026-07-18T12:00:03
20260718-02-05,02,05,7,フロムザムーン,277.1,14,2026-07-18T12:00:03
20260718-02-05,02,05,8,ホウオウライセンス,24.5,11,2026-07-18T12:00:03
20260718-02-05,02,05,9,ペガサスウィンド,6.3,4,2026-07-18T12:00:03
20260718-02-05,02,05,10,ダノンアクション,13.3,7,2026-07-18T12:00:03
20260718-02-05,02,05,11,ルージュプルーヴ,60.4,12,2026-07-18T12:00:03
20260718-02-05,02,05,12,モンロワイヤル,4.4,1,2026-07-18T12:00:03
20260718-02-05,02,05,13,レースクイーン,20.8,9,2026-07-18T12:00:03
20260718-02-05,02,05,14,メイショウセンドウ,4.8,2,2026-07-18T12:00:03
20260718-02-06,02,06,1,ファインブライト,75.1,11,2026-07-18T12:30:03
20260718-02-06,02,06,2,トリニタリオ,2.0,1,2026-07-18T12:30:03
20260718-02-06,02,06,3,ホウショウリュウ,184.3,12,2026-07-18T12:30:03
20260718-02-06,02,06,4,エイシンリーガル,24.2,7,2026-07-18T12:30:03
20260718-02-06,02,06,5,テンユウ,9.4,4,2026-07-18T12:30:03
20260718-02-06,02,06,6,コスモクラシック,36.2,9,2026-07-18T12:30:03
20260718-02-06,02,06,7,カリドーラ,27.2,8,2026-07-18T12:30:03
20260718-02-06,02,06,8,ホテルストリート,15.5,5,2026-07-18T12:30:03
20260718-02-06,02,06,9,イーサンミラー,21.0,6,2026-07-18T12:30:03
20260718-02-06,02,06,10,グローリーバローズ,41.9,10,2026-07-18T12:30:03
20260718-02-06,02,06,11,ジュラトリー,8.8,3,2026-07-18T12:30:03
20260718-02-06,02,06,12,ショウナンマルチ,3.6,2,2026-07-18T12:30:03
20260718-02-07,02,07,1,エンダードラゴン,8.2,4,2026-07-18T13:00:03
20260718-02-07,02,07,2,タイセイデクスター,90.2,12,2026-07-18T13:00:03
20260718-02-07,02,07,3,イサギ,38.6,10,2026-07-18T13:00:03
20260718-02-07,02,07,4,ディアスポラ,30.8,7,2026-07-18T13:00:03
20260718-02-07,02,07,5,ウィズマスタング,9.6,6,2026-07-18T13:00:03
20260718-02-07,02,07,6,ノリノドラゴン,31.8,9,2026-07-18T13:00:03
20260718-02-07,02,07,7,グランセレスト,7.2,3,2026-07-18T13:00:03
20260718-02-07,02,07,8,パラダイスフェイス,3.1,1,2026-07-18T13:00:03
20260718-02-07,02,07,9,シェーンルスカ,212.2,14,2026-07-18T13:00:03
20260718-02-07,02,07,10,タイセツナヒ,31.4,8,2026-07-18T13:00:03
20260718-02-07,02,07,11,ストロングボーイ,3.5,2,2026-07-18T13:00:03
20260718-02-07,02,07,12,カーマンライン,55.0,11,2026-07-18T13:00:03
20260718-02-07,02,07,13,ガラスノブルース,143.0,13,2026-07-18T13:00:03
20260718-02-07,02,07,14,ホウオウバローロ,8.2,5,2026-07-18T13:00:03
20260718-02-08,02,08,1,ワンダフルデイズ,11.8,4,2026-07-18T13:30:03
20260718-02-08,02,08,2,シャインバオバブ,71.8,9,2026-07-18T13:30:03
20260718-02-08,02,08,3,バルドル,25.6,7,2026-07-18T13:30:03
20260718-02-08,02,08,4,テイクザクラウン,17.1,5,2026-07-18T13:30:03
20260718-02-08,02,08,5,アーレムアレス,1.4,1,2026-07-18T13:30:03
20260718-02-08,02,08,6,マイネルゼウス,24.6,6,2026-07-18T13:30:03
20260718-02-08,02,08,7,アスクファイアモア,37.4,8,2026-07-18T13:30:03
20260718-02-08,02,08,8,ジーティートシオー,222.5,11,2026-07-18T13:30:03
20260718-02-08,02,08,9,ペリプルス,88.0,10,2026-07-18T13:30:03
20260718-02-08,02,08,10,メイショウテンク,7.4,3,2026-07-18T13:30:03
20260718-02-08,02,08,11,エリナ,433.4,12,2026-07-18T13:30:03
20260718-02-08,02,08,12,マテンロウオリジン,6.0,2,2026-07-18T13:30:03
20260718-02-09,02,09,1,マカナアネラ,13.4,6,2026-07-18T14:00:03
20260718-02-09,02,09,2,アドミラルシップ,9.9,4,2026-07-18T14:00:03
20260718-02-09,02,09,3,ホウオウペトリュス,94.3,12,2026-07-18T14:00:03
20260718-02-09,02,09,4,グランセゾン,14.9,7,2026-07-18T14:00:03
20260718-02-09,02,09,5,ドッグウッド,2.2,1,2026-07-18T14:00:03
20260718-02-09,02,09,6,ビービーバザーク,66.3,11,2026-07-18T14:00:03
20260718-02-09,02,09,7,マイネルシンベリン,4.3,2,2026-07-18T14:00:03
20260718-02-09,02,09,8,ハミルトン,56.9,10,2026-07-18T14:00:03
20260718-02-09,02,09,9,ウインポセイドン,44.7,9,2026-07-18T14:00:03
20260718-02-09,02,09,10,ディーリライズ,8.7,3,2026-07-18T14:00:03
20260718-02-09,02,09,11,マイバラード,123.5,13,2026-07-18T14:00:03
20260718-02-09,02,09,12,コウギョク,20.6,8,2026-07-18T14:00:03
20260718-02-09,02,09,13,ゴーゴータカシ,11.1,5,2026-07-18T14:00:03
20260718-02-10,02,10,1,フミサウンド,18.4,5,2026-07-18T14:40:03
20260718-02-10,02,10,2,ストリンジェンド,124.0,10,2026-07-18T14:40:03
20260718-02-10,02,10,3,ムチャスグラシアス,64.8,9,2026-07-18T14:40:03
20260718-02-10,02,10,4,マナボニート,1.6,1,2026-07-18T14:40:03
20260718-02-10,02,10,5,フードマン,6.8,3,2026-07-18T14:40:03
20260718-02-10,02,10,6,バシレウスシチー,32.7,8,2026-07-18T14:40:03
20260718-02-10,02,10,7,サンドロナイト,26.8,6,2026-07-18T14:40:03
20260718-02-10,02,10,8,マジカルフェアリー,7.5,4,2026-07-18T14:40:03
20260718-02-10,02,10,9,エクストラバック,28.8,7,2026-07-18T14:40:03
20260718-02-10,02,10,10,アパッシメント,5.1,2,2026-07-18T14:40:03
20260718-02-11,02,11,1,チュウワクリスエス,10.8,7,2026-07-18T15:10:03
20260718-02-11,02,11,2,コトホドサヨウニ,14.3,9,2026-07-18T15:10:03
20260718-02-11,02,11,3,オウギノカナメ,19.3,10,2026-07-18T15:10:03
20260718-02-11,02,11,4,ホールシバン,55.9,12,2026-07-18T15:10:03
20260718-02-11,02,11,5,イガッチ,8.4,5,2026-07-18T15:10:03
20260718-02-11,02,11,6,テーオードレフォン,50.0,11,2026-07-18T15:10:03
20260718-02-11,02,11,7,ラタフォレスト,7.8,4,2026-07-18T15:10:03
20260718-02-11,02,11,8,ハグ,10.3,6,2026-07-18T15:10:03
20260718-02-11,02,11,9,アスクデビューモア,74.1,13,2026-07-18T15:10:03
20260718-02-11,02,11,10,ウェイワードアクト,3.7,1,2026-07-18T15:10:03
20260718-02-11,02,11,11,ヒルノハンブルク,7.1,3,2026-07-18T15:10:03
20260718-02-11,02,11,12,レヴォントゥレット,6.5,2,2026-07-18T15:10:03
20260718-02-11,02,11,13,マーブルロック,12.7,8,2026-07-18T15:10:03
20260718-02-12,02,12,1,ラミアメンテ,6.9,4,2026-07-18T16:00:03
