race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260718-02-01,02,01,2,120,2,100,6,100,3,130
20260718-02-02,02,02,2,850,2,240,7,150,12,770
20260718-02-03,02,03,8,470,8,150,4,140,11,130
20260718-02-04,02,04,8,220,8,130,5,380,3,200
20260718-02-05,02,05,8,2450,8,830,2,580,6,260
20260718-02-06,02,06,12,360,12,130,2,110,6,430
20260718-02-07,02,07,8,310,8,140,11,170,2,1940
20260718-02-08,02,08,6,2460,6,820,1,630,3,1510
20260718-02-09,02,09,5,220,5,120,7,200,4,230
20260718-02-10,02,10,10,510,10,160,4,110,5,140
20260718-02-11,02,11,10,370,10,150,12,200,11,180
20260718-02-12,02,12,1,690,1,250,3,190,7,300
20260718-03-01,03,01,12,760,12,290,5,330,8,280
20260718-03-02,03,02,2,200,2,110,3,150,1,110
20260718-03-03,03,03,13,370,13,140,6,120,9,120
20260718-03-04,03,04,12,390,12,170,4,290,9,400
20260718-03-05,03,05,2,270,2,140,13,280,1,190
20260718-03-06,03,06,2,1790,2,350,15,250,3,2550
20260718-03-07,03,07,11,390,11,190,13,890,7,490
20260718-03-08,03,08,12,650,12,230,11,400,7,4660
20260718-03-09,03,09,8,3010,8,400,11,140,5,110
20260718-03-10,03,10,15,1830,15,540,14,450,6,190
20260718-03-11,03,11,13,480,13,230,8,660,4,380
20260718-03-12,03,12,6,400,6,160,2,140,8,250
20260718-10-01,10,01,2,420,2,170,6,200,9,170
20260718-10-02,10,02,10,460,10,150,5,110,4,360
20260718-10-03,10,03,2,320,2,140,5,280,14,170
20260718-10-04,10,04,5,8260,5,810,7,260,4,110
20260718-10-05,10,05,1,120,1,110,3,150,,0
20260718-10-06,10,06,6,340,6,150,12,150,3,320
20260718-10-07,10,07,13,280,13,140,8,180,12,150
20260718-10-08,10,08,3,270,3,140,5,150,9,350
20260718-10-09,10,09,16,190,16,120,8,490,10,240
20260718-10-10,10,10,2,500,2,180,1,140,7,370
20260718-10-11,10,11,5,180,5,110,3,440,10,250
20260718-10-12,10,12,5,160,5,110,7,180,14,230
