race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260725-01-01,01,01,7,380,7,120,5,110,3,110
20260725-01-02,01,02,5,360,5,140,8,160,7,1750
20260725-01-03,01,03,3,240,3,110,8,130,6,120
20260725-01-04,01,04,11,290,11,120,6,160,4,140
20260725-01-05,01,05,1,280,1,130,3,110,,0
20260725-01-06,01,06,9,3530,9,660,10,170,4,400
20260725-01-07,01,07,13,6120,13,970,7,190,2,320
20260725-01-08,01,08,7,200,7,110,6,720,5,230
20260725-01-09,01,09,1,2470,1,610,8,1590,10,230
20260725-01-10,01,10,5,1050,5,330,7,170,3,730
20260725-01-11,01,11,7,210,7,120,5,180,3,160
20260725-01-12,01,12,5,360,5,120,9,140,8,110
20260725-04-01,04,01,10,220,10,110,2,120,7,130
20260725-04-02,04,02,12,3040,12,560,11,180,8,370
20260725-04-03,04,03,4,1630,4,190,1,110,8,270
20260725-04-04,04,04,3,330,3,140,15,170,4,180
20260725-04-05,04,05,5,330,5,130,7,120,11,140
20260725-04-06,04,06,7,1040,7,220,9,160,14,130
20260725-04-07,04,07,6,950,6,310,1,370,3,350
20260725-04-08,04,08,6,580,6,200,10,200,2,690
20260725-04-09,04,09,8,900,8,240,4,190,10,620
20260725-04-10,04,10,9,450,9,150,8,210,12,150
20260725-04-11,04,11,4,1030,4,350,8,1940,2,1320
20260725-04-12,04,12,7,3460,7,840,13,820,12,300
20260725-07-01,07,01,1,250,1,220,6,280,3,320
20260725-07-02,07,02,11,190,11,110,12,1100,1,210
20260725-07-03,07,03,10,260,10,130,6,130,12,200
20260725-07-04,07,04,8,310,8,150,14,200,9,2980
20260725-07-05,07,05,12,200,12,110,3,570,4,240
20260725-07-06,07,06,12,460,12,220,13,220,14,630
20260725-07-07,07,07,1,330,1,200,10,300,7,170
20260725-07-08,07,08,8,210,8,110,1,130,2,210
20260725-07-09,07,09,2,260,2,150,9,2170,12,190
20260725-07-10,07,10,12,790,12,180,13,180,9,130
20260725-07-11,07,11,3,150,3,110,7,110,2,220
20260725-07-12,07,12,3,970,3,280,4,140,8,200
