race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,planned_stake_yen_100unit,settled_stake_yen_100unit,horse_refunded,prediction_issued,race_status,result_resolved,payout_resolved,payout_final,actual_execution_date,evaluable,evaluation_exclusion_reason,profit_loss_yen_100unit
20260922-06-01,06,01,,2880,14,1,アドアプローズ,,,26.2,9,25.5,9,0.0392,,,,False,2,0,520,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,2,カルマンフィルター,☆,5,4.7,2,5.3,2,0.1887,0.11699999999999999,0.55,接戦,False,1,530,160,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,3,コトブキヘスペラス,,,99.8,13,62.3,12,0.0161,,,,False,4,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,4,テンプーシャオン,,,138.4,14,152.8,14,0.0065,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,5,ゴーツウキリシマ,○,2,13.5,5,14.9,7,0.0671,0.078,1.06,接戦,False,9,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,6,シュハリ,,,32.7,10,36.9,10,0.0271,,,,False,13,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,7,アルシミスト,,,17.1,8,12.0,6,0.0833,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,8,バンデルオーラ,,,15.4,6,11.4,5,0.0877,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,9,アバットゥータ,▲,3,5.3,3,5.9,4,0.1695,0.098,0.52,接戦,False,6,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,10,ブランフォルテ,△,4,7.5,4,5.4,3,0.1852,0.15,1.13,接戦,False,10,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,11,ロイガヴェーグル,,,81.1,12,90.3,13,0.0111,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,12,ニシノブレイゼスト,,,16.1,7,17.1,8,0.0585,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,13,サトノドルチェ,,,35.1,11,40.9,11,0.0244,,,,False,14,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-01,06,01,,2880,14,14,グランナヴィール,◎,1,2.9,1,3.4,1,0.2941,0.22399999999999998,0.65,接戦,False,3,0,140,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,1,スノーキャップ,,,105.9,13,105.9,13,0.0094,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,2,ゴータマ,,,51.7,10,51.7,10,0.0193,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,3,ナナレイ,,,51.8,11,51.8,11,0.0193,,,,False,4,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,4,スペシャルサンクス,▲,3,5.3,2,5.3,2,0.1887,0.114,0.6,接戦,False,2,0,160,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,5,ナリタライズ,,,21.6,8,21.6,8,0.0463,,,,False,14,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
20260922-06-02,06,02,,1200,14,6,ニシノタカオ,,,23.3,9,23.3,9,0.0429,,,,False,6,0,0,0,0,False,True,RUN,True,True,True,20260922,True,,0
