race_id,track_code,race_num,horse_num,horse_name,confirmed_order
20260922-06-01,06,01,1,アドアプローズ,2
20260922-06-01,06,01,2,カルマンフィルター,1
20260922-06-01,06,01,3,コトブキヘスペラス,4
20260922-06-01,06,01,4,テンプーシャオン,11
20260922-06-01,06,01,5,ゴーツウキリシマ,9
20260922-06-01,06,01,6,シュハリ,13
20260922-06-01,06,01,7,アルシミスト,7
20260922-06-01,06,01,8,バンデルオーラ,5
20260922-06-01,06,01,9,アバットゥータ,6
20260922-06-01,06,01,10,ブランフォルテ,10
20260922-06-01,06,01,11,ロイガヴェーグル,12
20260922-06-01,06,01,12,ニシノブレイゼスト,8
20260922-06-01,06,01,13,サトノドルチェ,14
20260922-06-01,06,01,14,グランナヴィール,3
20260922-06-02,06,02,1,スノーキャップ,9
20260922-06-02,06,02,2,ゴータマ,12
20260922-06-02,06,02,3,ナナレイ,4
20260922-06-02,06,02,4,スペシャルサンクス,2
20260922-06-02,06,02,5,ナリタライズ,14
20260922-06-02,06,02,6,ニシノタカオ,6
20260922-06-02,06,02,7,シジマ,7
20260922-06-02,06,02,8,バタフライ,1
20260922-06-02,06,02,9,ニシノムホウモノ,11
20260922-06-02,06,02,10,ニシノアトール,3
20260922-06-02,06,02,11,ハミングリップス,10
20260922-06-02,06,02,12,ダンシングアワー,8
20260922-06-02,06,02,13,トーセンルルド,5
20260922-06-02,06,02,14,タワーウマザンマイ,13
20260922-06-03,06,03,1,ビスクヴィート,6
20260922-06-03,06,03,2,モミスケ,1
20260922-06-03,06,03,3,ソウラスフロス,11
20260922-06-03,06,03,4,シュアシング,9
20260922-06-03,06,03,5,ドナビッグベン,3
20260922-06-03,06,03,6,ベアアミーチ,4
20260922-06-03,06,03,7,スウィット,7
20260922-06-03,06,03,8,ギムナシオン,2
20260922-06-03,06,03,9,ヤマニンスペッキオ,5
20260922-06-03,06,03,10,ダンシングリリー,8
20260922-06-03,06,03,11,ヒーローシー,10
20260922-06-04,06,04,1,サンアンドスターズ,6
20260922-06-04,06,04,2,マイネルアルディ,8
20260922-06-04,06,04,3,アニエーネ,3
20260922-06-04,06,04,4,キャピタルストーン,1
20260922-06-04,06,04,5,トーセンシントラ,7
20260922-06-04,06,04,6,クシェドゥソレイユ,5
20260922-06-04,06,04,7,ドナリー,2
20260922-06-04,06,04,8,エレスレイプニル,10
20260922-06-04,06,04,9,コスモバルムンク,4
20260922-06-04,06,04,10,キャッチアップ,9
20260922-06-05,06,05,1,ビーハッピーデイ,6
20260922-06-05,06,05,2,ローズサルーテ,1
20260922-06-05,06,05,3,アイファーエリース,9
20260922-06-05,06,05,4,コスモグリュー,10
20260922-06-05,06,05,5,ナツハゼ,13
20260922-06-05,06,05,6,ナイトオブマース,8
20260922-06-05,06,05,7,ジェイエルターボ,3
20260922-06-05,06,05,8,リネンエトワール,2
20260922-06-05,06,05,9,コールオンユー,12
20260922-06-05,06,05,10,ロックドダイアリー,4
20260922-06-05,06,05,11,アマンドショコラ,14
20260922-06-05,06,05,12,フェスタベラ,11
20260922-06-05,06,05,13,ポテ,7
20260922-06-05,06,05,14,ステラストリーム,15
20260922-06-05,06,05,15,セレネリオン,5
20260922-06-06,06,06,1,ネオロマーネ,1
20260922-06-06,06,06,2,シンヒダカムーン,3
20260922-06-06,06,06,3,ヤマメゴリュウ,5
20260922-06-06,06,06,4,パッションノーヴァ,4
20260922-06-06,06,06,5,テンポアニマート,2
20260922-06-06,06,06,6,メダルボーイ,6
20260922-06-06,06,06,7,ゴクラクチョウカ,7
20260922-06-06,06,06,8,スリーボンド,8
20260922-06-07,06,07,1,サムシングニュー,5
20260922-06-07,06,07,2,ブレスドナイル,4
20260922-06-07,06,07,3,タケルムサシ,8
20260922-06-07,06,07,4,ビリオネアボーイ,10
20260922-06-07,06,07,5,ペルヴォルム,14
20260922-06-07,06,07,6,メトロポリターナ,6
20260922-06-07,06,07,7,ユアフェリシティ,1
20260922-06-07,06,07,8,ホーナー,12
20260922-06-07,06,07,9,オウケンヴィーナス,11
20260922-06-07,06,07,10,サムワンライクユー,9
20260922-06-07,06,07,11,クリノゴッホ,13
20260922-06-07,06,07,12,レボルシオン,2
20260922-06-07,06,07,13,ナックスプレンダー,7
20260922-06-07,06,07,14,アンシュウマト,3
20260922-06-08,06,08,1,プルーヴンウィナー,2
20260922-06-08,06,08,2,リリエンフェルト,8
20260922-06-08,06,08,3,コウセイケンタロス,13
20260922-06-08,06,08,4,ラルガメンテ,9
20260922-06-08,06,08,5,メアヴィア,12
20260922-06-08,06,08,6,リュウジンマル,16
20260922-06-08,06,08,7,マーゴットソラーレ,1
20260922-06-08,06,08,8,ウイントリベルガ,6
20260922-06-08,06,08,9,ピースヒロフェイス,7
20260922-06-08,06,08,10,フォーグッド,14
20260922-06-08,06,08,11,テイキットイージー,5
20260922-06-08,06,08,12,イモータリス,4
20260922-06-08,06,08,13,ブリックアブラック,3
20260922-06-08,06,08,14,マルカベント,15
20260922-06-08,06,08,15,サフランルージュ,11
20260922-06-08,06,08,16,ベルウッドクレド,10
20260922-06-09,06,09,1,コンアフェット,8
20260922-06-09,06,09,2,ヴァズレーヌ,6
20260922-06-09,06,09,3,パースウェイド,10
20260922-06-09,06,09,4,エアトベーレ,1
20260922-06-09,06,09,5,サファイアテソーロ,14
20260922-06-09,06,09,6,フィールオーサム,15
20260922-06-09,06,09,7,コパノエビータ,5
20260922-06-09,06,09,8,カスバートテソーロ,9
20260922-06-09,06,09,9,ルージュマローネ,13
20260922-06-09,06,09,10,ヴァリオーサ,3
20260922-06-09,06,09,11,ロイスター,4
20260922-06-09,06,09,12,レーヴドレフォン,11
20260922-06-09,06,09,13,セレーノ,16
20260922-06-09,06,09,14,ヴンダーバール,2
20260922-06-09,06,09,15,ステラスプレンダー,12
20260922-06-09,06,09,16,ユーヴェリア,7
20260922-06-10,06,10,1,フミサウンド,2
20260922-06-10,06,10,2,レッドレナート,3
20260922-06-10,06,10,3,ジャルディニエ,8
20260922-06-10,06,10,4,エリム,10
20260922-06-10,06,10,5,デイトナチャンプ,5
20260922-06-10,06,10,6,セブンマイスター,7
20260922-06-10,06,10,7,アロンソア,6
20260922-06-10,06,10,8,ロゼル,9
20260922-06-10,06,10,9,アルデトップガン,1
20260922-06-10,06,10,10,サヴァビアン,11
20260922-06-10,06,10,11,プリムツァール,4
20260922-06-11,06,11,1,マーシヴィガラス,16
20260922-06-11,06,11,2,キョウエイフロイデ,10
20260922-06-11,06,11,3,ディーズゴールド,2
20260922-06-11,06,11,4,グレイテストソング,6
20260922-06-11,06,11,5,サノノワンダー,4
20260922-06-11,06,11,6,タンゴバイラリン,9
20260922-06-11,06,11,7,オレデイイノカ,15
20260922-06-11,06,11,8,ブロッケンボウ,14
20260922-06-11,06,11,9,ラオラシオン,11
20260922-06-11,06,11,10,ブルータス,13
20260922-06-11,06,11,11,ダカラフェスティヴ,12
20260922-06-11,06,11,12,リフレックス,3
20260922-06-11,06,11,13,ハッスルダンク,8
20260922-06-11,06,11,14,レディーフランシス,1
20260922-06-11,06,11,15,ゲキザル,5
20260922-06-11,06,11,16,ルーラーリッチ,7
20260922-06-12,06,12,1,キイチムーブメント,8
20260922-06-12,06,12,2,ロードストラダーレ,4
20260922-06-12,06,12,3,フュルスティン,5
20260922-06-12,06,12,4,デルマエアロール,15
20260922-06-12,06,12,5,アレーティア,13
20260922-06-12,06,12,6,カシノリアーナ,14
20260922-06-12,06,12,7,アルマグラース,16
20260922-06-12,06,12,8,ホウオウガイア,6
20260922-06-12,06,12,9,アルシャンティ,9
20260922-06-12,06,12,10,カサブランカキッド,11
20260922-06-12,06,12,11,エコロバロン,7
20260922-06-12,06,12,12,ソードスレイプニル,2
20260922-06-12,06,12,13,ジェイエルキャリア,1
20260922-06-12,06,12,14,エフエイト,12
20260922-06-12,06,12,15,シルバードン,3
20260922-06-12,06,12,16,ノースブルースカイ,10
