race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260922-06-01,06,01,2,530,2,160,1,520,14,140
20260922-06-02,06,02,8,260,8,140,4,160,10,230
20260922-06-03,06,03,2,3860,2,530,8,130,5,110
20260922-06-04,06,04,4,180,4,110,7,160,3,140
20260922-06-05,06,05,2,550,2,230,8,210,7,610
20260922-06-06,06,06,1,600,1,180,5,120,2,300
20260922-06-07,06,07,7,140,7,110,12,220,14,190
20260922-06-08,06,08,7,550,7,240,1,790,13,480
20260922-06-09,06,09,4,1850,4,400,14,180,10,2830
20260922-06-10,06,10,9,530,9,190,1,610,2,240
20260922-06-11,06,11,14,1370,14,370,3,190,12,170
20260922-06-12,06,12,13,190,13,130,12,290,15,200
