race_id,track_code,race_num,horse_num,horse_name,confirmed_order
20260712-02-01,02,01,1,ニシノギャルズ,6
20260712-02-01,02,01,2,クリコイーコ,7
20260712-02-01,02,01,3,トリアングルレディ,8
20260712-02-01,02,01,4,ビタミンドロップ,1
20260712-02-01,02,01,5,ヒューザー,5
20260712-02-01,02,01,6,スイーヴル,2
20260712-02-01,02,01,7,マーゴットオネイロ,4
20260712-02-01,02,01,8,アジーザム,10
20260712-02-01,02,01,9,ホワイトラバーズ,9
20260712-02-01,02,01,10,スプリングドリーム,12
20260712-02-01,02,01,11,ホウオウワイズ,11
20260712-02-01,02,01,12,サンライズロイ,3
20260712-02-02,02,02,1,フィエスタ,7
20260712-02-02,02,02,2,ボーントゥラブユー,12
20260712-02-02,02,02,3,ダンツアラーム,8
20260712-02-02,02,02,4,スリールーディカ,4
20260712-02-02,02,02,5,ビアーレ,11
20260712-02-02,02,02,6,プリュイドール,3
20260712-02-02,02,02,7,ベネディクション,1
20260712-02-02,02,02,8,アルケミラモリス,6
20260712-02-02,02,02,9,エアヴァイブス,5
20260712-02-02,02,02,10,アーミル,13
20260712-02-02,02,02,11,サウンドファミリエ,2
20260712-02-02,02,02,12,ワンダージェム,10
20260712-02-02,02,02,13,ヴィンテール,9
20260712-02-03,02,03,1,ファントムグレース,11
20260712-02-03,02,03,2,サクセスゴールド,5
20260712-02-03,02,03,3,コーリンクレア,7
20260712-02-03,02,03,4,ジャストアダッシュ,10
20260712-02-03,02,03,5,セラサイト,3
20260712-02-03,02,03,6,ゴーントゥファー,13
20260712-02-03,02,03,7,ロスニーニョス,8
20260712-02-03,02,03,8,ハイテイラオユエ,2
20260712-02-03,02,03,9,エクラドット,4
20260712-02-03,02,03,10,ホウオウロレンシア,12
20260712-02-03,02,03,11,コサージュ,14
20260712-02-03,02,03,12,ビンバラ,1
20260712-02-03,02,03,13,アドバンスジェンヌ,9
20260712-02-03,02,03,14,スリーケイ,6
20260712-02-04,02,04,1,ミカレオス,5
20260712-02-04,02,04,2,ダイナソーコー,4
20260712-02-04,02,04,3,ラッキーシグネチャ,2
20260712-02-04,02,04,4,タケルフォーカス,1
20260712-02-04,02,04,5,ウインブリザード,7
20260712-02-04,02,04,6,マジックファイヤー,11
20260712-02-04,02,04,7,ブリックアブラック,3
20260712-02-04,02,04,8,レジーナレガリア,10
20260712-02-04,02,04,9,レフィノス,13
20260712-02-04,02,04,10,モヴシエラ,15
20260712-02-04,02,04,11,アグアフレスカ,6
20260712-02-04,02,04,12,デイズインザサン,8
20260712-02-04,02,04,13,ヴィラジョヴィス,14
20260712-02-04,02,04,14,ダディーズソード,16
20260712-02-04,02,04,15,ハルノアメ,9
20260712-02-04,02,04,16,テンバコウクウ,12
20260712-02-05,02,05,1,ジオ,7
20260712-02-05,02,05,2,トルネードサンダー,5
20260712-02-05,02,05,3,リラカリス,10
20260712-02-05,02,05,4,デアグランツ,1
20260712-02-05,02,05,5,イッペイ,2
20260712-02-05,02,05,6,アオイノリプー,3
20260712-02-05,02,05,7,アルデシンザン,9
20260712-02-05,02,05,8,ニーナラルゴ,4
20260712-02-05,02,05,9,トムクリオーザ,8
20260712-02-05,02,05,10,ブラッグス,6
20260712-02-06,02,06,1,ミルトメロディー,1
20260712-02-06,02,06,2,サトノフレイ,2
20260712-02-06,02,06,3,ミレニアルピンク,3
20260712-02-06,02,06,4,ビップジョワ,5
20260712-02-06,02,06,5,ドラリズム,7
20260712-02-06,02,06,6,ハナイロマヒナ,16
20260712-02-06,02,06,7,フォークスアップ,10
20260712-02-06,02,06,8,フォルストランキル,13
20260712-02-06,02,06,9,ワイドアルバ,12
20260712-02-06,02,06,10,ネオシューマン,11
20260712-02-06,02,06,11,ソルトバーン,6
20260712-02-06,02,06,12,マティンデ,9
20260712-02-06,02,06,13,ハネマン,15
20260712-02-06,02,06,14,ルージュフィーリア,4
20260712-02-06,02,06,15,ノーブルマドンナ,14
20260712-02-06,02,06,16,ルーチェコメット,8
20260712-02-07,02,07,1,バシリス,8
20260712-02-07,02,07,2,デルマサクラサク,2
20260712-02-07,02,07,3,ウィンターガーデン,4
20260712-02-07,02,07,4,リピース,3
20260712-02-07,02,07,5,マリブサーフ,6
20260712-02-07,02,07,6,サウンドルーチェ,5
20260712-02-07,02,07,7,アリストクラシア,7
20260712-02-07,02,07,8,コイタマチャン,9
20260712-02-07,02,07,9,ヒミノエトワール,1
20260712-02-08,02,08,1,ブレイクザアイス,7
20260712-02-08,02,08,2,シャローファースト,1
20260712-02-08,02,08,3,シドニーホバート,9
20260712-02-08,02,08,4,ディースプレマシー,10
20260712-02-08,02,08,5,シーリュウシー,6
20260712-02-08,02,08,6,カージオイド,8
20260712-02-08,02,08,7,ステイアンビシャス,4
20260712-02-08,02,08,8,ミスターエメラルド,3
20260712-02-08,02,08,9,ダイシンレアレア,2
20260712-02-08,02,08,10,ハイドパーク,11
20260712-02-08,02,08,11,サトノリアン,5
20260712-02-09,02,09,1,マイネルフーガ,1
20260712-02-09,02,09,2,ジャズ,3
20260712-02-09,02,09,3,バルティカ,9
20260712-02-09,02,09,4,ウィルサヴァイブ,12
20260712-02-09,02,09,5,テルヒコウ,2
20260712-02-09,02,09,6,ロードマンハイム,13
20260712-02-09,02,09,7,エリム,10
20260712-02-09,02,09,8,サタデーサンライズ,4
20260712-02-09,02,09,9,エーデル,7
20260712-02-09,02,09,10,コッツォリーノ,14
20260712-02-09,02,09,11,レイヤードレッド,8
20260712-02-09,02,09,12,フォルテフィオーレ,5
20260712-02-09,02,09,13,フナデ,6
20260712-02-09,02,09,14,ラブリーリディア,11
20260712-02-10,02,10,1,カネコメブライト,6
20260712-02-10,02,10,2,サンディブロンド,11
20260712-02-10,02,10,3,デアプリームス,4
20260712-02-10,02,10,4,エコロレバン,12
20260712-02-10,02,10,5,ヒットミー,2
20260712-02-10,02,10,6,クロナ,1
20260712-02-10,02,10,7,サベージラヴ,10
20260712-02-10,02,10,8,ビーマックス,3
20260712-02-10,02,10,9,マメタンク,5
20260712-02-10,02,10,10,ストリンジェンド,9
20260712-02-10,02,10,11,ルイステソーロ,7
20260712-02-10,02,10,12,ストロングボンド,8
20260712-02-11,02,11,1,エラトー,4
20260712-02-11,02,11,2,パレハ,8
20260712-02-11,02,11,3,タシット,7
20260712-02-11,02,11,4,シルトホルン,3
20260712-02-11,02,11,5,キョウエイブリッサ,5
20260712-02-11,02,11,6,レディントン,11
20260712-02-11,02,11,7,エエヤン,12
20260712-02-11,02,11,8,ストレイトトーカー,14
20260712-02-11,02,11,9,レディネス,10
20260712-02-11,02,11,10,ヴーレヴー,1
20260712-02-11,02,11,11,パトリックハンサム,9
20260712-02-11,02,11,12,レディーヴァリュー,2
20260712-02-11,02,11,13,ウインシュクラン,13
20260712-02-11,02,11,14,リラボニート,6
20260712-02-12,02,12,1,ナンナンプー,4
20260712-02-12,02,12,2,ダブルチャレンジ,3
20260712-02-12,02,12,3,シャルトル,7
20260712-02-12,02,12,4,ココソラーレ,2
20260712-02-12,02,12,5,サンポーニャ,1
20260712-02-12,02,12,6,マインセーラ,8
20260712-02-12,02,12,7,ハッピーラッキー,6
20260712-02-12,02,12,8,ペイシャアーサー,5
20260712-03-01,03,01,1,ジャスパーグレイト,8
20260712-03-01,03,01,2,シグムンド,14
20260712-03-01,03,01,3,トーアマリシテン,1
20260712-03-01,03,01,4,アウルムレガリア,7
20260712-03-01,03,01,5,フェイトライン,13
20260712-03-01,03,01,6,モスクロッサー,3
20260712-03-01,03,01,7,スノーリン,10
20260712-03-01,03,01,8,ブライテストドーン,11
20260712-03-01,03,01,9,クラウンウルル,12
20260712-03-01,03,01,10,サラフィエル,4
20260712-03-01,03,01,11,エポカスピーガ,6
20260712-03-01,03,01,12,トモジャシャトー,5
20260712-03-01,03,01,13,ノブダブルホワイト,2
20260712-03-01,03,01,14,ゲレル,9
20260712-03-02,03,02,1,フィーユレアル,3
20260712-03-02,03,02,2,ヒロイックヴァース,1
20260712-03-02,03,02,3,ゴットタレント,4
20260712-03-02,03,02,4,トランセンコ,7
20260712-03-02,03,02,5,グラスフェザー,12
20260712-03-02,03,02,6,アーティキュレート,6
20260712-03-02,03,02,7,ニシノトマラナイ,14
20260712-03-02,03,02,8,レヴェンドール,10
20260712-03-02,03,02,9,ディメンシア,11
20260712-03-02,03,02,10,ペイシャオーヴァル,8
20260712-03-02,03,02,11,ルストラーレ,15
20260712-03-02,03,02,12,ジュンヴィヴァン,13
20260712-03-02,03,02,13,レアリゼソンレーヴ,9
20260712-03-02,03,02,14,サングラント,5
20260712-03-02,03,02,15,クリムゾンリーフ,2
20260712-03-03,03,03,1,ウッケン,16
20260712-03-03,03,03,2,エコロゼット,6
20260712-03-03,03,03,3,ウインベルチェーロ,9
20260712-03-03,03,03,4,ヤマニンリンキング,11
20260712-03-03,03,03,5,シュタットパーク,13
20260712-03-03,03,03,6,ミナヅキ,3
20260712-03-03,03,03,7,オーブレーヌ,4
20260712-03-03,03,03,8,ソアサージュ,8
20260712-03-03,03,03,9,ヴァルカンテソーロ,1
20260712-03-03,03,03,10,ホウオウショパン,15
20260712-03-03,03,03,11,ギリーカラム,7
20260712-03-03,03,03,12,レイナエヴィータ,12
20260712-03-03,03,03,13,ブライスフェアリー,2
20260712-03-03,03,03,14,スティールシップ,14
20260712-03-03,03,03,15,チャンピオンホープ,5
20260712-03-03,03,03,16,ヴォンサクレ,10
20260712-03-04,03,04,1,ジェントルアイズ,7
20260712-03-04,03,04,2,エコロテラ,4
20260712-03-04,03,04,3,ウカテンセイ,10
20260712-03-04,03,04,4,ヴェールネージュ,5
20260712-03-04,03,04,5,ワレモコウ,3
20260712-03-04,03,04,6,ラヴィサンエール,1
20260712-03-04,03,04,7,サクセスボーイ,9
20260712-03-04,03,04,8,サンヴァンガード,2
20260712-03-04,03,04,9,ハルガスミ,6
20260712-03-04,03,04,10,トム,8
20260712-03-05,03,05,1,ブルーリボン,9
20260712-03-05,03,05,2,イキフン,7
20260712-03-05,03,05,3,タクミオジュウ,14
20260712-03-05,03,05,4,ウィクフォード,2
20260712-03-05,03,05,5,ローグアン,12
20260712-03-05,03,05,6,ワンコール,10
20260712-03-05,03,05,7,セレスタイト,8
20260712-03-05,03,05,8,ソラニワラエバ,4
20260712-03-05,03,05,9,ドーンレーサー,11
20260712-03-05,03,05,10,クラウントリオンフ,15
20260712-03-05,03,05,11,シーズアウルフ,6
20260712-03-05,03,05,12,リサナウト,1
20260712-03-05,03,05,13,ハクタカ,16
20260712-03-05,03,05,14,エクスマキナ,3
20260712-03-05,03,05,15,インザダーク,13
20260712-03-05,03,05,16,エイシンウルクンデ,5
20260712-03-06,03,06,1,ピコランド,13
20260712-03-06,03,06,2,アドミ,7
