race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260712-02-01,02,01,4,430,4,120,6,110,12,170
20260712-02-02,02,02,7,390,7,200,11,420,6,500
20260712-02-03,02,03,12,150,12,110,8,230,5,370
20260712-02-04,02,04,4,490,4,220,3,280,7,1440
20260712-02-05,02,05,4,720,4,210,5,180,6,1180
20260712-02-06,02,06,1,1690,1,340,2,200,3,540
20260712-02-07,02,07,9,290,9,160,2,150,4,900
20260712-02-08,02,08,2,280,2,170,9,140,8,260
20260712-02-09,02,09,1,1030,1,300,5,220,2,380
20260712-02-10,02,10,6,980,6,290,5,420,8,510
20260712-02-11,02,11,10,1110,10,420,12,380,4,170
20260712-02-12,02,12,5,780,5,280,4,580,2,260
20260712-03-01,03,01,3,330,3,150,13,710,6,140
20260712-03-02,03,02,2,540,2,180,15,110,1,420
20260712-03-03,03,03,9,150,9,110,13,290,6,150
20260712-03-04,03,04,6,460,6,150,8,150,5,150
20260712-03-05,03,05,12,210,12,120,4,160,14,580
20260712-03-06,03,06,12,1570,12,310,6,190,10,860
20260712-03-07,03,07,4,430,4,200,12,310,10,230
20260712-03-08,03,08,12,290,12,130,6,160,9,420
20260712-03-09,03,09,7,470,7,200,4,260,11,2730
20260712-03-10,03,10,11,430,11,140,3,130,8,450
20260712-03-11,03,11,11,500,11,240,6,370,9,1190
20260712-03-12,03,12,15,840,15,310,1,180,10,1180
20260712-10-01,10,01,10,330,10,180,2,850,11,330
20260712-10-02,10,02,9,450,9,180,6,240,10,530
20260712-10-03,10,03,2,300,2,140,5,120,7,140
20260712-10-04,10,04,7,380,7,150,12,190,6,140
20260712-10-05,10,05,7,150,7,110,6,110,1,130
20260712-10-06,10,06,4,540,4,150,6,110,5,260
20260712-10-07,10,07,4,440,4,160,5,150,12,180
20260712-10-08,10,08,1,310,1,130,2,130,3,230
20260712-10-09,10,09,8,150,8,110,10,120,6,160
20260712-10-10,10,10,10,610,10,200,1,200,9,770
20260712-10-11,10,11,6,1190,6,390,5,360,9,310
20260712-10-12,10,12,8,420,8,180,15,240,17,720
