race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260607-05-01,05,01,11,750,11,220,4,760,7,190
20260607-05-02,05,02,8,750,8,290,11,140,1,160
20260607-05-03,05,03,13,2440,13,330,7,110,11,240
20260607-05-04,05,04,3,1940,3,410,17,250,16,140
20260607-05-05,05,05,2,130,2,110,4,2030,3,470
20260607-05-06,05,06,10,950,10,190,8,170,4,110
20260607-05-07,05,07,9,350,9,130,14,150,4,130
20260607-05-08,05,08,16,1430,16,270,3,360,8,160
20260607-05-09,05,09,6,140,6,110,1,190,5,390
20260607-05-10,05,10,6,460,6,220,13,610,7,1480
20260607-05-11,05,11,4,2160,4,540,11,460,14,140
20260607-05-12,05,12,10,190,10,130,11,420,13,200
20260607-09-01,09,01,5,590,5,190,13,610,2,130
20260607-09-02,09,02,10,460,10,180,5,220,3,260
20260607-09-03,09,03,2,290,2,140,5,230,4,150
20260607-09-04,09,04,8,1140,8,190,12,130,3,120
20260607-09-05,09,05,5,700,5,200,10,170,4,1230
20260607-09-06,09,06,4,440,4,180,11,160,15,120
20260607-09-07,09,07,8,420,8,130,5,150,16,150
20260607-09-08,09,08,14,460,14,150,6,140,1,230
20260607-09-09,09,09,4,400,4,160,10,150,14,470
20260607-09-10,09,10,1,1480,1,190,5,110,3,210
20260607-09-11,09,11,6,340,6,160,5,330,7,850
20260607-09-12,09,12,3,210,3,120,8,140,2,230
