race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260614-02-01,02,01,13,770,13,220,15,540,10,190
20260614-02-02,02,02,10,550,10,150,8,240,11,140
20260614-02-03,02,03,5,1480,5,280,1,230,10,550
20260614-02-04,02,04,6,2590,6,740,12,200,3,340
20260614-02-05,02,05,3,1650,3,280,6,160,5,130
20260614-02-06,02,06,3,6820,3,760,2,110,5,1090
20260614-02-07,02,07,12,760,12,290,10,750,4,1310
20260614-02-08,02,08,10,720,10,200,12,560,13,110
20260614-02-09,02,09,5,160,5,110,10,120,6,160
20260614-02-10,02,10,3,920,3,240,4,160,5,220
20260614-02-11,02,11,2,390,2,200,14,250,13,370
20260614-02-12,02,12,8,670,8,210,4,250,2,150
20260614-05-01,05,01,7,940,7,180,15,110,11,130
20260614-05-02,05,02,8,140,8,110,6,400,4,310
20260614-05-03,05,03,3,330,3,160,15,1980,12,230
20260614-05-04,05,04,10,3050,10,480,14,120,8,250
20260614-05-05,05,05,3,280,3,130,4,250,6,160
20260614-05-06,05,06,13,790,13,190,10,120,8,200
20260614-05-07,05,07,8,140,8,110,7,160,2,180
20260614-05-08,05,08,15,190,15,120,16,150,4,120
20260614-05-09,05,09,7,3020,7,360,11,160,4,110
20260614-05-10,05,10,2,1010,2,320,12,180,3,370
20260614-05-11,05,11,11,270,11,140,4,800,13,370
20260614-05-12,05,12,11,190,11,110,5,150,10,160
20260614-09-01,09,01,14,4800,14,1290,15,320,8,360
20260614-09-02,09,02,16,370,16,140,13,130,11,890
20260614-09-03,09,03,7,1260,7,330,12,290,15,390
20260614-09-04,09,04,6,220,6,140,5,190,8,190
20260614-09-05,09,05,6,1230,6,600,3,1400,7,370
20260614-09-06,09,06,12,1080,12,300,8,540,16,390
20260614-09-07,09,07,9,460,9,170,6,250,2,140
20260614-09-08,09,08,5,160,5,110,7,350,1,150
20260614-09-09,09,09,6,890,6,280,1,630,7,180
20260614-09-10,09,10,8,480,8,220,10,140,11,670
20260614-09-11,09,11,16,390,16,140,5,120,1,170
20260614-09-12,09,12,12,580,12,190,10,260,1,170
