race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260913-06-01,06,01,4,580,4,180,5,210,8,180
20260913-06-02,06,02,3,250,3,120,5,420,8,110
20260913-06-03,06,03,7,470,7,140,4,320,6,120
20260913-06-04,06,04,6,450,6,170,8,170,2,310
20260913-06-05,06,05,11,290,11,160,8,220,5,160
20260913-06-06,06,06,7,2380,7,780,5,1060,15,440
20260913-06-07,06,07,2,1760,2,530,5,170,11,220
20260913-06-08,06,08,3,960,3,350,13,240,10,350
20260913-06-09,06,09,2,250,2,130,6,450,3,200
20260913-06-10,06,10,2,520,2,170,8,150,9,140
20260913-06-11,06,11,7,5060,7,960,6,220,2,390
20260913-06-12,06,12,4,180,4,130,6,650,3,450
20260913-09-01,09,01,4,280,4,110,11,150,1,280
20260913-09-02,09,02,4,140,4,110,2,240,,0
20260913-09-03,09,03,7,340,7,150,11,170,9,220
20260913-09-04,09,04,9,750,9,310,12,400,10,450
20260913-09-05,09,05,6,510,6,350,5,630,,0
20260913-09-06,09,06,7,270,7,120,9,150,11,170
20260913-09-07,09,07,6,350,6,160,10,280,2,350
20260913-09-08,09,08,11,230,11,140,2,150,6,850
20260913-09-09,09,09,2,510,2,180,4,230,10,140
20260913-09-10,09,10,8,340,8,140,5,300,2,130
20260913-09-11,09,11,7,190,7,110,2,150,6,140
20260913-09-12,09,12,14,370,14,180,7,140,1,340
