race_id,track_code,race_num,horse_num,horse_name,confirmed_order
20260620-02-01,02,01,1,ナオミニオールイン,16
20260620-02-01,02,01,2,チョウブク,13
20260620-02-01,02,01,3,ミルトメロディー,4
20260620-02-01,02,01,4,ハッピーローヴァー,6
20260620-02-01,02,01,5,ブルーハーツ,11
20260620-02-01,02,01,6,テイクマイハート,6
20260620-02-01,02,01,7,メーテルリンク,9
20260620-02-01,02,01,8,ブラックジャック,2
20260620-02-01,02,01,9,クリオロゴールド,5
20260620-02-01,02,01,10,カンフージョン,15
20260620-02-01,02,01,11,テリオスルミ,14
20260620-02-01,02,01,12,ブレッティレディ,8
20260620-02-01,02,01,13,グランフィエルテ,1
20260620-02-01,02,01,14,ミスチヴマリアンヌ,10
20260620-02-01,02,01,15,ウインドトリック,12
20260620-02-01,02,01,16,ブルーエ,3
20260620-02-02,02,02,1,ウォータースパウト,3
20260620-02-02,02,02,2,ティナンヴァランタ,8
20260620-02-02,02,02,3,アンミックス,7
20260620-02-02,02,02,4,サチノブーケ,14
20260620-02-02,02,02,5,ダリアフレイバー,9
20260620-02-02,02,02,6,エーデルハイ,10
20260620-02-02,02,02,7,コイタマチャン,1
20260620-02-02,02,02,8,ギンケイ,4
20260620-02-02,02,02,9,キトゥンズラスター,13
20260620-02-02,02,02,10,ストリートクイーン,6
20260620-02-02,02,02,11,マーゴットクリュグ,2
20260620-02-02,02,02,12,サラサチャチャチャ,5
20260620-02-02,02,02,13,ソルトバーン,11
20260620-02-02,02,02,14,フローレスカラーズ,12
20260620-02-03,02,03,1,ギオンバヤシ,2
20260620-02-03,02,03,2,メイショウノヴァス,8
20260620-02-03,02,03,3,ヒルノボローニャ,7
20260620-02-03,02,03,4,アームアンフルール,12
20260620-02-03,02,03,5,デイズインザサン,5
20260620-02-03,02,03,6,ハヤブサブロー,13
20260620-02-03,02,03,7,ゴコウコイコイ,3
20260620-02-03,02,03,8,インタノン,10
20260620-02-03,02,03,9,スチョウプリンセス,6
20260620-02-03,02,03,10,ジャケットポケット,1
20260620-02-03,02,03,11,ザタイムハズカム,16
20260620-02-03,02,03,12,ヤクジョ,14
20260620-02-03,02,03,13,スリールーディカ,11
20260620-02-03,02,03,14,マコトアディントン,4
20260620-02-03,02,03,15,ラインクインビー,15
20260620-02-03,02,03,16,ウインポーシャ,9
20260620-02-04,02,04,1,クッカユフラ,10
20260620-02-04,02,04,2,ニシノモリミチ,4
20260620-02-04,02,04,3,ミリオンアップ,1
20260620-02-04,02,04,4,シバノパージャン,14
20260620-02-04,02,04,5,テリオスリコ,9
20260620-02-04,02,04,6,ブリスフルイヤー,8
20260620-02-04,02,04,7,セイカユウヒ,11
20260620-02-04,02,04,8,タイセイルビー,6
20260620-02-04,02,04,9,ゴールデンダガー,2
20260620-02-04,02,04,10,マツリダシリウス,12
20260620-02-04,02,04,11,ブレイズランナー,3
20260620-02-04,02,04,12,ガーディアンテイル,7
20260620-02-04,02,04,13,タガノシルフィー,5
20260620-02-04,02,04,14,リベンジャー,13
20260620-02-05,02,05,1,ワイプユアアイズ,10
20260620-02-05,02,05,2,イモージェン,1
20260620-02-05,02,05,3,ファサ,5
20260620-02-05,02,05,4,ラピッドテソーロ,3
20260620-02-05,02,05,5,セイウンコハルタ,9
20260620-02-05,02,05,6,ソニックアイル,2
20260620-02-05,02,05,7,タイガーストリート,8
20260620-02-05,02,05,8,ショコラリーヴ,7
20260620-02-05,02,05,9,スノーウィスパー,6
20260620-02-05,02,05,10,チカバリエンテ,4
20260620-02-06,02,06,1,クラウスーラ,2
20260620-02-06,02,06,2,デスティネーション,11
20260620-02-06,02,06,3,アースグリッパー,4
20260620-02-06,02,06,4,ノリヤンモーニン,1
20260620-02-06,02,06,5,イチゴワタアメ,7
20260620-02-06,02,06,6,ベイビーブラザー,6
20260620-02-06,02,06,7,サンクレセント,5
20260620-02-06,02,06,8,アークレオン,8
20260620-02-06,02,06,9,ノヴァフォルス,10
20260620-02-06,02,06,10,ワイドウィンザー,3
20260620-02-06,02,06,11,カクシンゴールド,9
20260620-02-07,02,07,1,ヴィンテール,11
20260620-02-07,02,07,2,ダーリンダーリン,1
20260620-02-07,02,07,3,アンビエントポップ,4
20260620-02-07,02,07,4,モーリア,10
20260620-02-07,02,07,5,ジュラトリー,5
20260620-02-07,02,07,6,サウンドファミリエ,7
20260620-02-07,02,07,7,シンデレラカラー,9
20260620-02-07,02,07,8,ルナティックブルー,3
20260620-02-07,02,07,9,アトリ,13
20260620-02-07,02,07,10,メメボス,12
20260620-02-07,02,07,11,アーミル,15
20260620-02-07,02,07,12,グランマズドリーム,16
20260620-02-07,02,07,13,ドルマバフチェ,8
20260620-02-07,02,07,14,メイショウローゼ,2
20260620-02-07,02,07,15,ギルランダ,14
20260620-02-07,02,07,16,ベネディクション,6
20260620-02-08,02,08,1,フクシマコウヨウ,11
20260620-02-08,02,08,2,エムフォー,12
20260620-02-08,02,08,3,セイルロケット,8
20260620-02-08,02,08,4,キャンドルマス,3
20260620-02-08,02,08,5,ムーンブランシュ,2
20260620-02-08,02,08,6,グッバイウェーブ,6
20260620-02-08,02,08,7,クイーンレグナント,4
20260620-02-08,02,08,8,カップッチョ,10
20260620-02-08,02,08,9,タイセイブルーム,5
20260620-02-08,02,08,10,クロナ,1
20260620-02-08,02,08,11,ワイルドゴーア,7
20260620-02-08,02,08,12,サイコウダネ,9
20260620-02-09,02,09,1,メイショウハッケイ,3
20260620-02-09,02,09,2,デルマリシリ,2
20260620-02-09,02,09,3,フレンドモナコ,8
20260620-02-09,02,09,4,コモンスナイプ,4
20260620-02-09,02,09,5,プルヴォワール,12
20260620-02-09,02,09,6,プリンセスモコ,6
20260620-02-09,02,09,7,ウォーターサグラダ,7
20260620-02-09,02,09,8,マイオウンウェイ,11
20260620-02-09,02,09,9,スミッコディスコ,1
20260620-02-09,02,09,10,トーアサジタリウス,10
20260620-02-09,02,09,11,ロンドンオービタル,5
20260620-02-09,02,09,12,アヤサンジョリーン,9
20260620-02-10,02,10,1,シャインバオバブ,5
20260620-02-10,02,10,2,ローレルオーブ,6
20260620-02-10,02,10,3,アスクファイアモア,8
20260620-02-10,02,10,4,ゴールデンパゴーダ,1
20260620-02-10,02,10,5,ペリプルス,3
20260620-02-10,02,10,6,バズアップビート,2
20260620-02-10,02,10,7,サイモンイロハニー,7
20260620-02-10,02,10,8,マイネルゼウス,4
20260620-02-11,02,11,1,キープサインオン,6
20260620-02-11,02,11,2,バンブルビー,13
20260620-02-11,02,11,3,ピコアーガイル,2
20260620-02-11,02,11,4,マジカルフェアリー,7
20260620-02-11,02,11,5,スイミーユニバンス,15
20260620-02-11,02,11,6,レザンノワール,3
20260620-02-11,02,11,7,ニシノラヴァンダ,14
20260620-02-11,02,11,8,フードマン,10
20260620-02-11,02,11,9,スムースベルベット,8
20260620-02-11,02,11,10,アンジュプロミス,1
20260620-02-11,02,11,11,ビーコング,11
20260620-02-11,02,11,12,モンサンゴールデン,12
20260620-02-11,02,11,13,ブルーサンセット,16
20260620-02-11,02,11,14,トウカイエルデ,9
20260620-02-11,02,11,15,モズアンタレス,4
20260620-02-11,02,11,16,ラパンチュール,5
20260620-02-12,02,12,1,コムルヴァン,10
20260620-02-12,02,12,2,ブレイジングスター,5
20260620-02-12,02,12,3,マーベリックシチー,4
20260620-02-12,02,12,4,ディナン,1
20260620-02-12,02,12,5,リュウカルネ,2
20260620-02-12,02,12,6,ノリノドラゴン,8
20260620-02-12,02,12,7,ゴールドブレイズ,3
20260620-02-12,02,12,8,カージオイド,9
20260620-02-12,02,12,9,ブライトビギニング,11
20260620-02-12,02,12,10,エンダードラゴン,7
20260620-02-12,02,12,11,ラッキーヤース,6
20260620-05-01,05,01,1,リコラピッド,16
20260620-05-01,05,01,2,アンチェーン,12
20260620-05-01,05,01,3,ホウオウロレンシア,6
20260620-05-01,05,01,4,オウケンサクラコ,7
20260620-05-01,05,01,5,フェスティヴハート,2
20260620-05-01,05,01,6,ベッラモレーン,14
20260620-05-01,05,01,7,ホワイトオパール,11
20260620-05-01,05,01,8,サマースプラッシュ,8
20260620-05-01,05,01,9,ノーブルブロウ,10
20260620-05-01,05,01,10,ユニバーサルラヴ,3
20260620-05-01,05,01,11,カキュウ,15
20260620-05-01,05,01,12,アーティラリー,9
20260620-05-01,05,01,13,フジサン,4
20260620-05-01,05,01,14,ダノンプレサージュ,1
20260620-05-01,05,01,15,マッドヘッドラブ,13
20260620-05-01,05,01,16,ゴールドビリーヴ,5
20260620-05-02,05,02,1,サクラドール,2
20260620-05-02,05,02,2,ヴェントベローチェ,4
20260620-05-02,05,02,3,パッサージュワイズ,16
20260620-05-02,05,02,4,リオダプラタ,15
20260620-05-02,05,02,5,スウィートラキ,10
20260620-05-02,05,02,6,エッジランナー,8
20260620-05-02,05,02,7,ブルーミーティア,1
20260620-05-02,05,02,8,セキテイロックス,14
20260620-05-02,05,02,9,ソーマッチ,12
20260620-05-02,05,02,10,ショウナンタヅナ,5
