race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260620-02-01,02,01,13,3180,13,1220,8,510,16,190
20260620-02-02,02,02,7,300,7,150,11,660,1,580
20260620-02-03,02,03,10,660,10,300,1,270,7,960
20260620-02-04,02,04,3,1750,3,440,9,260,11,250
20260620-02-05,02,05,2,360,2,130,6,120,4,110
20260620-02-06,02,06,4,650,4,180,1,150,10,370
20260620-02-07,02,07,2,1250,2,450,14,310,8,640
20260620-02-08,02,08,10,200,10,130,5,210,4,200
20260620-02-09,02,09,9,410,9,140,2,110,1,180
20260620-02-10,02,10,4,340,4,160,6,170,5,320
20260620-02-11,02,11,10,730,10,270,3,500,6,470
20260620-02-12,02,12,4,270,4,140,5,160,7,130
20260620-05-01,05,01,14,150,14,110,5,360,10,960
20260620-05-02,05,02,7,440,7,140,1,110,14,130
20260620-05-03,05,03,7,220,7,130,9,470,11,240
20260620-05-04,05,04,2,270,2,150,1,610,11,300
20260620-05-05,05,05,1,400,1,130,6,170,9,110
20260620-05-06,05,06,2,280,2,160,3,300,14,260
20260620-05-07,05,07,2,1710,2,510,5,940,9,110
20260620-05-08,05,08,1,3560,1,560,3,110,5,160
20260620-05-09,05,09,7,210,7,160,8,320,5,840
20260620-05-10,05,10,14,1690,14,760,3,290,2,1330
20260620-05-11,05,11,10,3150,10,760,2,240,4,950
20260620-05-12,05,12,12,520,12,230,1,1460,2,850
20260620-09-01,09,01,8,390,8,140,4,110,7,140
20260620-09-02,09,02,12,180,12,110,8,190,6,150
20260620-09-03,09,03,1,1160,1,220,14,150,6,160
20260620-09-04,09,04,6,680,6,170,13,130,9,140
20260620-09-05,09,05,9,1790,9,410,8,150,2,760
20260620-09-06,09,06,7,290,7,130,4,220,16,190
20260620-09-07,09,07,5,230,5,120,2,220,3,300
20260620-09-08,09,08,12,930,12,370,4,210,13,280
20260620-09-09,09,09,6,130,6,110,5,150,9,420
20260620-09-10,09,10,6,530,6,260,11,880,14,370
20260620-09-11,09,11,3,250,3,130,4,900,12,210
20260620-09-12,09,12,12,6700,12,1240,8,1290,18,240
