race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260620-02-01,02,01,1,ナオミニオールイン,5.1,4,2026-06-20T09:46:36
20260620-02-01,02,01,2,チョウブク,23.2,7,2026-06-20T09:46:36
20260620-02-01,02,01,3,ミルトメロディー,17.0,6,2026-06-20T09:46:36
20260620-02-01,02,01,4,ハッピーローヴァー,3.1,1,2026-06-20T09:46:36
20260620-02-01,02,01,5,ブルーハーツ,74.9,15,2026-06-20T09:46:36
20260620-02-01,02,01,6,テイクマイハート,67.1,13,2026-06-20T09:46:36
20260620-02-01,02,01,7,メーテルリンク,63.2,12,2026-06-20T09:46:36
20260620-02-01,02,01,8,ブラックジャック,13.5,5,2026-06-20T09:46:36
20260620-02-01,02,01,9,クリオロゴールド,4.9,2,2026-06-20T09:46:36
20260620-02-01,02,01,10,カンフージョン,139.4,16,2026-06-20T09:46:36
20260620-02-01,02,01,11,テリオスルミ,70.7,14,2026-06-20T09:46:36
20260620-02-01,02,01,12,ブレッティレディ,55.3,11,2026-06-20T09:46:36
20260620-02-01,02,01,13,グランフィエルテ,37.8,9,2026-06-20T09:46:36
20260620-02-01,02,01,14,ミスチヴマリアンヌ,47.3,10,2026-06-20T09:46:36
20260620-02-01,02,01,15,ウインドトリック,34.1,8,2026-06-20T09:46:36
20260620-02-01,02,01,16,ブルーエ,5.0,3,2026-06-20T09:46:36
20260620-02-02,02,02,1,ウォータースパウト,30.9,7,2026-06-20T10:10:01
20260620-02-02,02,02,2,ティナンヴァランタ,41.1,9,2026-06-20T10:10:01
20260620-02-02,02,02,3,アンミックス,8.0,4,2026-06-20T10:10:01
20260620-02-02,02,02,4,サチノブーケ,133.5,13,2026-06-20T10:10:01
20260620-02-02,02,02,5,ダリアフレイバー,72.7,11,2026-06-20T10:10:01
20260620-02-02,02,02,6,エーデルハイ,113.2,12,2026-06-20T10:10:01
20260620-02-02,02,02,7,コイタマチャン,2.7,1,2026-06-20T10:10:01
20260620-02-02,02,02,8,ギンケイ,3.5,2,2026-06-20T10:10:01
20260620-02-02,02,02,9,キトゥンズラスター,35.8,8,2026-06-20T10:10:01
20260620-02-02,02,02,10,ストリートクイーン,12.5,5,2026-06-20T10:10:01
20260620-02-02,02,02,11,マーゴットクリュグ,63.3,10,2026-06-20T10:10:01
20260620-02-02,02,02,12,サラサチャチャチャ,4.8,3,2026-06-20T10:10:01
20260620-02-02,02,02,13,ソルトバーン,137.2,14,2026-06-20T10:10:01
20260620-02-02,02,02,14,フローレスカラーズ,17.2,6,2026-06-20T10:10:01
20260620-02-03,02,03,1,ギオンバヤシ,4.2,1,2026-06-20T10:40:01
20260620-02-03,02,03,2,メイショウノヴァス,7.2,4,2026-06-20T10:40:01
20260620-02-03,02,03,3,ヒルノボローニャ,11.7,7,2026-06-20T10:40:01
20260620-02-03,02,03,4,アームアンフルール,42.6,12,2026-06-20T10:40:01
20260620-02-03,02,03,5,デイズインザサン,106.9,14,2026-06-20T10:40:01
20260620-02-03,02,03,6,ハヤブサブロー,22.2,10,2026-06-20T10:40:01
20260620-02-03,02,03,7,ゴコウコイコイ,31.3,11,2026-06-20T10:40:01
20260620-02-03,02,03,8,インタノン,5.6,2,2026-06-20T10:40:01
20260620-02-03,02,03,9,スチョウプリンセス,134.2,15,2026-06-20T10:40:01
20260620-02-03,02,03,10,ジャケットポケット,6.6,3,2026-06-20T10:40:01
20260620-02-03,02,03,11,ザタイムハズカム,16.8,9,2026-06-20T10:40:01
20260620-02-03,02,03,12,ヤクジョ,14.7,8,2026-06-20T10:40:01
20260620-02-03,02,03,13,スリールーディカ,151.4,16,2026-06-20T10:40:01
20260620-02-03,02,03,14,マコトアディントン,8.7,5,2026-06-20T10:40:01
20260620-02-03,02,03,15,ラインクインビー,67.1,13,2026-06-20T10:40:01
20260620-02-03,02,03,16,ウインポーシャ,11.3,6,2026-06-20T10:40:01
20260620-02-04,02,04,1,クッカユフラ,15.8,9,2026-06-20T11:10:01
20260620-02-04,02,04,2,ニシノモリミチ,3.9,1,2026-06-20T11:10:01
20260620-02-04,02,04,3,ミリオンアップ,12.5,7,2026-06-20T11:10:01
20260620-02-04,02,04,4,シバノパージャン,64.3,13,2026-06-20T11:10:01
20260620-02-04,02,04,5,テリオスリコ,90.5,14,2026-06-20T11:10:01
20260620-02-04,02,04,6,ブリスフルイヤー,10.6,6,2026-06-20T11:10:01
20260620-02-04,02,04,7,セイカユウヒ,31.0,12,2026-06-20T11:10:01
20260620-02-04,02,04,8,タイセイルビー,14.5,8,2026-06-20T11:10:01
20260620-02-04,02,04,9,ゴールデンダガー,7.9,5,2026-06-20T11:10:01
20260620-02-04,02,04,10,マツリダシリウス,26.7,11,2026-06-20T11:10:01
20260620-02-04,02,04,11,ブレイズランナー,7.1,3,2026-06-20T11:10:01
20260620-02-04,02,04,12,ガーディアンテイル,7.5,4,2026-06-20T11:10:01
20260620-02-04,02,04,13,タガノシルフィー,6.8,2,2026-06-20T11:10:01
20260620-02-04,02,04,14,リベンジャー,19.4,10,2026-06-20T11:10:01
20260620-02-05,02,05,1,ワイプユアアイズ,36.8,8,2026-06-20T12:00:02
20260620-02-05,02,05,2,イモージェン,3.9,2,2026-06-20T12:00:02
20260620-02-05,02,05,3,ファサ,5.6,5,2026-06-20T12:00:02
20260620-02-05,02,05,4,ラピッドテソーロ,3.7,1,2026-06-20T12:00:02
20260620-02-05,02,05,5,セイウンコハルタ,54.4,9,2026-06-20T12:00:02
