race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,planned_stake_yen_100unit,settled_stake_yen_100unit,horse_refunded,prediction_issued,race_status,result_resolved,payout_resolved,payout_final,actual_execution_date,evaluable,evaluation_exclusion_reason,profit_loss_yen_100unit
20260823-01-01,01,01,,1000,12,1,アーミル,,,104.9,10,131.7,10,0.0076,,,,False,10,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,2,アッシュグレイス,,,186.7,12,230.6,12,0.0043,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,3,アイビーミャーオ,◎,1,1.3,1,1.4,1,0.7143,0.41100000000000003,0.54,混戦,False,2,0,110,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,4,ルーチェコメット,☆,5,22.7,7,20.4,7,0.049,0.036000000000000004,0.81,混戦,False,6,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,5,シェイプオブユー,,,8.9,3,7.6,2,0.1316,,,,False,1,760,160,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,6,ニシノギャルズ,,,16.0,5,16.9,6,0.0592,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,7,トリアングルレディ,,,135.9,11,157.0,11,0.0064,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,8,ロングフルスペック,▲,3,51.2,8,31.8,8,0.0314,0.034,1.72,混戦,False,12,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,9,ペイシャクロス,△,4,16.4,6,14.6,5,0.0685,0.06,0.99,混戦,False,4,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
20260823-01-01,01,01,,1000,12,10,ベルグランボヌール,,,13.1,4,13.2,4,0.0758,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260823,True,,0
