race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260823-01-01,01,01,5,760,5,160,3,110,12,140
20260823-01-02,01,02,1,330,1,160,2,430,12,190
20260823-01-03,01,03,13,400,13,170,5,310,11,160
20260823-01-04,01,04,12,600,12,150,8,120,16,230
20260823-01-05,01,05,3,200,3,170,1,470,,0
20260823-01-06,01,06,12,4060,12,630,2,160,5,570
20260823-01-07,01,07,5,950,5,300,10,150,6,510
20260823-01-08,01,08,8,240,8,130,9,120,7,160
20260823-01-09,01,09,13,540,13,260,2,240,6,1210
20260823-01-10,01,10,13,8650,13,2090,1,280,11,220
20260823-01-11,01,11,14,1290,14,300,3,110,8,270
20260823-01-12,01,12,12,430,12,250,2,940,14,260
20260823-04-01,04,01,12,110,12,100,9,280,10,290
20260823-04-02,04,02,7,620,7,210,8,160,4,410
20260823-04-03,04,03,5,5380,5,1000,7,230,11,460
20260823-04-04,04,04,12,480,12,160,7,170,1,180
20260823-04-05,04,05,6,1260,6,350,4,140,18,1620
20260823-04-06,04,06,4,2640,4,410,14,160,7,140
20260823-04-07,04,07,2,280,2,120,7,140,3,180
20260823-04-08,04,08,12,420,12,160,7,180,8,170
20260823-04-09,04,09,15,380,15,160,12,210,13,380
20260823-04-10,04,10,4,210,4,110,5,220,3,120
20260823-04-11,04,11,15,830,15,290,10,310,16,220
20260823-04-12,04,12,7,140,7,110,8,110,4,240
20260823-07-01,07,01,5,140,5,110,4,170,,0
20260823-07-02,07,02,2,230,2,120,4,180,6,290
20260823-07-03,07,03,4,420,4,220,5,480,2,640
20260823-07-04,07,04,9,1300,9,390,7,1230,5,2260
20260823-07-05,07,05,11,1070,11,210,7,790,6,110
20260823-07-06,07,06,5,470,5,180,3,210,2,540
20260823-07-07,07,07,1,310,1,190,9,290,11,1790
20260823-07-08,07,08,11,710,11,260,12,460,4,400
20260823-07-09,07,09,3,160,3,110,7,230,8,130
20260823-07-10,07,10,12,170,12,110,11,200,6,220
20260823-07-11,07,11,4,670,4,250,6,700,9,180
20260823-07-12,07,12,5,2030,5,690,8,3550,9,470
