race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260809-01-01,01,01,10,780,10,210,12,110,4,610
20260809-01-02,01,02,5,210,5,110,9,120,1,180
20260809-01-03,01,03,4,420,4,160,10,150,9,270
20260809-01-04,01,04,10,340,10,150,6,210,5,350
20260809-01-05,01,05,11,240,11,120,13,150,10,400
20260809-01-06,01,06,11,440,11,170,10,240,5,260
20260809-01-07,01,07,4,180,4,110,3,140,7,180
20260809-01-08,01,08,12,440,12,150,5,200,8,210
20260809-01-09,01,09,10,980,10,230,11,180,1,310
20260809-01-10,01,10,3,1220,3,220,13,110,8,110
20260809-01-11,01,11,10,360,10,170,13,190,2,450
20260809-01-12,01,12,4,780,4,190,5,250,1,170
20260809-04-01,04,01,8,200,8,130,11,210,15,820
20260809-04-02,04,02,6,280,6,140,7,200,5,130
20260809-04-03,04,03,3,600,3,270,1,240,7,370
20260809-04-04,04,04,10,350,10,130,12,110,8,170
20260809-04-05,04,05,11,830,11,270,3,220,10,440
20260809-04-06,04,06,1,120,1,110,3,180,9,750
20260809-04-07,04,07,4,2080,4,400,11,190,12,130
20260809-04-08,04,08,17,420,17,170,11,130,8,250
20260809-04-09,04,09,15,4030,15,780,5,240,6,330
20260809-04-10,04,10,5,230,5,130,7,110,,0
20260809-04-11,04,11,8,4600,8,660,12,1220,3,130
20260809-04-12,04,12,17,1020,17,370,6,240,15,190
20260809-07-01,07,01,14,360,14,130,15,140,4,240
20260809-07-02,07,02,2,550,2,120,3,110,1,110
20260809-07-03,07,03,6,150,6,100,2,100,7,120
20260809-07-04,07,04,13,210,13,120,6,160,1,360
20260809-07-05,07,05,7,3860,7,700,8,330,14,130
20260809-07-06,07,06,5,340,5,180,2,230,,0
20260809-07-07,07,07,2,3510,2,640,3,190,6,250
20260809-07-08,07,08,11,160,11,110,4,140,2,140
20260809-07-09,07,09,5,230,5,110,2,150,6,280
20260809-07-10,07,10,6,26200,6,2310,11,210,2,150
20260809-07-11,07,11,11,6640,11,1330,1,180,3,400
20260809-07-12,07,12,3,410,3,140,13,120,2,220
