race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,planned_stake_yen_100unit,settled_stake_yen_100unit,horse_refunded,prediction_issued,race_status,result_resolved,payout_resolved,payout_final,actual_execution_date,evaluable,evaluation_exclusion_reason,profit_loss_yen_100unit
20260830-01-01,01,01,,1700,14,1,タガノシルフィー,◎,1,5.2,3,5.2,3,0.1923,0.141,0.73,混戦,False,1,520,180,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,2,マーゴットクリュグ,☆,5,18.6,8,18.6,8,0.0538,0.061,1.14,混戦,False,8,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,3,ゴーゴーエイミー,,,88.1,13,88.1,13,0.0114,,,,False,14,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,4,テンレッドサン,○,2,12.7,6,12.7,6,0.0787,0.099,1.26,混戦,False,2,0,280,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,5,サンセリテ,,,27.5,9,27.5,9,0.0364,,,,False,4,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,6,ビレッジルイーザ,,,46.4,11,46.4,11,0.0216,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,7,エリカビアリッツ,,,3.8,2,3.8,2,0.2632,,,,False,3,0,160,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,8,タガノラヴズワン,,,44.5,10,44.5,10,0.0225,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,9,セントピュアベース,,,123.9,14,123.9,14,0.0081,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,10,モンテパステル,,,80.4,12,80.4,12,0.0124,,,,False,10,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,11,ウォータースパウト,▲,3,10.2,4,10.2,4,0.098,0.084,0.86,混戦,False,5,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,12,ブライトエンジェル,,,3.3,1,3.3,1,0.303,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,13,ジーティービキニ,△,4,10.3,5,10.3,5,0.0971,0.07,0.72,混戦,False,13,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-01,01,01,,1700,14,14,コイバナ,,,16.1,7,16.1,7,0.0621,,,,False,6,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,1,アワードリームス,,,199.1,11,199.1,11,0.005,,,,False,9,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,2,ヴィヴィアンリーチ,☆,5,37.8,7,37.8,7,0.0265,0.021,0.78,混戦,False,7,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,3,ショパンコンクール,,,43.7,8,43.7,8,0.0229,,,,False,13,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,4,トスカ,,,72.2,9,72.2,9,0.0139,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,5,ミハテヌユメ,,,28.6,5,28.6,5,0.035,,,,False,3,0,910,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,6,キャンドル,,,89.4,10,89.4,10,0.0112,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,7,ゲームチェンジャー,,,470.3,14,470.3,14,0.0021,,,,False,14,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,8,アルテクィーン,△,4,4.1,2,4.1,2,0.2439,0.15,0.62,混戦,False,2,0,230,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,9,パーフェクトゲーム,○,2,29.5,6,29.5,6,0.0339,0.059000000000000004,1.75,混戦,False,11,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,10,アスコットペスカ,,,469.0,13,469.0,13,0.0021,,,,False,10,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,11,インサイドストーム,,,266.7,12,266.7,12,0.0037,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,12,ソニックアイル,▲,3,1.7,1,1.7,1,0.5882,0.307,0.52,混戦,False,4,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,13,ギャルズマインド,,,5.5,3,5.5,3,0.1818,,,,False,1,550,280,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-02,01,02,,1200,14,14,トーセンルルド,◎,1,9.1,4,9.1,4,0.1099,0.134,1.22,混戦,False,6,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,1,ペガサスウィンド,◎,1,5.2,2,5.4,2,0.1852,0.18100000000000002,0.94,接戦,False,10,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,2,サクセスブルー,,,14.7,8,17.1,8,0.0585,,,,False,3,0,350,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,3,ラスターヴァース,,,37.6,10,46.7,10,0.0214,,,,False,13,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,4,ポップアップ,△,4,3.2,1,3.3,1,0.303,0.22399999999999998,0.72,接戦,False,1,330,170,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,5,デルマテイネ,,,108.7,13,117.7,13,0.0085,,,,False,12,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,6,ヨドノサファイア,,,29.2,9,22.2,9,0.045,,,,False,4,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,7,チャーチルデュース,,,5.9,3,5.7,3,0.1754,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,8,サンエンジェルス,▲,3,12.1,6,7.7,5,0.1299,0.052000000000000005,0.63,接戦,False,9,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,9,モンテール,,,14.4,7,16.3,7,0.0613,,,,False,11,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,10,ミアエッテ,,,133.6,14,184.8,14,0.0054,,,,False,14,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,11,ダンツアラーム,,,94.6,12,81.8,12,0.0122,,,,False,5,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,12,クリコイーコ,,,80.0,11,78.0,11,0.0128,,,,False,2,0,1320,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,13,ジャストグレース,○,2,11.2,5,12.0,6,0.0833,0.078,0.87,接戦,False,6,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-03,01,03,,1700,14,14,ホウオウファラオ,☆,5,5.9,3,6.3,4,0.1587,0.111,0.66,接戦,False,8,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-04,01,04,,2000,16,1,ダイシンパルス,☆,5,77.3,15,167.5,15,0.006,0.009000000000000001,0.72,標準,False,11,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-04,01,04,,2000,16,2,ジリアート,,,13.2,7,35.1,12,0.0285,,,,False,8,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-04,01,04,,2000,16,3,コスモヘリアンサス,,,23.5,12,28.6,9,0.035,,,,False,7,0,0,0,0,False,True,RUN,True,True,True,20260830,True,,0
20260830-01-04,01,04,,2000,16,4,デルマフジ,▲,3,6.4,2,3.8,2,0.2632,0.198,1.26,標準,False,1,380,190,0,0,False,True,RUN,True,True,True,20260830,True,,0
