race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260830-01-01,01,01,1,タガノシルフィー,5.2,3,2026-08-30T09:58:02
20260830-01-01,01,01,2,マーゴットクリュグ,18.6,8,2026-08-30T09:58:02
20260830-01-01,01,01,3,ゴーゴーエイミー,88.1,13,2026-08-30T09:58:02
20260830-01-01,01,01,4,テンレッドサン,12.7,6,2026-08-30T09:58:02
20260830-01-01,01,01,5,サンセリテ,27.5,9,2026-08-30T09:58:02
20260830-01-01,01,01,6,ビレッジルイーザ,46.4,11,2026-08-30T09:58:02
20260830-01-01,01,01,7,エリカビアリッツ,3.8,2,2026-08-30T09:58:02
20260830-01-01,01,01,8,タガノラヴズワン,44.5,10,2026-08-30T09:58:02
20260830-01-01,01,01,9,セントピュアベース,123.9,14,2026-08-30T09:58:02
20260830-01-01,01,01,10,モンテパステル,80.4,12,2026-08-30T09:58:02
20260830-01-01,01,01,11,ウォータースパウト,10.2,4,2026-08-30T09:58:02
20260830-01-01,01,01,12,ブライトエンジェル,3.3,1,2026-08-30T09:58:02
20260830-01-01,01,01,13,ジーティービキニ,10.3,5,2026-08-30T09:58:02
20260830-01-01,01,01,14,コイバナ,16.1,7,2026-08-30T09:58:02
20260830-01-02,01,02,1,アワードリームス,199.1,11,2026-08-30T10:26:02
20260830-01-02,01,02,2,ヴィヴィアンリーチ,37.8,7,2026-08-30T10:26:02
20260830-01-02,01,02,3,ショパンコンクール,43.7,8,2026-08-30T10:26:02
20260830-01-02,01,02,4,トスカ,72.2,9,2026-08-30T10:26:02
20260830-01-02,01,02,5,ミハテヌユメ,28.6,5,2026-08-30T10:26:02
20260830-01-02,01,02,6,キャンドル,89.4,10,2026-08-30T10:26:02
20260830-01-02,01,02,7,ゲームチェンジャー,470.3,14,2026-08-30T10:26:02
20260830-01-02,01,02,8,アルテクィーン,4.1,2,2026-08-30T10:26:02
20260830-01-02,01,02,9,パーフェクトゲーム,29.5,6,2026-08-30T10:26:02
20260830-01-02,01,02,10,アスコットペスカ,469.0,13,2026-08-30T10:26:02
20260830-01-02,01,02,11,インサイドストーム,266.7,12,2026-08-30T10:26:02
20260830-01-02,01,02,12,ソニックアイル,1.7,1,2026-08-30T10:26:02
20260830-01-02,01,02,13,ギャルズマインド,5.5,3,2026-08-30T10:26:02
20260830-01-02,01,02,14,トーセンルルド,9.1,4,2026-08-30T10:26:02
20260830-01-03,01,03,1,ペガサスウィンド,5.4,2,2026-08-30T10:59:34
20260830-01-03,01,03,2,サクセスブルー,17.1,8,2026-08-30T10:59:34
20260830-01-03,01,03,3,ラスターヴァース,46.7,10,2026-08-30T10:59:34
20260830-01-03,01,03,4,ポップアップ,3.3,1,2026-08-30T10:59:34
20260830-01-03,01,03,5,デルマテイネ,117.7,13,2026-08-30T10:59:34
20260830-01-03,01,03,6,ヨドノサファイア,22.2,9,2026-08-30T10:59:34
20260830-01-03,01,03,7,チャーチルデュース,5.7,3,2026-08-30T10:59:34
20260830-01-03,01,03,8,サンエンジェルス,7.7,5,2026-08-30T10:59:34
20260830-01-03,01,03,9,モンテール,16.3,7,2026-08-30T10:59:34
20260830-01-03,01,03,10,ミアエッテ,184.8,14,2026-08-30T10:59:34
20260830-01-03,01,03,11,ダンツアラーム,81.8,12,2026-08-30T10:59:34
20260830-01-03,01,03,12,クリコイーコ,78.0,11,2026-08-30T10:59:34
20260830-01-03,01,03,13,ジャストグレース,12.0,6,2026-08-30T10:59:34
20260830-01-03,01,03,14,ホウオウファラオ,6.3,4,2026-08-30T10:59:34
20260830-01-04,01,04,1,ダイシンパルス,167.5,15,2026-08-30T11:29:33
20260830-01-04,01,04,2,ジリアート,35.1,12,2026-08-30T11:29:33
20260830-01-04,01,04,3,コスモヘリアンサス,28.6,9,2026-08-30T11:29:33
20260830-01-04,01,04,4,デルマフジ,3.8,2,2026-08-30T11:29:33
20260830-01-04,01,04,5,イデアジュアンイハ,358.1,16,2026-08-30T11:29:33
20260830-01-04,01,04,6,ギオンバヤシ,3.8,1,2026-08-30T11:29:33
20260830-01-04,01,04,7,ワダツミ,16.0,6,2026-08-30T11:29:33
20260830-01-04,01,04,8,ネクストドア,31.4,10,2026-08-30T11:29:33
20260830-01-04,01,04,9,コスモクラシック,7.0,4,2026-08-30T11:29:33
20260830-01-04,01,04,10,メイショウライガ,6.6,3,2026-08-30T11:29:33
20260830-01-04,01,04,11,アート,26.3,8,2026-08-30T11:29:33
20260830-01-04,01,04,12,カリドーラ,16.0,7,2026-08-30T11:29:33
20260830-01-04,01,04,13,ロックフラワー,45.6,13,2026-08-30T11:29:33
20260830-01-04,01,04,14,インテンスゲイズ,33.4,11,2026-08-30T11:29:33
20260830-01-04,01,04,15,エイシンリーガル,52.9,14,2026-08-30T11:29:33
20260830-01-04,01,04,16,メイショウローゼ,10.4,5,2026-08-30T11:29:33
20260830-01-05,01,05,1,コスモノーチラス,16.6,4,2026-08-30T12:10:02
20260830-01-05,01,05,2,アイアムイガイニモ,28.7,6,2026-08-30T12:10:02
20260830-01-05,01,05,3,ヴァンクライ,1.7,1,2026-08-30T12:10:02
20260830-01-05,01,05,4,コーズウルルン,57.2,8,2026-08-30T12:10:02
20260830-01-05,01,05,5,トーセンイルン,18.7,5,2026-08-30T12:10:02
20260830-01-05,01,05,6,イルリサット,2.6,2,2026-08-30T12:10:02
20260830-01-05,01,05,7,ゴルタン,45.9,7,2026-08-30T12:10:02
20260830-01-05,01,05,8,トワイライトローズ,8.7,3,2026-08-30T12:10:02
20260830-01-06,01,06,1,クロミ,127.1,10,2026-08-30T12:43:02
20260830-01-06,01,06,2,ルージュリヴィエラ,11.3,6,2026-08-30T12:43:02
20260830-01-06,01,06,3,ライラックデューン,25.4,8,2026-08-30T12:43:02
20260830-01-06,01,06,4,サイモンイロハニー,93.4,9,2026-08-30T12:43:02
20260830-01-06,01,06,5,サマースプラッシュ,371.6,12,2026-08-30T12:43:02
20260830-01-06,01,06,6,デルマサクラサク,6.4,4,2026-08-30T12:43:02
20260830-01-06,01,06,7,タイセイルビー,9.0,5,2026-08-30T12:43:02
20260830-01-06,01,06,8,ヤマヤロード,298.3,11,2026-08-30T12:43:02
20260830-01-06,01,06,9,ウィンターガーデン,24.3,7,2026-08-30T12:43:02
20260830-01-06,01,06,10,ヴェールミューズ,6.0,2,2026-08-30T12:43:02
20260830-01-06,01,06,11,スリーケイ,6.1,3,2026-08-30T12:43:02
20260830-01-06,01,06,12,ルージュボニート,2.1,1,2026-08-30T12:43:02
20260830-01-07,01,07,1,ブライアーヒル,136.1,11,2026-08-30T13:15:01
20260830-01-07,01,07,2,カップッチョ,191.4,12,2026-08-30T13:15:01
20260830-01-07,01,07,3,ヨドノゴールド,4.0,2,2026-08-30T13:15:01
20260830-01-07,01,07,4,アスコットアイ,54.3,10,2026-08-30T13:15:01
20260830-01-07,01,07,5,ラスベガスサイン,32.2,8,2026-08-30T13:15:01
20260830-01-07,01,07,6,セイウンバジリスク,6.1,4,2026-08-30T13:15:01
20260830-01-07,01,07,7,ステラノヴァ,28.7,6,2026-08-30T13:15:01
20260830-01-07,01,07,8,ワイドデコラシオン,2.5,1,2026-08-30T13:15:01
20260830-01-07,01,07,9,セイルロケット,29.0,7,2026-08-30T13:15:01
20260830-01-07,01,07,10,スパークルジョイ,41.1,9,2026-08-30T13:15:01
20260830-01-07,01,07,11,プルミエールパス,4.2,3,2026-08-30T13:15:01
20260830-01-07,01,07,12,メイショウハッブル,18.5,5,2026-08-30T13:15:01
20260830-01-08,01,08,1,ハネマン,235.9,13,2026-08-30T13:49:33
20260830-01-08,01,08,2,メメボス,41.6,8,2026-08-30T13:49:33
20260830-01-08,01,08,3,トリスティ,47.9,9,2026-08-30T13:49:33
20260830-01-08,01,08,4,クラウンアールシー,68.7,11,2026-08-30T13:49:33
20260830-01-08,01,08,5,ユーティジャーニー,5.4,4,2026-08-30T13:49:33
20260830-01-08,01,08,6,ファンクション,3.4,2,2026-08-30T13:49:33
20260830-01-08,01,08,7,テンユウ,12.0,5,2026-08-30T13:49:33
20260830-01-08,01,08,8,トクシージェネラル,118.8,12,2026-08-30T13:49:33
20260830-01-08,01,08,9,メイショウホダワラ,34.4,6,2026-08-30T13:49:33
20260830-01-08,01,08,10,スタードメイソン,52.1,10,2026-08-30T13:49:33
20260830-01-08,01,08,11,ドラリズム,35.8,7,2026-08-30T13:49:33
20260830-01-08,01,08,12,ネッタイヤライ,2.9,1,2026-08-30T13:49:33
20260830-01-08,01,08,13,シェーンルスカ,278.6,14,2026-08-30T13:49:33
20260830-01-08,01,08,14,ルクスアドラー,4.8,3,2026-08-30T13:49:33
20260830-01-09,01,09,1,マテンロウカナロア,7.2,5,2026-08-30T14:19:02
20260830-01-09,01,09,2,ウヌボレヤサン,99.3,11,2026-08-30T14:19:02
20260830-01-09,01,09,3,フクシマブリルハム,13.8,7,2026-08-30T14:19:02
20260830-01-09,01,09,4,ステラデルークス,6.5,4,2026-08-30T14:19:02
20260830-01-09,01,09,5,ホウオウバローロ,14.4,8,2026-08-30T14:19:02
20260830-01-09,01,09,6,デルマホダカ,79.9,10,2026-08-30T14:19:02
20260830-01-09,01,09,7,イサギ,13.2,6,2026-08-30T14:19:02
20260830-01-09,01,09,8,サマーナイト,4.5,3,2026-08-30T14:19:02
20260830-01-09,01,09,9,チェイサー,4.4,2,2026-08-30T14:19:02
20260830-01-09,01,09,10,ブリオメンテ,3.8,1,2026-08-30T14:19:02
20260830-01-09,01,09,11,シックスパック,74.3,9,2026-08-30T14:19:02
20260830-01-10,01,10,1,カガラプンツェル,20.6,9,2026-08-30T14:49:33
20260830-01-10,01,10,2,ショウナンカリス,19.8,8,2026-08-30T14:49:33
20260830-01-10,01,10,3,バシレウスシチー,39.6,12,2026-08-30T14:49:33
20260830-01-10,01,10,4,ルージュベルベット,14.7,6,2026-08-30T14:49:33
20260830-01-10,01,10,5,スイミーユニバンス,39.1,11,2026-08-30T14:49:33
20260830-01-10,01,10,6,コックオーヴァン,94.3,15,2026-08-30T14:49:33
20260830-01-10,01,10,7,セイウンデセオ,7.8,3,2026-08-30T14:49:33
20260830-01-10,01,10,8,ムチャスグラシアス,162.2,16,2026-08-30T14:49:33
20260830-01-10,01,10,9,プレセピオ,11.9,5,2026-08-30T14:49:33
20260830-01-10,01,10,10,ララバニュルス,8.4,4,2026-08-30T14:49:33
20260830-01-10,01,10,11,ファビュラススター,22.2,10,2026-08-30T14:49:33
20260830-01-10,01,10,12,デンプシー,3.6,1,2026-08-30T14:49:33
20260830-01-10,01,10,13,フミサウンド,79.2,14,2026-08-30T14:49:33
20260830-01-10,01,10,14,ホウオウブースター,43.4,13,2026-08-30T14:49:33
20260830-01-10,01,10,15,シーグルロス,16.3,7,2026-08-30T14:49:33
20260830-01-10,01,10,16,サトノワーグナー,3.6,2,2026-08-30T14:49:33
20260830-01-11,01,11,1,アンビバレント,62.6,13,2026-08-30T15:20:02
20260830-01-11,01,11,2,ワタシマツワ,17.9,9,2026-08-30T15:20:02
20260830-01-11,01,11,3,マジックローズ,5.7,2,2026-08-30T15:20:02
20260830-01-11,01,11,4,エフォートレス,8.5,5,2026-08-30T15:20:02
20260830-01-11,01,11,5,リゾートアイランド,21.2,10,2026-08-30T15:20:02
20260830-01-11,01,11,6,エマヌエーレ,11.3,6,2026-08-30T15:20:02
20260830-01-11,01,11,7,サクセスアイ,44.3,12,2026-08-30T15:20:02
20260830-01-11,01,11,8,トラペジスト,125.9,14,2026-08-30T15:20:02
20260830-01-11,01,11,9,ダノンミッション,6.7,4,2026-08-30T15:20:02
20260830-01-11,01,11,10,エルマーゴ,6.2,3,2026-08-30T15:20:02
20260830-01-11,01,11,11,サンタアニタ,27.5,11,2026-08-30T15:20:02
20260830-01-11,01,11,12,パワーホール,14.5,7,2026-08-30T15:20:02
20260830-01-11,01,11,13,モンドデラモーレ,4.1,1,2026-08-30T15:20:02
20260830-01-11,01,11,14,マテンロウサン,14.5,8,2026-08-30T15:20:02
20260830-01-12,01,12,1,ノリマル,5.1,2,2026-08-30T16:00:33
20260830-01-12,01,12,2,ハバタクジユウニ,283.2,13,2026-08-30T16:00:33
20260830-01-12,01,12,3,モルビド,36.4,8,2026-08-30T16:00:33
20260830-01-12,01,12,4,クオンタムスター,2.1,1,2026-08-30T16:00:33
20260830-01-12,01,12,5,ディーリライズ,9.9,5,2026-08-30T16:00:33
20260830-01-12,01,12,6,ミッドタウンナイト,168.3,12,2026-08-30T16:00:33
20260830-01-12,01,12,7,ニューアライブ,297.5,14,2026-08-30T16:00:33
20260830-01-12,01,12,8,タビニュ,62.6,10,2026-08-30T16:00:33
20260830-01-12,01,12,9,シーンオブドリーム,136.3,11,2026-08-30T16:00:33
20260830-01-12,01,12,10,ワンダフルデイズ,6.5,3,2026-08-30T16:00:33
20260830-01-12,01,12,11,ディベルティスマン,16.5,7,2026-08-30T16:00:33
20260830-01-12,01,12,12,テイクザクラウン,57.1,9,2026-08-30T16:00:33
20260830-01-12,01,12,13,タケルフォーカス,11.1,6,2026-08-30T16:00:33
20260830-01-12,01,12,14,ドンテスタマスター,8.9,4,2026-08-30T16:00:33
20260830-04-01,04,01,1,フレイムジョーカー,39.4,7,2026-08-30T09:37:02
20260830-04-01,04,01,2,ニシノインヴィクタ,,0,
20260830-04-01,04,01,3,ニシノクードクール,53.1,9,2026-08-30T09:37:02
20260830-04-01,04,01,4,メイショウブレゲ,18.3,6,2026-08-30T09:37:02
20260830-04-01,04,01,5,マルディランダ,2.5,1,2026-08-30T09:37:02
20260830-04-01,04,01,6,エポカスピーガ,43.5,8,2026-08-30T09:37:02
20260830-04-01,04,01,7,バトンロード,255.3,11,2026-08-30T09:37:02
20260830-04-01,04,01,8,ブラックシールド,6.9,4,2026-08-30T09:37:02
20260830-04-01,04,01,9,オーサムストローク,5.6,3,2026-08-30T09:37:02
20260830-04-01,04,01,10,ヨシノヤッタルデー,159.5,10,2026-08-30T09:37:02
20260830-04-01,04,01,11,トラマンダーレ,14.9,5,2026-08-30T09:37:02
20260830-04-01,04,01,12,スノーリン,283.7,12,2026-08-30T09:37:02
20260830-04-01,04,01,13,ゴールデンステップ,2.9,2,2026-08-30T09:37:02
20260830-04-02,04,02,1,ゴールドバーニング,75.5,11,2026-08-30T10:10:02
20260830-04-02,04,02,2,ゴルトシェーン,12.4,5,2026-08-30T10:10:02
20260830-04-02,04,02,3,ウラノグラフィア,2.5,1,2026-08-30T10:10:02
20260830-04-02,04,02,4,マイトレーヤー,18.3,6,2026-08-30T10:10:02
20260830-04-02,04,02,5,ミシェルバローズ,5.7,3,2026-08-30T10:10:02
20260830-04-02,04,02,6,ニシノマキロイ,59.0,9,2026-08-30T10:10:02
20260830-04-02,04,02,7,ピーエムリンダ,25.5,8,2026-08-30T10:10:02
20260830-04-02,04,02,8,ウィザードシチー,80.0,12,2026-08-30T10:10:02
20260830-04-02,04,02,9,レッドマウロア,3.2,2,2026-08-30T10:10:02
20260830-04-02,04,02,10,スタレネルヴェント,70.6,10,2026-08-30T10:10:02
20260830-04-02,04,02,11,ギガントシュラーク,166.2,13,2026-08-30T10:10:02
20260830-04-02,04,02,12,エコロゲラン,22.8,7,2026-08-30T10:10:02
20260830-04-02,04,02,13,タイセイリッター,10.9,4,2026-08-30T10:10:02
20260830-04-03,04,03,1,ケイジャーダ,99.3,7,2026-08-30T10:40:02
20260830-04-03,04,03,2,ニシノリリックス,61.7,6,2026-08-30T10:40:02
20260830-04-03,04,03,3,イカルステソーロ,3.5,2,2026-08-30T10:40:02
20260830-04-03,04,03,4,タイセイソアリング,4.1,3,2026-08-30T10:40:02
20260830-04-03,04,03,5,エクスマキナ,2.4,1,2026-08-30T10:40:02
20260830-04-03,04,03,6,ウイニングレイ,4.5,4,2026-08-30T10:40:02
20260830-04-03,04,03,7,ハンデンブレイズ,14.9,5,2026-08-30T10:40:02
20260830-04-03,04,03,8,ルークスイテルム,191.7,8,2026-08-30T10:40:02
20260830-04-04,04,04,1,ヒズストーリー,130.5,10,2026-08-30T11:10:02
20260830-04-04,04,04,2,チェスティーノ,1.7,1,2026-08-30T11:10:02
20260830-04-04,04,04,3,ガヤーズサムライ,39.9,6,2026-08-30T11:10:02
20260830-04-04,04,04,4,キャッチアップ,65.4,7,2026-08-30T11:10:02
20260830-04-04,04,04,5,オオルリ,132.8,11,2026-08-30T11:10:02
20260830-04-04,04,04,6,ペントザリス,4.6,2,2026-08-30T11:10:02
20260830-04-04,04,04,7,マイネルウルカヌス,78.5,8,2026-08-30T11:10:02
20260830-04-04,04,04,8,ダディーズレガリア,8.0,4,2026-08-30T11:10:02
20260830-04-04,04,04,9,テキサス,6.9,3,2026-08-30T11:10:02
