race_id,horse_num,date,won,lead_min,final_odds_confirmed,p_t10,p_offset,margin,z_t10,edge,odds_t10,payout_odds,z2,z3,t10_source,t10_received_at,t10_received_origin,t10_total_votes,t10_announced
2026-0808-04-02-05-05,01,20260808,0,14.97,1,0.01952017483754696,0.01897667542140763,-0.03551522163679188,-3.9165935315674014,-0.0005434994161393307,40.3,0.0,15.33970489151561,-60.07938895426286,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,02,20260808,0,14.97,1,0.08368755808012153,0.07913350475848197,-0.06807238879621579,-2.393267082850801,-0.0045540533216395646,9.4,0.0,5.727727329857183,-13.70798127809211,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,03,20260808,0,14.97,1,0.01107976121060764,0.012929376931699916,0.1495718828230173,-4.491493550330385,0.0018496157210922768,71.0,0.0,20.173514312659446,-90.60920942280761,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,04,20260808,0,14.97,1,0.09042103976472902,0.08944434298083188,-0.019175184521990542,-2.308504830302366,-0.0009766967838971408,8.7,0.0,5.329194551529356,-12.30247136382657,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,05,20260808,0,14.97,1,0.021033771282169583,0.019250428199787048,-0.09714100346432078,-3.840367843925295,-0.0017833430823825346,37.4,0.0,14.74842517665542,-56.63937779696572,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,06,20260808,0,14.97,1,0.01986522843316016,0.01806621533948513,-0.10347796337841511,-3.898719195737731,-0.0017990130936750282,39.6,0.0,15.200011367213861,-59.2605760927884,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,07,20260808,0,14.97,1,0.014731517714478322,0.013511904189418176,-0.09434126932518853,-4.202924914106783,-0.001219613525060146,53.4,0.0,17.664577833619507,-74.24289427409785,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,08,20260808,0,14.97,1,0.047105571613960624,0.04735487489611717,-0.001382572818594246,-3.0071128320127025,0.00024930328215654746,16.7,0.0,9.042727584455456,-27.19250215561123,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,09,20260808,0,14.97,1,0.008990434810893056,0.00866200124207259,-0.0442001979653847,-4.702562972965585,-0.0003284335688204659,87.5,0.0,22.11409851470692,-103.99294085577401,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,10,20260808,0,14.97,1,0.029028156677237727,0.02998434062080426,0.026595074369457867,-3.5100311914096594,0.0009561839435665333,27.1,0.0,12.320318964668713,-43.24470385410314,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,11,20260808,1,14.97,1,0.49166440372071396,0.49888275519655106,0.015756892822114572,-0.03334547456716888,0.007218351475837104,1.6,1.9,0.0011119206741097066,-3.70775225592345e-05,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,12,20260808,0,14.97,1,0.047105571613960624,0.04595645875330901,-0.03281468351821474,-3.0071128320127025,-0.0011491128606516132,16.7,0.0,9.042727584455456,-27.19250215561123,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,13,20260808,0,14.97,1,0.04521051988236451,0.04425491419992032,-0.029264073612549922,-3.050161075994405,-0.0009556056824441897,17.4,0.0,9.303482589511347,-28.377120465719145,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,14,20260808,0,14.97,1,0.06555525382942853,0.067503994284293,0.024309271744836245,-2.6570591415733023,0.00194874045486447,12.0,0.0,7.059963281818254,-18.758739977127043,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-04-02-05-05,15,20260808,0,14.97,1,0.005001036528627732,0.0060882129858208095,0.1911664057283582,-5.2930964987459515,0.0010871764571930773,157.3,0.0,28.01687054503665,-148.29599938775206,0B30=0B31,2026-08-08T11:30:02,mtime_live,70624,08081129
2026-0808-01-01-05-08,01,20260808,0,14.97,1,0.03382661583283588,0.03515108909979054,0.013019856877637176,-3.3520953615342233,0.0013244732669546594,23.4,0.0,11.236543312819254,-37.665964718579815,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,02,20260808,0,14.97,1,0.023841650918324082,0.021988978258135748,-0.10919304143617013,-3.712190726435503,-0.0018526726601883342,33.2,0.0,13.780359989433748,-51.15532455971881,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,03,20260808,0,14.97,1,0.07067346522217496,0.06761590477791553,-0.07519018977248404,-2.5763899803161276,-0.0030575604442594356,11.2,0.0,6.637785330673337,-17.101523617436158,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,04,20260808,0,14.97,1,0.03681594467387719,0.0346119770288376,-0.09076168888318163,-3.26431349004376,-0.0022039676450395923,21.5,0.0,10.655742561281672,-34.783684189225205,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,05,20260808,0,14.97,1,0.005048104658726783,0.004788332220117585,-0.07904542738408729,-5.283681531863868,-0.0002597724386091977,156.8,0.0,27.917290530159313,-147.50607239388083,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,06,20260808,0,14.97,1,0.03698798179852148,0.03473809162844338,-0.0918380868808768,-3.259472848056428,-0.002249890170078102,21.4,0.0,10.624163247217082,-34.62917163762309,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,07,20260808,0,14.97,1,0.051734824214925465,0.05604538585237817,0.05724290394980494,-2.90850304717935,0.004310561637452706,15.3,0.0,8.459389975451563,-24.604161520879316,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,08,20260808,0,14.97,1,0.13886715973479993,0.12409779291724475,-0.15889091647231088,-1.824730987738043,-0.014769366817555182,5.7,0.0,3.3296431776114543,-6.075703084298185,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,09,20260808,0,14.97,1,0.1164033544835823,0.11565807243521525,-0.03642675865993211,-2.026939321686683,-0.0007452820483670464,6.8,0.0,4.108483013799671,-8.327645773152366,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,10,20260808,0,14.97,1,0.018030587938231427,0.021943867240538616,0.1740081876599062,-3.997490513685565,0.003913279302307188,43.9,0.0,15.979930407006083,-63.87962021136233,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,11,20260808,0,14.97,1,0.004166014792043998,0.003793529343577579,-0.1199651568242618,-5.476620668682433,-0.00037248544846641904,190.0,0.0,29.993373948639615,-164.26233169064093,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,12,20260808,0,14.97,1,0.0418805719835111,0.039078046527611106,-0.09904944976756473,-3.1301503905152326,-0.0028025254558999915,18.9,0.0,9.797841467242662,-30.66871729489596,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,13,20260808,0,14.97,1,0.3166171241953439,0.32741144350688667,0.011277955260769749,-0.7693620482363335,0.010794319311542788,2.5,0.0,0.5919179612664063,-0.455399215067797,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,14,20260808,0,14.97,1,0.043253705491167194,0.04443742836217972,0.0012210337513299412,-3.096455345495713,0.0011837228710125242,18.3,0.0,9.588035706648975,-29.688924416656988,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,15,20260808,0,14.97,1,0.04471993279595252,0.04853347249710249,0.05870354216305908,-3.0615852355033866,0.003813539701149969,17.7,0.0,9.373304154252327,-28.697169606541483,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-01-01-05-08,16,20260808,1,14.97,1,0.017132961265981808,0.02010658830402521,0.136719310723958,-4.0494696827368335,0.0029736270380434013,46.2,40.2,16.398204711404752,-66.40403283014585,0B30=0B31,2026-08-08T13:40:02,mtime_live,191959,08081339
2026-0808-04-02-05-06,01,20260808,0,10.97,1,0.03143806147166808,0.029407526642805562,-0.07994232030163329,-3.427793126217282,-0.002030534828862521,24.6,0.0,11.749765716142447,-40.275766156456555,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,02,20260808,0,10.97,1,0.24168009756344838,0.23463052527795913,-0.05288570585827288,-1.1434903907205356,-0.007049572285489247,3.2,0.0,1.307570273670203,-1.495194043133698,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,03,20260808,0,10.97,1,0.009295388367824937,0.009012829563363463,-0.042007133174409,-4.668898016145707,-0.0002825588044614736,83.2,0.0,21.798608685169324,-101.77548084492365,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,04,20260808,0,10.97,1,0.014564525653541145,0.014411036855359185,-0.02166195491336425,-4.214494827082874,-0.00015348879818196,53.1,0.0,17.761966647508306,-74.8577165547423,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,05,20260808,0,10.97,1,0.07508507885466358,0.07485788268256986,-0.014896619395979431,-2.5110799008051177,-0.00022719617209371323,10.3,0.0,6.305522268227439,-15.83367023182502,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,06,20260808,0,10.97,1,0.018027419864872607,0.016841969744805934,-0.0801650211948189,-3.997669460856713,-0.001185450120066673,42.9,0.0,15.981361118266403,-63.88819928541648,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,07,20260808,0,10.97,1,0.004019627402302675,0.003696772204980256,-0.09484829074285468,-5.512538338822258,-0.0003228551973224192,192.4,0.0,30.388078936985263,-167.5154501832884,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,08,20260808,1,10.97,1,0.5524116515735963,0.5653258079093753,0.027813278498936115,0.21041956907133644,0.01291415633577897,1.4,1.5,0.044276395048166925,0.009316619966067538,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,09,20260808,0,10.97,1,0.020568518941570076,0.020288577147790785,-0.024966307537720465,-3.863210581783445,-0.0002799417937792911,37.6,0.0,14.924395999203584,-57.6560845508498,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-04-02-05-06,10,20260808,0,10.97,1,0.032909630306512117,0.03152707197099054,-0.05545083797390016,-3.380526615328735,-0.0013825583355215748,23.5,0.0,11.427960196945955,-38.63252360469322,0B30=0B31,2026-08-08T14:50:02,mtime_live,200637,08081449
2026-0808-01-01-05-11,01,20260808,0,14.97,0,0.021385683033428134,0.022713627944487766,0.0852695941466746,-3.823415927791183,0.0013279449110596316,37.0,0.0,14.618509356887314,-55.8926415156874,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,02,20260808,0,14.97,0,0.046004085595165174,0.04763533681972699,0.06085126066891268,-3.0319291790133307,0.0016312512245618138,17.2,0.0,9.19259454655245,-27.871295636531187,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,03,20260808,1,14.97,0,0.13411360546387135,0.134697787781888,0.031794015514268414,-1.8650664730796174,0.0005841823180166572,5.9,5.0,3.478472949005643,-6.48758327470481,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,04,20260808,0,14.97,0,0.0638121187287775,0.06330426084745387,0.016173896560159943,-2.685873063148633,-0.0005078578813236256,12.4,0.0,7.21391411134742,-19.375657591535845,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,05,20260808,0,14.97,0,0.19299274932605878,0.20485592023613905,0.10363333186495316,-1.4306800330152416,0.011863170910080267,4.1,0.0,2.046845356868493,-2.9283807827417094,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,06,20260808,0,14.97,0,0.04795577407496006,0.045722815416207346,-0.025778535669898718,-2.988332276771796,-0.0022329586587527123,16.5,0.0,8.930129796396105,-26.68619510633203,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,07,20260808,0,14.97,0,0.004740984255463397,0.004943219080515294,0.06521587028913872,-5.346758257630217,0.00020223482505189651,166.9,0.0,28.587823865536915,-152.85218332073768,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,08,20260808,0,14.97,0,0.26375675741228033,0.25052132590762427,-0.038325733698551176,-1.0265332517919992,-0.013235431504656059,3.0,0.0,1.053770517034656,-1.0817304754941217,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,09,20260808,0,14.97,0,0.018065531329608243,0.019074317031989713,0.0789443093291555,-3.9955187973445967,0.0010087857023814706,43.8,0.0,15.964170459934012,-63.78514315667968,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,10,20260808,0,14.97,0,0.08157425486977743,0.0874320481036271,0.10111499042717481,-2.4211473496205813,0.005857793233849676,9.7,0.0,5.861954488574765,-14.192655573609263,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-01-01-05-11,11,20260808,0,14.97,0,0.12559845591060967,0.11909934083034059,-0.03424483188036489,-1.9404497424920577,-0.006499115080269083,6.3,0.0,3.765345203137493,-7.306463129821853,0B30=0B31,2026-08-08T15:10:02,mtime_live,988031,08081509
2026-0808-04-02-05-07,01,20260808,0,14.97,0,0.17623772082380373,0.1723828651079475,-0.009055265499415712,-1.5420482219604872,-0.0038548557158562258,4.5,0.0,2.3779127188515,-3.6668560800821832,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,02,20260808,0,14.97,0,0.02894415123018675,0.036191918446743666,0.2461643105856203,-3.513015829830206,0.007247767216556917,27.4,0.0,12.341280220637612,-43.35511277547035,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,03,20260808,0,14.97,0,0.03812835306284215,0.03650374913186217,-0.03002100504319619,-3.227922838372225,-0.0016246039309799828,20.8,0.0,10.419485850485001,-33.63329634087678,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,04,20260808,1,14.97,0,0.2202971510297547,0.21061093055495891,-0.03871544316015753,-1.2639355627454094,-0.009686220474795781,3.6,3.1,1.5975331067725547,-2.019178906312991,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,05,20260808,0,14.97,0,0.022466564977538725,0.023648561213144046,0.0674919781798255,-3.7730042928835186,0.001181996235605321,35.3,0.0,14.23556139411746,-53.71083425161206,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,06,20260808,0,14.97,0,0.06720930031416245,0.06855051871148782,0.03693544536864353,-2.6303692097416533,0.0013412183973253722,11.8,0.0,6.91884217955693,-18.19910943616838,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,07,20260808,0,14.97,0,0.1201620823798662,0.11244572285243672,-0.05858085970137708,-1.9908961880611573,-0.007716359527429481,6.6,0.0,3.963667631636447,-7.891250778566398,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,08,20260808,0,14.97,0,0.07775193565756049,0.07630943433446084,-0.004419297121177118,-2.47329079096539,-0.001442501323099643,10.2,0.0,6.117167336674205,-15.129533640590594,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,09,20260808,0,14.97,0,0.05469446508324944,0.06353719306486477,0.17491362699876872,-2.8497456750798484,0.008842727981615332,14.5,0.0,8.1210504126363,-23.142928290515716,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,10,20260808,0,14.97,0,0.007821200628275314,0.009905712720058706,0.2531748572283231,-4.843065256545739,0.002084512091783392,101.4,0.0,23.45528107916044,-113.59545687699656,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
2026-0808-04-02-05-07,11,20260808,0,14.97,0,0.032636614967371066,0.031090453663124677,-0.03500689084739376,-3.389139394222713,-0.0015461613042463893,24.3,0.0,11.486265833472297,-38.92855602873534,0B30=0B31,2026-08-08T15:20:02,mtime_live,346233,08081519
