  progress: 3740 races, 3740 picks, 0 tentative, 6123s elapsed
  progress: 3778 races, 3778 picks, 0 tentative, 6183s elapsed
  progress: 3817 races, 3817 picks, 0 tentative, 6247s elapsed
  progress: 3853 races, 3853 picks, 0 tentative, 6309s elapsed
  progress: 3887 races, 3887 picks, 0 tentative, 6371s elapsed
  progress: 3922 races, 3922 picks, 0 tentative, 6431s elapsed
  progress: 3957 races, 3957 picks, 0 tentative, 6492s elapsed
  progress: 3995 races, 3995 picks, 0 tentative, 6553s elapsed
  progress: 4031 races, 4031 picks, 0 tentative, 6615s elapsed
  progress: 4069 races, 4069 picks, 0 tentative, 6679s elapsed
  progress: 4107 races, 4107 picks, 0 tentative, 6741s elapsed
  progress: 4138 races, 4138 picks, 0 tentative, 6803s elapsed
  progress: 4172 races, 4172 picks, 0 tentative, 6863s elapsed
  progress: 4211 races, 4211 picks, 0 tentative, 6924s elapsed
  progress: 4248 races, 4248 picks, 0 tentative, 6985s elapsed
  progress: 4285 races, 4285 picks, 0 tentative, 7048s elapsed
  progress: 4328 races, 4328 picks, 0 tentative, 7108s elapsed
  progress: 4363 races, 4363 picks, 0 tentative, 7168s elapsed
  progress: 4399 races, 4399 picks, 0 tentative, 7228s elapsed
  progress: 4431 races, 4431 picks, 0 tentative, 7289s elapsed
  progress: 4470 races, 4470 picks, 0 tentative, 7349s elapsed
  progress: 4512 races, 4512 picks, 0 tentative, 7410s elapsed
  progress: 4551 races, 4551 picks, 0 tentative, 7470s elapsed
  progress: 4594 races, 4594 picks, 0 tentative, 7531s elapsed
  progress: 4633 races, 4633 picks, 0 tentative, 7593s elapsed
  progress: 4672 races, 4672 picks, 0 tentative, 7654s elapsed
  progress: 4710 races, 4710 picks, 0 tentative, 7716s elapsed
  progress: 4747 races, 4747 picks, 0 tentative, 7776s elapsed
done: 4776 races, 4776 picks, 0 tentative, 0 no_top, 7818s
out_picks=data\dump_picks_h2.csv
out_races=data\dump_races_h2.csv
