date,track_code,race_num,grade_code,top_horse_num,top_rank,top_mark,p_win,p_raw_blended,ev,kelly,confidence,odds,popularity,tm_score,tm_rank,dm_rank,tan_payout,fuku_payout,y_win
20250111,06,05,,10,1,◎,0.113000,0.115687,1.141000,0.015500,混戦,10.10,1,5350,7,12,0,0,0
20250111,06,06,,08,1,◎,0.060800,0.616022,6.145000,0.051400,接戦,101.00,2,6810,2,4,230,130,1
20250111,06,07,,01,1,◎,0.153600,0.221634,0.000000,0.000000,接戦,0.70,6,5470,9,7,0,0,0
20250111,06,08,,10,1,◎,0.225600,0.217951,0.000000,0.000000,接戦,0.00,10,4540,10,8,0,0,0
20250111,06,09,0,09,1,◎,0.123400,0.686876,24.795000,0.119000,標準,201.00,2,5720,4,1,280,150,1
20250111,06,10,g,07,1,◎,0.118600,0.187323,36.652000,0.115800,接戦,309.00,90,6110,6,3,0,0,0
20250111,06,11,E,07,1,◎,0.203800,0.215640,1.019000,0.004700,混戦,5.00,50,4890,10,5,0,0,0
20250111,06,12,,01,1,◎,0.235600,0.323708,0.000000,0.000000,接戦,0.30,3,5960,3,6,0,130,0
20250111,07,01,,01,1,◎,0.037300,0.285283,4.903000,0.030000,混戦,131.30,1,7270,1,1,990,240,1
20250111,07,02,,10,1,◎,0.153600,0.180811,0.000000,0.000000,接戦,0.00,1,4620,8,9,0,0,0
20250111,07,03,,01,1,◎,0.096100,0.302860,8.738000,0.086100,接戦,90.90,8,3550,13,16,0,0,0
20250111,07,04,,13,1,◎,0.490700,0.549384,0.000000,0.000000,標準,0.00,2,6630,3,2,0,0,0
20250111,07,05,,09,1,◎,0.057700,0.416272,3.494000,0.041900,接戦,60.60,9,5550,8,1,690,240,1
20250111,07,06,,02,1,◎,0.219500,1.000000,11.043000,0.203700,標準,50.30,36,3540,6,5,0,0,0
20250111,07,07,,13,1,◎,0.247700,0.476622,1.982000,0.140300,標準,8.00,48,4330,13,6,0,0,0
20250111,07,08,0,07,1,◎,0.124500,0.332655,5.029000,0.102200,接戦,40.40,3,0,0,1,220,120,1
20250111,07,09,?,10,1,◎,0.067400,1.000000,0.404000,0.000000,標準,6.00,60,6460,3,4,0,0,0
20250111,07,10,?,06,1,◎,0.179700,0.324548,21.817000,0.172900,標準,121.40,15,5380,7,10,0,0,0
20250111,07,11,L,12,1,◎,0.187900,0.542081,0.000000,0.000000,標準,0.00,11,6180,1,2,0,140,0
20250111,07,12,,08,1,◎,0.280300,0.277650,0.308000,0.000000,接戦,1.10,11,5660,7,14,0,0,0
20250112,06,01,,01,1,◎,0.354100,0.363399,0.000000,0.000000,標準,0.00,7,4520,9,9,0,0,0
20250112,06,02,,08,1,◎,0.044500,0.225825,4.947000,0.035800,混戦,111.20,11,4800,10,7,0,0,0
20250112,06,03,,03,1,◎,0.210700,0.298624,0.000000,0.000000,標準,0.00,6,1710,16,16,0,0,0
20250112,06,04,,06,1,◎,0.126100,0.138638,0.757000,0.000000,混戦,6.00,60,6780,2,1,0,0,0
20250112,06,05,,14,1,◎,0.165300,0.411047,5.008000,0.136800,標準,30.30,5,7330,2,4,0,0,0
20250112,06,06,,01,1,◎,0.162200,0.217153,0.000000,0.000000,接戦,0.00,1,6300,3,8,0,250,0
20250112,06,07,,09,1,◎,0.106100,0.173181,85.811000,0.105000,接戦,809.10,72,3340,15,3,0,0,0
20250112,06,08,,05,1,◎,0.054300,0.194864,5.484000,0.044800,混戦,101.00,11,6150,3,1,0,180,0
20250112,06,09,0,02,1,◎,0.070500,0.425936,5.704000,0.058900,接戦,80.90,12,4540,10,2,0,0,0
20250112,06,10,E,09,1,◎,0.050100,0.545414,5.566000,0.041500,接戦,111.10,12,6100,4,3,0,0,0
20250112,06,11,C,12,1,◎,0.074200,0.192292,2.248000,0.042600,混戦,30.30,0,6510,2,7,590,260,1
20250112,06,12,,14,1,◎,0.176500,0.311435,0.000000,0.000000,接戦,0.00,8,5060,11,7,0,0,0
20250112,07,01,,11,1,◎,0.075200,0.366662,1.060000,0.004600,混戦,14.10,41,4410,10,11,0,380,0
20250112,07,02,,12,1,◎,0.131500,0.322011,0.000000,0.000000,混戦,0.00,11,4970,8,6,0,0,0
20250112,07,03,,02,1,◎,0.162400,0.286725,0.000000,0.000000,標準,0.00,13,1630,16,15,0,0,0
20250112,07,04,,08,1,◎,0.194600,0.394343,0.973000,0.000000,接戦,5.00,60,0,0,11,0,0,0
20250112,07,05,,06,1,◎,0.124400,0.364685,0.622000,0.000000,接戦,5.00,40,5510,6,1,0,0,0
20250112,07,06,,07,1,◎,0.125800,0.158267,0.629000,0.000000,接戦,5.00,40,6460,3,6,0,0,0
20250112,07,07,,01,1,◎,0.092600,0.333333,0.000000,0.000000,混戦,0.00,9,5050,9,15,0,0,0
20250112,07,08,,02,1,◎,0.187900,0.501466,0.000000,0.000000,標準,0.00,7,4180,12,15,0,0,0
20250112,07,09,?,03,1,◎,0.051800,1.000000,2.614000,0.032600,標準,50.50,7,6900,2,1,140,110,1
20250112,07,10,E,03,1,◎,0.067800,0.462537,27.442000,0.065500,接戦,405.00,51,4800,8,10,0,0,0
20250112,07,11,Z,05,1,◎,0.221000,0.242929,0.000000,0.000000,接戦,0.00,6,4560,11,16,0,0,0
20250112,07,12,,03,1,◎,0.086800,0.363707,0.000000,0.000000,混戦,0.00,15,5220,10,4,0,300,0
20250113,06,01,,16,1,◎,0.164100,0.192535,0.000000,0.000000,接戦,0.00,4,5140,8,11,0,0,0
20250113,06,02,,13,1,◎,0.042100,0.285507,2.127000,0.022800,混戦,50.50,6,4820,8,12,0,0,0
20250113,06,03,,07,1,◎,0.066600,0.355843,6.722000,0.057200,混戦,101.00,10,3710,13,11,0,0,0
20250113,06,04,,03,1,◎,0.250700,0.363352,2.557000,0.169200,標準,10.20,2,0,0,6,0,170,0
20250113,06,05,,06,1,◎,0.294800,0.212572,0.472000,0.000000,接戦,1.60,15,4700,9,8,0,0,0
20250113,06,06,,06,1,◎,0.080300,0.233722,40.396000,0.078500,接戦,503.00,30,7210,1,11,0,200,0
20250113,06,07,,08,1,◎,0.135300,0.578009,0.000000,0.000000,接戦,0.00,1,7480,1,1,0,120,0
20250113,06,08,,07,1,◎,0.118200,0.303628,16.712000,0.111900,接戦,141.40,12,4210,11,3,0,0,0
20250113,06,09,�,16,1,◎,0.168600,0.382721,5.108000,0.140200,標準,30.30,2,5110,11,8,0,0,0
20250113,06,10,0,14,1,◎,0.117700,0.162810,0.000000,0.000000,混戦,0.00,2,2650,14,16,0,0,0
20250113,06,11,0,12,1,◎,0.115300,0.294332,0.000000,0.000000,接戦,0.10,11,2690,15,16,0,0,0
20250113,06,12,,10,1,◎,0.112400,0.127336,0.000000,0.000000,混戦,0.00,91,3470,13,14,0,0,0
20250113,07,01,,04,1,◎,0.083700,0.231424,1.690000,0.035900,混戦,20.20,2,5310,9,7,0,0,0
20250113,07,02,,12,1,◎,0.091900,0.405053,83.589000,0.090900,接戦,909.10,24,4800,9,5,0,0,0
20250113,07,03,,10,1,◎,0.211000,0.363024,10.676000,0.195100,標準,50.60,10,5850,6,8,0,0,0
20250113,07,04,,05,1,◎,0.103000,0.567783,0.000000,0.000000,接戦,0.00,0,5970,7,6,0,0,0
20250113,07,05,,04,1,◎,0.083000,0.207855,4.201000,0.064500,接戦,50.60,0,6480,2,1,0,130,0
20250113,07,06,,03,1,◎,0.127900,0.452440,0.000000,0.000000,接戦,0.00,16,5750,7,8,0,0,0
20250113,07,07,,14,1,◎,0.111400,0.343364,1.571000,0.043600,接戦,14.10,41,5740,8,11,0,0,0
20250113,07,08,,06,1,◎,0.121200,0.384972,0.000000,0.000000,接戦,1.00,10,5030,9,10,0,0,0
20250113,07,09,f,13,1,◎,0.119800,0.275459,0.000000,0.000000,接戦,0.00,4,5190,11,8,0,0,0
20250113,07,10,0,07,1,◎,0.172800,0.462353,24.198000,0.166900,標準,140.00,72,6370,6,5,0,0,0
20250113,07,11,�,03,1,◎,0.127700,0.460331,0.000000,0.000000,接戦,0.70,8,3370,13,11,0,0,0
20250113,07,12,,03,1,◎,0.109500,0.503750,0.000000,0.000000,混戦,0.00,6,6550,3,6,0,0,0
20250118,06,01,,12,1,◎,0.292500,0.466703,0.000000,0.000000,標準,0.00,3,8430,1,3,160,110,1
20250118,06,02,,03,1,◎,0.212600,0.329921,2.147000,0.126100,接戦,10.10,0,6120,6,7,0,0,0
20250118,06,03,,14,1,◎,0.050400,0.158149,6.103000,0.042500,混戦,121.20,6,5600,5,1,0,0,0
20250118,06,04,,07,1,◎,0.070100,0.257666,56.706000,0.068900,混戦,809.00,64,0,0,8,0,0,0
20250118,06,05,,12,1,◎,0.168900,0.279678,0.338000,0.000000,接戦,2.00,20,5350,9,4,0,0,0
20250118,06,06,,14,1,◎,0.206000,0.330497,0.000000,0.000000,接戦,0.00,12,5120,9,10,0,0,0
20250118,06,07,,01,1,◎,0.072800,0.492503,5.892000,0.061200,混戦,80.90,13,4690,11,12,0,0,0
20250118,06,08,,16,1,◎,0.181600,0.373851,0.000000,0.000000,接戦,0.00,1,3480,12,13,0,0,0
20250118,06,09,0,13,1,◎,0.121200,0.384996,0.000000,0.000000,接戦,0.00,30,6120,6,12,0,0,0
20250118,06,10,L,15,1,◎,0.083700,0.307501,0.846000,0.000000,混戦,10.10,1,3320,15,14,0,0,0
20250118,06,11,0,13,1,◎,0.176500,0.309219,0.000000,0.000000,接戦,0.00,0,5360,9,4,4120,720,1
20250118,06,12,,13,1,◎,0.062100,0.258649,8.782000,0.055400,接戦,141.50,9,3600,13,13,0,0,0
20250118,07,01,,09,1,◎,0.089300,0.338401,81.121000,0.088300,接戦,908.00,35,4940,8,10,0,0,0
20250118,07,02,,10,1,◎,0.074200,0.567568,2.249000,0.042600,接戦,30.30,5,2660,10,9,0,0,0
20250118,07,03,,11,1,◎,0.097200,0.529223,0.000000,0.000000,接戦,0.00,12,7480,1,1,0,0,0
20250118,07,04,,10,1,◎,0.092400,0.263027,3.733000,0.069400,接戦,40.40,6,5150,8,5,1110,400,1
20250118,07,05,,15,1,◎,0.102700,0.194727,9.335000,0.092700,接戦,90.90,8,6250,6,7,530,200,1
20250118,07,06,,07,1,◎,0.154000,0.175075,0.000000,0.000000,混戦,0.20,2,6140,5,12,0,0,0
20250118,07,07,,07,1,◎,0.047600,0.275372,10.081000,0.043000,混戦,212.00,65,4400,8,11,0,0,0
20250118,07,08,,16,1,◎,0.132100,0.709349,13.232000,0.123300,標準,100.20,9,6470,3,9,0,0,0
20250118,07,09,h,16,1,◎,0.083600,0.147908,0.836000,0.000000,混戦,10.00,81,4680,12,12,0,0,0
20250118,07,10,0,12,1,◎,0.168300,0.304390,0.000000,0.000000,混戦,0.00,0,4610,7,11,0,0,0
20250118,07,11,?,10,1,◎,0.294200,0.377623,0.000000,0.000000,標準,0.00,1,2070,16,16,0,0,0
20250118,07,12,,12,1,◎,0.131100,0.295908,11.939000,0.121400,標準,91.10,12,4020,9,6,0,0,0
20250119,06,01,,02,1,◎,0.075400,0.289273,0.000000,0.000000,混戦,0.00,15,3670,11,12,0,0,0
20250119,06,02,,13,1,◎,0.042600,0.350101,25.791000,0.041000,混戦,606.00,70,5160,7,10,0,0,0
20250119,06,03,,03,1,◎,0.090300,0.327489,11.852000,0.083300,接戦,131.20,12,2000,16,13,0,0,0
20250119,06,04,,03,1,◎,0.135900,1.000000,1.236000,0.029200,標準,9.10,1,0,0,5,0,0,0
20250119,06,05,,12,1,◎,0.101700,0.131102,0.000000,0.000000,混戦,0.20,2,3840,15,1,0,0,0
20250119,06,06,,16,1,◎,0.203800,0.302773,0.000000,0.000000,接戦,0.00,11,2960,15,14,0,0,0
20250119,06,07,,13,1,◎,0.168100,0.254431,1.698000,0.076700,接戦,10.10,1,4250,9,10,0,0,0
20250119,06,08,,12,1,◎,0.180900,0.200349,0.543000,0.000000,接戦,3.00,30,3370,13,11,0,0,0
20250119,06,09,0,03,1,◎,0.141500,0.369492,0.000000,0.000000,接戦,0.00,60,3350,11,11,0,0,0
20250119,06,10,0,12,1,◎,0.187900,0.541570,0.000000,0.000000,標準,0.00,2,2630,16,14,19510,2030,1
20250119,06,11,�,07,1,◎,0.242000,0.355837,12.196000,0.226600,標準,50.40,10,3310,14,14,0,0,0
20250119,06,12,,05,1,◎,0.175800,0.211650,0.000000,0.000000,接戦,1.00,9,5220,8,5,0,0,0
20250119,07,01,,08,1,◎,0.097200,0.344892,0.000000,0.000000,混戦,0.00,5,6550,4,10,0,0,0
