filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H1_lo,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2025H2_lo,2026P_bets,2026P_hit_rate,2026P_return_rate,2026P_lo,min_return,min_lo,robust_3fold
only_t04,96,6.2,43.9,11.6,192,4.7,69.7,9.0,72,9.7,66.1,12.9,43.9,9.0,n
odds_2_5,103,6.8,31.7,8.9,86,18.6,217.1,46.3,196,15.3,56.9,38.8,31.7,8.9,n
only_t08_pop_1_3,45,11.1,68.4,7.6,48,18.8,147.1,53.3,104,14.4,48.7,25.2,48.7,7.6,n
only_t01,0,0.0,0.0,0.0,168,5.4,16.9,7.1,0,0.0,0.0,0.0,16.9,7.1,n
only_t03,96,5.2,103.0,8.8,144,7.6,172.9,23.3,72,5.6,22.6,5.4,22.6,5.4,n
wl5_ev_ge_110,353,10.5,86.9,41.0,446,7.2,68.9,36.1,216,3.7,17.9,4.7,17.9,4.7,n
odds_10_20,118,5.1,73.0,4.7,125,8.8,66.9,18.6,158,7.6,76.8,30.3,66.9,4.7,n
only_t05_pop_1_3,65,7.7,16.8,3.5,52,15.4,554.6,29.2,73,9.6,35.2,11.2,16.8,3.5,n
only_t10,168,9.5,77.7,37.0,72,12.5,60.8,18.9,144,2.8,39.4,3.3,39.4,3.3,n
only_t05_pop_1_2,48,8.3,17.1,3.1,41,12.2,46.3,7.1,50,12.0,37.8,10.8,17.1,3.1,n
only_t07,180,11.1,61.3,29.8,216,9.7,63.3,29.0,72,5.6,22.4,3.1,22.4,3.1,n
only_t02_pop_1_3,19,15.8,292.6,0.0,22,18.2,453.6,9.5,0,0.0,0.0,0.0,292.6,0.0,n
only_t02_pop_1_2,15,13.3,347.3,0.0,18,16.7,172.8,0.0,0,0.0,0.0,0.0,172.8,0.0,n
only_t10_pop_1_2,25,16.0,163.6,16.4,13,38.5,160.0,31.5,18,5.6,61.1,0.0,61.1,0.0,n
only_t08_pop_1_2,31,9.7,72.3,0.0,39,20.5,158.7,50.3,78,16.7,52.3,25.3,52.3,0.0,n
only_t10_pop_1_3,33,15.2,133.3,21.8,16,37.5,171.9,44.4,24,4.2,45.8,0.0,45.8,0.0,n
only_t01_pop_1_2,0,0.0,0.0,0.0,26,11.5,31.2,0.0,0,0.0,0.0,0.0,31.2,0.0,n
only_t01_pop_1_3,0,0.0,0.0,0.0,41,7.3,19.8,0.0,0,0.0,0.0,0.0,19.8,0.0,n
only_t03_pop_1_2,15,6.7,16.0,0.0,24,16.7,99.6,8.8,21,19.0,77.6,18.1,16.0,0.0,n
only_t03_pop_1_3,18,5.6,13.3,0.0,34,14.7,81.2,12.4,28,14.3,58.2,13.6,13.3,0.0,n
only_t07_pop_1_3,36,16.7,92.5,19.4,46,13.0,105.4,17.0,9,11.1,12.2,0.0,12.2,0.0,n
only_t04_pop_1_2,10,0.0,0.0,0.0,23,8.7,33.5,0.0,27,14.8,55.9,6.7,0.0,0.0,n
only_t07_pop_1_2,29,13.8,102.1,9.0,35,14.3,124.6,15.1,5,0.0,0.0,0.0,0.0,0.0,n
only_t04_pop_1_3,16,0.0,0.0,0.0,36,11.1,129.2,9.4,35,17.1,75.7,23.7,0.0,0.0,n
