date,track_code,race_num,grade_code,tentative,top_horse_num,top_rank,top_has_mark,p_win,p_raw_blended,ev,odds,y_top_is_winner,tan_payout_if_bet
20250112,06,06,,0,01,1,1,0.162200,0.217153,0.000000,0.00,0,0
20250112,06,07,,0,09,1,1,0.106100,0.173181,85.811000,809.10,0,0
20250112,06,08,,0,05,1,1,0.054300,0.194864,5.484000,101.00,0,0
20250112,06,09,0,0,02,1,1,0.070500,0.425936,5.704000,80.90,0,0
20250112,06,10,E,0,09,1,1,0.050100,0.545414,5.566000,111.10,0,0
20250112,06,11,C,0,12,1,1,0.074200,0.192292,2.248000,30.30,1,590
20250112,06,12,,0,14,1,1,0.176500,0.311435,0.000000,0.00,0,0
20250112,07,01,,0,11,1,1,0.075200,0.366662,1.060000,14.10,0,0
20250112,07,02,,0,12,1,1,0.131500,0.322011,0.000000,0.00,0,0
20250112,07,03,,0,02,1,1,0.162400,0.286725,0.000000,0.00,0,0
20250112,07,04,,0,08,1,1,0.194600,0.394343,0.973000,5.00,0,0
20250112,07,05,,0,06,1,1,0.124400,0.364685,0.622000,5.00,0,0
20250112,07,06,,0,07,1,1,0.125800,0.158267,0.629000,5.00,0,0
20250112,07,07,,0,01,1,1,0.092600,0.333333,0.000000,0.00,0,0
20250112,07,08,,0,02,1,1,0.187900,0.501466,0.000000,0.00,0,0
20250112,07,09,?,0,03,1,1,0.051800,1.000000,2.614000,50.50,1,140
20250112,07,10,E,0,03,1,1,0.067800,0.462537,27.442000,405.00,0,0
20250112,07,11,Z,0,05,1,1,0.221000,0.242929,0.000000,0.00,0,0
20250112,07,12,,0,03,1,1,0.086800,0.363707,0.000000,0.00,0,0
20250113,06,01,,0,16,1,1,0.164100,0.192535,0.000000,0.00,0,0
20250113,06,02,,0,13,1,1,0.042100,0.285507,2.127000,50.50,0,0
20250113,06,03,,0,07,1,1,0.066600,0.355843,6.722000,101.00,0,0
20250113,06,04,,0,03,1,1,0.250700,0.363352,2.557000,10.20,0,0
20250113,06,05,,0,06,1,1,0.294800,0.212572,0.472000,1.60,0,0
20250113,06,06,,0,06,1,1,0.080300,0.233722,40.396000,503.00,0,0
20250113,06,07,,0,08,1,1,0.135300,0.578009,0.000000,0.00,0,0
20250113,06,08,,0,07,1,1,0.118200,0.303628,16.712000,141.40,0,0
20250113,06,09,�,0,16,1,1,0.168600,0.382721,5.108000,30.30,0,0
20250113,06,10,0,0,14,1,1,0.117700,0.162810,0.000000,0.00,0,0
20250113,06,11,0,0,12,1,1,0.115300,0.294332,0.000000,0.10,0,0
20250113,06,12,,0,10,1,1,0.112400,0.127336,0.000000,0.00,0,0
20250113,07,01,,0,04,1,1,0.083700,0.231424,1.690000,20.20,0,0
20250113,07,02,,0,12,1,1,0.091900,0.405053,83.589000,909.10,0,0
20250113,07,03,,0,10,1,1,0.211000,0.363024,10.676000,50.60,0,0
20250113,07,04,,0,05,1,1,0.103000,0.567783,0.000000,0.00,0,0
20250113,07,05,,0,04,1,1,0.083000,0.207855,4.201000,50.60,0,0
20250113,07,06,,0,03,1,1,0.127900,0.452440,0.000000,0.00,0,0
20250113,07,07,,0,14,1,1,0.111400,0.343364,1.571000,14.10,0,0
20250113,07,08,,0,06,1,1,0.121200,0.384972,0.000000,1.00,0,0
20250113,07,09,f,0,13,1,1,0.119800,0.275459,0.000000,0.00,0,0
20250113,07,10,0,0,07,1,1,0.172800,0.462353,24.198000,140.00,0,0
20250113,07,11,�,0,03,1,1,0.127700,0.460331,0.000000,0.70,0,0
20250113,07,12,,0,03,1,1,0.109500,0.503750,0.000000,0.00,0,0
20250118,06,01,,0,12,1,1,0.292500,0.466703,0.000000,0.00,1,160
20250118,06,02,,0,03,1,1,0.212600,0.329921,2.147000,10.10,0,0
20250118,06,03,,0,14,1,1,0.050400,0.158149,6.103000,121.20,0,0
20250118,06,04,,0,07,1,1,0.070100,0.257666,56.706000,809.00,0,0
20250118,06,05,,0,12,1,1,0.168900,0.279678,0.338000,2.00,0,0
20250118,06,06,,0,14,1,1,0.206000,0.330497,0.000000,0.00,0,0
20250118,06,07,,0,01,1,1,0.072800,0.492503,5.892000,80.90,0,0
20250118,06,08,,0,16,1,1,0.181600,0.373851,0.000000,0.00,0,0
20250118,06,09,0,0,13,1,1,0.121200,0.384996,0.000000,0.00,0,0
20250118,06,10,L,0,15,1,1,0.083700,0.307501,0.846000,10.10,0,0
20250118,06,11,0,0,13,1,1,0.176500,0.309219,0.000000,0.00,1,4120
20250118,06,12,,0,13,1,1,0.062100,0.258649,8.782000,141.50,0,0
20250118,07,01,,0,09,1,1,0.089300,0.338401,81.121000,908.00,0,0
20250118,07,02,,0,10,1,1,0.074200,0.567568,2.249000,30.30,0,0
20250118,07,03,,0,11,1,1,0.097200,0.529223,0.000000,0.00,0,0
20250118,07,04,,0,10,1,1,0.092400,0.263027,3.733000,40.40,1,1110
20250118,07,05,,0,15,1,1,0.102700,0.194727,9.335000,90.90,1,530
20250118,07,06,,0,07,1,1,0.154000,0.175075,0.000000,0.20,0,0
20250118,07,07,,0,07,1,1,0.047600,0.275372,10.081000,212.00,0,0
20250118,07,08,,0,16,1,1,0.132100,0.709349,13.232000,100.20,0,0
20250118,07,09,h,0,16,1,1,0.083600,0.147908,0.836000,10.00,0,0
20250118,07,10,0,0,12,1,1,0.168300,0.304390,0.000000,0.00,0,0
20250118,07,11,?,0,10,1,1,0.294200,0.377623,0.000000,0.00,0,0
20250118,07,12,,0,12,1,1,0.131100,0.295908,11.939000,91.10,0,0
20250119,06,01,,0,02,1,1,0.075400,0.289273,0.000000,0.00,0,0
20250119,06,02,,0,13,1,1,0.042600,0.350101,25.791000,606.00,0,0
20250119,06,03,,0,03,1,1,0.090300,0.327489,11.852000,131.20,0,0
20250119,06,04,,0,03,1,1,0.135900,1.000000,1.236000,9.10,0,0
20250119,06,05,,0,12,1,1,0.101700,0.131102,0.000000,0.20,0,0
20250119,06,06,,0,16,1,1,0.203800,0.302773,0.000000,0.00,0,0
20250119,06,07,,0,13,1,1,0.168100,0.254431,1.698000,10.10,0,0
20250119,06,08,,0,12,1,1,0.180900,0.200349,0.543000,3.00,0,0
20250119,06,09,0,0,03,1,1,0.141500,0.369492,0.000000,0.00,0,0
20250119,06,10,0,0,12,1,1,0.187900,0.541570,0.000000,0.00,1,19510
20250119,06,11,�,0,07,1,1,0.242000,0.355837,12.196000,50.40,0,0
20250119,06,12,,0,05,1,1,0.175800,0.211650,0.000000,1.00,0,0
20250119,07,01,,0,08,1,1,0.097200,0.344892,0.000000,0.00,0,0
20250119,07,02,,0,01,1,1,0.063300,0.531939,3.203000,50.60,0,0
20250119,07,03,,0,16,1,1,0.117900,0.193091,0.000000,0.00,0,0
20250119,07,04,,0,09,1,1,0.146100,0.523767,13.276000,90.90,0,0
20250119,07,05,,0,07,1,1,0.081400,0.140028,1.645000,20.20,1,510
20250119,07,06,,0,04,1,1,0.092000,1.000000,0.000000,0.00,0,0
20250119,07,07,,0,05,1,1,0.177800,0.594490,10.777000,60.60,0,0
20250119,07,08,,0,06,1,1,0.119300,0.220559,0.000000,0.00,1,260
20250119,07,09,?,0,05,1,1,0.124300,0.500000,1.119000,9.00,0,0
20250119,07,10,0,0,11,1,1,0.160900,0.196234,0.000000,0.00,0,0
20250119,07,11,o,0,12,1,1,0.096800,0.423722,0.978000,10.10,0,0
20250119,07,12,,0,08,1,1,0.089300,0.347442,80.988000,907.00,0,0
20250125,06,01,,0,16,1,1,0.127900,0.419517,0.000000,0.00,0,0
20250125,06,02,,0,08,1,1,0.070800,0.203139,4.321000,61.00,0,0
20250125,06,03,,0,07,1,1,0.279700,0.497152,2.797000,10.00,0,0
20250125,06,04,,0,01,1,1,0.069700,0.226237,1.415000,20.30,0,0
20250125,06,05,,0,18,1,1,0.119600,0.209759,0.598000,5.00,0,0
20250125,06,06,,0,05,1,1,0.165200,0.652629,6.674000,40.40,0,0
20250125,06,07,,0,12,1,1,0.129100,0.460106,0.000000,0.00,1,660
20250125,06,08,,0,02,1,1,0.092100,0.260469,9.322000,101.20,0,0
20250125,06,09,�,0,06,1,1,0.175000,0.391036,0.000000,0.20,1,240
20250125,06,10,�,0,05,1,1,0.111500,0.266483,8.929000,80.10,0,0
20250125,06,11,0,0,06,1,1,0.259200,0.466611,26.181000,101.00,1,340
20250125,06,12,,0,06,1,1,0.190000,0.220184,0.000000,0.40,0,0
20250125,07,01,,0,13,1,1,0.127900,0.417174,0.000000,0.00,0,0
20250125,07,02,,0,04,1,1,0.082300,0.236158,12.464000,151.50,0,0
20250125,07,03,,0,08,1,1,0.114900,0.190335,0.000000,0.00,0,0
20250125,07,04,,0,05,1,1,0.127100,0.158604,0.381000,3.00,1,450
20250125,07,05,,0,01,1,1,0.153500,0.160148,0.000000,0.00,0,0
20250125,07,06,,0,16,1,1,0.070700,0.289586,4.272000,60.40,0,0
20250125,07,07,,0,01,1,1,0.112800,0.568892,9.083000,80.50,0,0
20250125,07,08,,0,16,1,1,0.105000,0.337586,43.557000,415.00,0,0
20250125,07,09,L,0,04,1,1,0.133000,0.241822,1.343000,10.10,0,0
20250125,07,10,J,0,01,1,1,0.059300,0.608383,41.909000,707.00,0,0
20250125,07,11,0,0,14,1,1,0.063100,0.144757,1.912000,30.30,0,0
20250125,07,12,,0,02,1,1,0.145200,0.324898,2.934000,20.20,0,0
20250125,10,01,,0,09,1,1,0.165100,1.000000,0.495000,3.00,0,0
20250125,10,02,,0,14,1,1,0.200400,0.248802,0.000000,0.00,0,0
20250125,10,03,,0,08,1,1,0.116300,0.239506,0.000000,0.00,0,0
20250125,10,04,,0,04,1,1,0.124900,0.353828,5.085000,40.70,0,0
20250125,10,05,,0,03,1,1,0.292200,1.000000,1.169000,4.00,0,0
20250125,10,06,,0,06,1,1,0.044300,0.551188,40.122000,906.00,1,1770
20250125,10,07,,0,03,1,1,0.107900,0.604169,11.921000,110.50,0,0
20250125,10,08,,0,10,1,1,0.033600,1.000000,1.360000,40.50,0,0
20250125,10,09,0,0,04,1,1,0.125500,0.571643,0.000000,0.00,0,0
20250125,10,10,u,0,16,1,1,0.150100,0.300365,3.031000,20.20,0,0
20250125,10,11,�,0,13,1,1,0.116500,0.262534,83.681000,718.10,0,0
20250125,10,12,,0,06,1,1,0.161400,0.414313,4.841000,30.00,0,0
20250126,06,01,,0,16,1,1,0.142300,0.160447,0.000000,0.00,0,0
20250126,06,02,,0,12,1,1,0.059600,0.153454,3.603000,60.50,0,0
20250126,06,03,,0,13,1,1,0.189800,0.475155,5.751000,30.30,0,0
20250126,06,04,,0,10,1,1,0.200300,0.143325,2.223000,11.10,0,0
20250126,06,05,,0,03,1,1,0.050600,0.169573,9.202000,181.80,0,0
