race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260726-01-01,01,01,10,180,10,110,2,820,1,350
20260726-01-02,01,02,9,1570,9,280,5,180,6,130
20260726-01-03,01,03,8,340,8,170,6,1270,11,380
20260726-01-04,01,04,1,700,1,220,8,890,9,160
20260726-01-05,01,05,9,740,9,140,2,110,6,130
20260726-01-06,01,06,2,280,2,120,8,180,9,120
20260726-01-07,01,07,6,360,6,220,2,330,,0
20260726-01-08,01,08,1,160,1,110,2,140,8,310
20260726-01-09,01,09,5,160,5,110,1,130,6,130
20260726-01-10,01,10,8,920,8,300,2,510,1,210
20260726-01-11,01,11,2,210,2,120,13,500,4,500
20260726-01-12,01,12,4,3780,4,620,6,490,1,140
20260726-04-01,04,01,7,200,7,110,6,230,4,110
20260726-04-02,04,02,6,1280,6,150,3,100,2,170
20260726-04-03,04,03,7,620,7,230,15,230,13,650
20260726-04-04,04,04,1,850,1,370,7,1480,11,380
20260726-04-05,04,05,11,480,11,170,10,130,14,160
20260726-04-06,04,06,7,240,7,150,6,180,9,420
20260726-04-07,04,07,3,480,3,210,10,310,1,300
20260726-04-08,04,08,15,1340,15,410,6,350,10,610
20260726-04-09,04,09,5,370,5,160,10,360,4,860
20260726-04-10,04,10,9,330,9,160,7,200,6,630
20260726-04-11,04,11,13,600,13,190,10,260,5,310
20260726-04-12,04,12,5,3210,5,600,2,190,4,1010
20260726-07-01,07,01,8,800,8,150,6,110,1,110
20260726-07-02,07,02,3,250,3,160,4,690,,0
20260726-07-03,07,03,6,190,6,110,8,120,7,160
20260726-07-04,07,04,11,350,11,160,14,160,1,120
20260726-07-05,07,05,6,590,6,150,15,150,14,120
20260726-07-06,07,06,1,220,1,120,2,140,9,630
20260726-07-07,07,07,14,1630,14,380,11,330,5,110
20260726-07-08,07,08,2,320,2,160,8,840,10,300
20260726-07-09,07,09,1,520,1,210,4,220,8,180
20260726-07-10,07,10,10,270,10,120,6,260,2,180
20260726-07-11,07,11,9,680,9,200,13,180,11,160
20260726-07-12,07,12,2,1880,2,240,5,340,7,110
