race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,profit_loss_yen_100unit
20260726-01-01,01,01,,1000,12,1,シンゼンノト,☆,5,20.4,6,18.9,6,0.0529,0.023,0.47,標準,False,3,0,350,0
20260726-01-01,01,01,,1000,12,2,イリスロッソ,,,31.6,8,43.4,9,0.023,,,,False,2,0,820,0
20260726-01-01,01,01,,1000,12,3,サンクレセント,△,4,16.1,5,14.2,4,0.0704,0.063,1.01,標準,False,8,0,0,0
20260726-01-01,01,01,,1000,12,4,サウンドエフォート,,,26.6,7,25.9,8,0.0386,,,,False,4,0,0,0
20260726-01-01,01,01,,1000,12,5,ラストモーメント,,,109.6,11,104.4,11,0.0096,,,,False,7,0,0,0
20260726-01-01,01,01,,1000,12,6,ワイドウィンザー,○,2,4.7,2,4.0,2,0.25,0.22399999999999998,1.05,標準,False,10,0,0,0
20260726-01-01,01,01,,1000,12,7,リアルクウカイ,▲,3,15.2,4,20.4,7,0.049,0.068,1.03,標準,False,9,0,0,0
20260726-01-01,01,01,,1000,12,8,グランモンターナ,,,34.2,9,15.1,5,0.0662,,,,False,5,0,0,0
20260726-01-01,01,01,,1000,12,9,タイガーストリート,,,37.8,10,52.4,10,0.0191,,,,False,12,0,0,0
20260726-01-01,01,01,,1000,12,10,クラウスーラ,◎,1,1.6,1,1.8,1,0.5556,0.35700000000000004,0.57,標準,False,1,180,110,0
20260726-01-01,01,01,,1000,12,11,パンジャケリー,,,7.7,3,6.9,3,0.1449,,,,False,6,0,0,0
20260726-01-01,01,01,,1000,12,12,レジェンドヴァーサ,,,142.8,12,241.1,12,0.0041,,,,False,11,0,0,0
20260726-01-02,01,02,,1700,10,1,ラストシャイニー,,,31.4,7,54.3,8,0.0184,,,,False,9,0,0,0
20260726-01-02,01,02,,1700,10,2,ビレッジルイーザ,▲,3,4.2,2,4.5,2,0.2222,0.171,0.72,標準,False,5,0,0,0
20260726-01-02,01,02,,1700,10,3,チカマヨルキーナ,,,105.1,10,141.9,10,0.007,,,,False,8,0,0,0
20260726-01-02,01,02,,1700,10,4,ハスカップジャム,,,58.3,9,73.1,9,0.0137,,,,False,10,0,0,0
20260726-01-02,01,02,,1700,10,5,ルージュボニート,△,4,6.5,3,7.2,4,0.1389,0.095,0.62,標準,False,2,0,180,0
20260726-01-02,01,02,,1700,10,6,プルーフリーディン,○,2,2.1,1,2.0,1,0.5,0.258,0.54,標準,False,3,0,130,0
20260726-01-02,01,02,,1700,10,7,サマースプラッシュ,,,41.5,8,30.4,7,0.0329,,,,False,6,0,0,0
20260726-01-02,01,02,,1700,10,8,ルパピヨンブラン,◎,1,7.6,4,6.1,3,0.1639,0.174,1.32,標準,False,4,0,0,0
20260726-01-02,01,02,,1700,10,9,スリーケイ,,,12.0,6,15.7,6,0.0637,,,,False,1,1570,280,0
20260726-01-02,01,02,,1700,10,10,ワイルドカグラ,☆,5,10.5,5,8.9,5,0.1124,0.062,0.65,標準,False,7,0,0,0
20260726-01-03,01,03,,1200,16,1,ロンドンプライド,▲,3,14.0,6,14.8,6,0.0676,0.071,1.0,接戦,False,10,0,0,0
20260726-01-03,01,03,,1200,16,2,ランスオブラヴ,○,2,8.2,4,7.9,4,0.1266,0.07,0.58,接戦,False,7,0,0,0
20260726-01-03,01,03,,1200,16,3,サトノシュトローム,△,4,21.4,9,33.6,9,0.0298,0.07200000000000001,1.55,接戦,False,13,0,0,0
20260726-01-03,01,03,,1200,16,4,ロジスカヤ,,,16.5,7,15.9,7,0.0629,,,,False,4,0,0,0
20260726-01-03,01,03,,1200,16,5,ティンクルバレット,,,30.6,11,85.2,15,0.0117,,,,False,6,0,0,0
20260726-01-03,01,03,,1200,16,6,モノノケ,,,77.6,16,57.3,12,0.0175,,,,False,2,0,1270,0
20260726-01-03,01,03,,1200,16,7,フリーダムスタイル,,,21.2,8,22.5,8,0.0444,,,,False,8,0,0,0
20260726-01-03,01,03,,1200,16,8,ハルヒメ,◎,1,3.5,1,3.4,1,0.2941,0.18600000000000003,0.65,接戦,False,1,340,170,0
20260726-01-03,01,03,,1200,16,9,ユナダイヤ,,,42.9,13,54.6,10,0.0183,,,,False,11,0,0,0
20260726-01-03,01,03,,1200,16,10,アンジュラフィーユ,,,4.9,2,3.5,2,0.2857,,,,False,5,0,0,0
20260726-01-03,01,03,,1200,16,11,メイショウテンジン,,,8.3,5,9.5,5,0.1053,,,,False,3,0,380,0
