race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260613-02-01,02,01,10,2700,10,620,7,310,15,320
20260613-02-02,02,02,7,620,7,180,11,540,10,150
20260613-02-03,02,03,6,870,6,300,10,240,1,210
20260613-02-04,02,04,6,450,6,200,7,240,8,200
20260613-02-05,02,05,1,390,1,160,2,200,5,920
20260613-02-06,02,06,2,300,2,160,10,130,4,530
20260613-02-07,02,07,2,400,2,150,4,180,6,110
20260613-02-08,02,08,11,310,11,130,10,120,9,180
20260613-02-09,02,09,6,920,6,230,2,130,1,180
20260613-02-10,02,10,4,800,4,330,14,300,15,180
20260613-02-11,02,11,7,810,7,270,10,220,3,160
20260613-02-12,02,12,9,2980,9,660,2,260,5,210
20260613-05-01,05,01,5,830,5,270,15,150,8,180
20260613-05-02,05,02,12,680,12,210,6,150,8,610
20260613-05-03,05,03,15,410,15,150,7,140,10,170
20260613-05-04,05,04,2,1160,2,150,9,100,6,500
20260613-05-05,05,05,2,130,2,110,5,150,,0
20260613-05-06,05,06,6,290,6,260,2,680,8,710
20260613-05-07,05,07,3,1060,3,360,7,540,11,240
20260613-05-08,05,08,1,250,1,190,7,1560,18,630
20260613-05-09,05,09,7,1150,7,180,2,190,9,110
20260613-05-10,05,10,8,610,8,240,2,940,13,450
20260613-05-11,05,11,3,510,3,210,2,2330,9,180
20260613-05-12,05,12,3,360,3,150,8,200,5,610
20260613-09-01,09,01,15,510,15,240,4,3770,10,190
20260613-09-02,09,02,10,240,10,140,3,510,2,330
20260613-09-03,09,03,10,320,10,150,1,220,9,1370
20260613-09-04,09,04,7,260,7,130,4,340,13,200
20260613-09-05,09,05,6,260,6,120,2,120,5,340
20260613-09-06,09,06,1,790,1,250,12,360,5,190
20260613-09-07,09,07,5,1410,5,320,9,140,6,2720
20260613-09-08,09,08,6,150,6,110,8,240,15,290
20260613-09-09,09,09,9,530,9,140,3,110,4,170
20260613-09-10,09,10,13,200,13,110,15,180,14,170
20260613-09-11,09,11,9,170,9,110,4,250,7,120
20260613-09-12,09,12,14,6970,14,1240,13,2460,8,320
